fips,mass
04001,0.0
04003,0.0
04005,0.0
04013,27.4
04015,17.8
04019,0.0
04021,27.4
04023,0.0
04025,0.0
04027,27.4
06005,22.4
06007,186.0
06009,1.9
06011,69.8
06013,0.1
06017,4.7
06019,1949.2
06021,207.5
06023,0.2
06025,114.8
06029,296.8
06031,383.1
06033,15.0
06039,548.4
06041,2.2
06045,584.2
06047,335.8
06049,36.1
06053,292.7
06055,1053.1
06057,0.8
06059,0.1
06065,12.4
06067,177.4
06069,78.4
06071,0.2
06073,25.1
06077,237.8
06079,601.4
06081,8.8
06083,1031.8
06085,28.9
06087,129.3
06089,32.1
06093,151.7
06095,25.5
06097,619.6
06099,121.5
06101,108.6
06103,12.6
06107,783.8
06111,215.4
06113,137.4
06115,6.8
16001,1.3
16003,0.0
16009,23.6
16015,0.2
16017,0.0
16021,23.6
16027,60.1
16035,23.6
16039,107.2
16045,23.6
16049,0.0
16055,23.6
16057,0.0
16069,23.6
16073,9.1
16075,29.7
16085,23.6
17007,0.1
17031,0.2
17037,0.3
17043,0.0
17063,0.2
17089,0.6
17093,0.2
17097,0.2
17099,0.5
17111,0.5
17197,0.4
20003,34.3
20005,35.2
20009,18.8
20013,60.0
20017,5.9
20023,33.0
20027,26.9
20029,18.3
20031,17.7
20039,38.9
20041,16.0
20043,35.9
20045,20.8
20051,5.3
20053,4.9
20059,23.6
20061,7.4
20063,52.8
20065,26.8
20071,30.7
20085,21.7
20087,20.9
20089,30.4
20091,6.3
20101,11.1
20103,12.8
20105,4.6
20107,10.2
20109,47.0
20111,21.4
20113,29.6
20115,33.9
20117,68.3
20121,19.4
20123,17.7
20127,11.7
20131,59.9
20135,9.5
20137,60.5
20139,25.7
20141,14.4
20143,11.5
20147,39.1
20149,22.7
20153,46.6
20157,45.8
20159,25.6
20161,9.3
20163,9.4
20165,8.7
20167,3.4
20169,4.4
20171,45.1
20177,17.9
20179,83.1
20181,75.0
20183,37.9
20193,122.5
20195,10.0
20197,12.1
20199,37.0
20201,47.5
20203,42.5
20209,1.6
24001,1.3
24005,1.3
24013,4.4
24021,2.3
24023,1.2
24025,1.2
24027,1.2
24031,3.6
24043,1.2
31001,95.9
31035,84.5
31059,94.7
31061,51.1
31065,73.5
31067,104.7
31073,43.2
31083,57.6
31095,69.5
31097,28.7
31099,75.7
31127,54.8
31129,69.8
31131,80.9
31133,36.5
31137,87.6
31147,65.1
31151,82.3
31169,69.6
31181,43.6
32003,0.0
32017,0.0
32023,0.0
35003,0.0
35051,0.0
37003,1.0
37007,3.4
37013,17.8
37017,9.9
37019,4.1
37025,2.2
37031,1.6
37035,2.3
37037,1.0
37045,2.2
37047,16.2
37049,9.6
37051,3.2
37057,2.6
37059,3.5
37061,18.7
37071,0.2
37079,4.5
37085,1.7
37093,3.5
37095,14.2
37097,7.6
37101,4.0
37103,6.3
37105,0.5
37107,10.5
37109,1.9
37119,0.4
37123,0.4
37125,0.8
37129,0.2
37133,3.9
37137,6.9
37141,5.7
37147,12.1
37151,5.9
37153,1.0
37155,30.1
37159,6.3
37163,17.6
37165,2.8
37167,4.8
37179,15.9
37183,0.5
37191,11.2
37195,6.4
41001,34.7
41003,21.6
41005,184.8
41007,3.4
41009,7.6
41011,8.7
41013,0.95
41015,8.6
41017,2.9000000000000004
41019,33.150000000000006
41021,2.5
41023,1.45
41025,0.0
41027,3.6
41029,39.05
41031,9.45
41033,16.65
41035,34.3
41037,2.1500000000000004
41039,25.7
41041,2.5
41043,36.4
41045,635.3
41047,388.9
41049,486.0
41051,57.7
41053,47.5
41057,0.4
41059,119.3
41061,3.7
41063,0.6
41065,7.9
41067,147.8
41069,0.0
41071,38.6
42001,95.4
42003,0.7
42009,0.8
42011,5.5
42013,0.5
42017,2.7
42021,0.1
42027,2.1
42029,2.7
42033,0.5
42037,0.5
42041,13.8
42043,0.6
42045,0.6
42051,0.0
42055,28.4
42057,0.3
42059,0.5
42061,0.8
42067,1.8
42071,17.4
42075,0.5
42087,1.7
42091,0.3
42093,0.6
42097,2.7
42099,0.3
42101,0.0
42109,4.6
42111,0.5
42119,0.9
42125,1.5
42129,0.2
42133,26.9
45025,3.2
45031,9.7
45033,8.1
45041,10.6
45043,0.8
45051,8.6
45067,2.2
45069,5.9
45089,9.3
53001,58.0
53005,218.6
53007,0.0
53009,1.7000000000000002
53011,9.35
53013,2.0
53015,5.1
53017,0.0
53019,0.8
53021,79.8
53025,125.2
53027,1.95
53029,0.8999999999999999
53031,2.0
53033,5.25
53035,1.85
53037,2.0
53039,0.0
53041,1.4
53043,1.0
53045,0.95
53047,0.0
53049,1.0
53051,0.0
53053,4.55
53055,1.1
53057,8.5
53059,0.8
53061,2.25
53063,0.8
53065,0.8
53067,3.5
53069,0.8
53071,53.1
53073,185.15
53075,0.0
53077,5.3
55001,10.9
55003,0.2
55009,6.6
55011,1.1
55015,3.2
55019,10.0
55021,4.6
55023,2.0
55025,9.2
55027,7.1
55029,1.0
55033,0.9
55035,1.2
55039,3.1
55041,0.2
55043,2.6
55045,0.3
55047,10.4
55049,3.3
55051,0.4
55053,9.4
55055,5.9
55057,10.9
55059,0.2
55061,0.2
55063,1.1
55065,3.4
55067,6.3
55069,1.1
55071,2.2
55073,9.4
55075,39.1
55077,5.9
55079,0.1
55081,0.8
55083,4.7
55085,2.2
55087,3.1
55089,0.2
55091,1.5
55093,8.8
55097,6.9
55099,0.7
55101,0.9
55103,0.1
55105,3.3
55109,9.6
55111,3.5
55115,6.3
55117,3.4
55119,0.7
55121,2.3
55123,3.2
55125,0.1
55127,0.7
55131,0.5
55133,0.6
55135,7.8
55137,3.5
55139,2.7
55141,2.7
