fips,mass
01001,9.7
01003,56.25
01005,13.7
01007,11.25
01009,2.0
01011,7.199999999999999
01013,16.05
01015,3.0
01017,1.85
01019,18.95
01021,7.35
01023,3.5
01025,1.5499999999999998
01027,7.25
01029,2.4
01031,26.7
01033,103.9
01035,14.1
01037,0.3
01039,27.9
01041,6.5
01043,11.85
01045,23.9
01047,79.95
01049,28.85
01051,20.35
01053,29.9
01055,3.25
01057,10.850000000000001
01059,7.4
01061,46.7
01063,0.8500000000000001
01065,3.55
01067,45.1
01069,33.7
01071,42.65
01073,1.35
01075,8.899999999999999
01077,89.5
01079,125.8
01081,2.5999999999999996
01083,149.2
01085,13.4
01087,10.9
01089,140.6
01091,11.45
01093,9.4
01095,8.7
01097,11.350000000000001
01099,18.95
01101,8.95
01103,17.9
01105,37.400000000000006
01107,37.8
01109,15.3
01111,14.75
01113,13.8
01115,0.2
01117,17.200000000000003
01119,6.7
01121,39.3
01123,5.949999999999999
01125,17.65
01127,6.25
01129,8.25
01131,4.3
01133,0.8
04001,0.8
04003,11.149999999999999
04005,0.0
04007,0.2
04009,0.8
04011,0.0
04013,7.6
04015,1.3
04017,0.1
04019,7.4
04021,7.3
04023,0.7
04025,1.0
04027,28.2
05001,51.4
05003,39.7
05005,0.0
05007,1.1
05009,0.2
05015,0.2
05017,71.80000000000001
05019,6.5
05021,33.400000000000006
05023,4.7
05025,0.0
05027,0.3
05029,31.35
05031,41.85
05033,11.6
05035,25.950000000000003
05037,20.9
05041,73.5
05043,22.1
05045,15.950000000000001
05047,4.4
05049,0.85
05053,0.3
05055,28.4
05057,0.1
05059,0.25
05063,6.0
05065,0.85
05067,16.6
05069,54.199999999999996
05071,10.9
05073,88.4
05075,10.0
05077,40.2
05079,46.65
05081,69.0
05083,3.2
05085,36.2
05087,0.2
05091,78.8
05093,34.3
05095,29.25
05099,0.1
05105,4.75
05107,48.3
05111,26.55
05115,9.6
05117,19.4
05119,39.8
05121,5.8
05123,24.75
05125,0.0
05131,3.2
05133,0.1
05143,0.3
05145,6.3
05147,22.65
05149,14.2
06001,16.3
06005,7.1
06007,169.7
06009,0.7
06011,274.9
06013,5.1
06017,3.8
06019,2083.9
06021,285.1
06029,2371.1
06031,351.7
06033,41.6
06037,3.3
06039,869.7
06041,0.2
06045,25.8
06047,510.6
06049,34.5
06053,96.7
06055,42.6
06057,0.2
06059,0.0
06061,18.0
06065,90.7
06067,167.7
06069,2.9
06071,1.1
06073,3.1
06077,740.7
06079,117.4
06083,42.6
06085,11.8
06089,8.9
06093,23.0
06095,102.9
06097,68.3
06099,527.0
06101,228.0
06103,109.9
06107,1515.0
06111,10.9
06113,341.1
06115,57.5
08001,24.5
08003,6.2
08005,0.1
08007,0.0
08009,34.3
08011,8.4
08013,0.3
08014,0.2
08015,2.8
08017,38.4
08021,6.2
08023,6.1
08025,0.2
08029,1.0
08033,0.05
08035,0.0
08037,0.0
08039,4.1
08041,0.1
08043,0.05
08045,2.9
08047,2.8
08051,0.0
08055,0.05
08057,2.9
08059,0.0
08061,14.5
08063,118.7
08067,0.1
08069,1.1
08071,0.1
08073,18.0
08075,7.2
08077,1.05
08081,0.1
08083,0.65
08085,1.1
08087,13.850000000000001
08089,7.1
08091,0.0
08095,67.2
08097,0.0
08099,23.1
08101,1.8
08103,0.0
08105,6.1
08107,2.8
08109,42.3
08113,2.9
08115,6.0
08119,0.0
08121,69.3
08123,19.85
08125,127.7
09001,0.4
09003,3.9
09005,6.55
09007,0.4
09009,1.2
09011,7.65
09013,5.65
09015,7.05
10001,210.8
10003,38.4
10005,399.9
12001,0.1
12005,0.0
12007,0.0
12009,3.5
12011,0.0
12013,2.5
12015,0.3
12017,3.0
12019,3.0
12021,3.5
12023,0.9
12027,3.5
12029,0.2
12031,0.1
12033,3.1
12035,0.2
12039,0.9
12041,3.0
12045,0.3
12047,1.7
12049,3.5
12051,3.5
12053,0.0
12055,0.0
12057,10.5
12059,3.2
12061,3.5
12063,17.1
12065,2.5
12067,2.1
12069,0.0
12071,3.5
12073,3.1
12075,3.0
12077,0.4
12079,1.6
12081,107.5
12083,0.0
12085,0.1
12086,18.0
12091,1.1
12093,0.9
12095,0.0
12097,0.1
12099,2.2
12101,3.0
12103,3.0
12105,3.0
12107,0.0
12109,3.0
12111,0.1
12113,6.5
12115,3.5
12117,0.0
12119,3.0
12121,2.7
12125,0.0
12127,0.0
12129,0.0
12131,1.3
12133,1.7
13003,29.4
13007,42.8
13009,0.7
13011,1.5
13013,0.1
13015,1.05
13017,17.0
13019,37.7
13021,0.7
13023,10.2
13027,63.1
13031,307.4
13033,223.6
13035,0.7
13037,62.2
13043,44.9
13045,1.1
13047,0.2
13055,0.55
13057,0.5
13059,0.7
13061,16.4
13063,0.8
13065,2.3
13069,64.1
13071,77.2
13073,0.8
13075,32.3
13077,3.2
13079,0.8
13081,45.6
13083,0.1
13085,1.7
13087,103.5
13091,9.7
13093,92.8
13095,6.8
13097,0.1
13099,61.3
13101,2.2
13103,43.9
13105,1.9
13107,97.4
13111,1.9
13113,0.6
13115,1.1500000000000001
13117,0.7
13119,1.6
13121,0.0
13123,1.0
13125,6.0
13129,1.5
13131,61.5
13133,1.2
13135,0.7
13137,3.7
13139,8.2
13143,6.4
13145,0.2
13147,1.5
13149,2.3
13151,0.0
13153,6.2
13155,58.4
13157,0.1
13159,1.1
13161,32.3
13163,102.6
13165,71.2
13167,12.2
13169,0.7
13171,1.8
13173,17.4
13175,11.0
13177,42.1
13185,7.2
13187,2.3
13189,2.1
13193,44.3
13195,0.8
13197,3.4
13199,0.4
13201,50.2
13205,78.7
13207,0.3
13209,3.9
13211,2.6
13213,0.9
13217,0.9
13219,1.4
13221,1.5
13223,0.0
13225,2.0
13227,0.0
13231,0.8
13233,0.65
13235,5.8
13237,4.6
13239,0.4
13241,0.4
13243,52.8
13245,0.7
13247,0.0
13249,0.9
13251,182.4
13253,75.8
13257,0.5
13259,1.9
13261,67.6
13263,1.8
13269,1.6
13271,8.7
13273,83.9
13275,63.2
13277,47.0
13281,0.7
13283,3.2
13285,0.0
13287,37.7
13289,4.2
13291,1.4
13293,1.8
13295,0.3
13297,0.6
13301,8.1
13303,12.8
13307,21.3
13309,1.9
13311,1.0
13313,0.3
13315,35.2
13317,2.5
13319,0.6
13321,90.8
16001,0.75
16003,1.0
16005,3.3
16007,0.9
16009,7.9
16011,77.5
16013,3.3
16015,1.05
16017,0.0
16019,19.2
16021,7.9
16023,1.2
16025,3.3
16027,14.15
16029,3.3
16031,3.3
16033,0.2
16035,7.9
16037,1.9
16039,23.1
16041,3.3
16043,24.6
16045,6.05
16047,4.4
16049,0.0
16051,35.7
16053,9.8
16055,7.9
16057,0.0
16059,0.0
16063,3.3
16065,38.0
16067,33.2
16069,7.9
16071,11.0
16073,2.95
16075,7.65
16077,50.5
16079,0.0
16081,5.0
16083,11.0
16085,10.1
16087,1.3
17001,189.39999999999998
17003,5.3999999999999995
17005,56.5
17007,9.15
17009,36.25
17011,120.8
17013,22.1
17015,64.4
17017,81.6
17019,48.0
17021,185.39999999999998
17023,117.1
17025,138.6
17027,40.5
17029,113.0
17031,0.7000000000000001
17033,97.95
17035,71.7
17037,27.15
17039,26.849999999999998
17041,121.69999999999999
17043,0.15000000000000002
17045,156.85
17047,32.5
17049,130.1
17051,154.05
17053,44.1
17055,48.65
17057,157.15
17059,55.5
17061,115.85
17063,19.2
17065,53.5
17067,193.7
17069,2.7
17071,96.2
17073,119.9
17075,53.8
17077,23.2
17079,109.94999999999999
17081,69.1
17083,72.2
17085,49.75
17087,4.25
17089,11.55
17091,24.45
17093,9.7
17095,195.25
17097,1.3
17099,41.1
17101,105.44999999999999
17103,114.85
17105,49.1
17107,52.300000000000004
17109,149.55
17111,12.6
17113,90.69999999999999
17115,40.8
17117,162.5
17119,122.4
17121,98.25
17123,28.3
