fips,mass
01005,0.2
01031,1.5
01033,0.1
01039,0.1
01041,0.0
01045,0.1
01059,1.5
01061,3.9
01067,0.0
01069,22.3
01077,0.1
01079,0.0
01083,0.3
01089,0.1
01093,0.2
01103,0.2
01109,0.0
01113,0.0
01133,0.0
04001,5.1
04003,42.9
04005,0.0
04007,1.1
04009,3.8
04011,0.1
04013,12.1
04015,4.8
04017,0.2
04019,19.3
04021,14.6
04023,4.9
04025,5.7
06001,0.4
06007,363.3
06009,1.8
06011,448.7
06013,2.4
06019,1133.3
06021,897.5
06025,2078.3
06029,6238.3
06031,581.7
06033,5.6
06039,517.3
06045,5.2
06047,1481.0
06053,95.6
06055,13.0
06059,0.1
06061,38.0
06065,7.8
06067,148.0
06069,11.5
06077,1065.5
06079,23.7
06083,7.7
06085,2.3
06087,4.7
06089,10.9
06095,208.5
06097,25.2
06099,1971.5
06101,202.5
06103,470.6
06107,1181.0
06111,8.0
06113,384.8
06115,11.1
08013,0.3
08069,2.4
08075,0.5
08087,0.4
08115,1.6
08123,8.8
09001,0.0
09003,0.1
09005,0.0
09007,0.0
09009,0.0
09011,0.0
09013,0.0
09015,0.0
12001,300.3
12003,36.6
12005,36.3
12007,41.7
12013,11.4
12017,36.4
12019,1.5
12023,11.9
12029,1.9
12031,41.8
12033,4.6
12035,41.2
12039,14.65
12041,419.4
12045,50.35
12047,20.7
12053,36.5
12057,438.2
12059,4.45
12063,52.25
12065,1.85
12067,63.9
12069,42.7
12073,12.5
12075,492.4
12077,48.0
12079,96.3
12083,404.9
12089,61.7
12091,2.55
12095,40.9
12097,75.3
12101,76.2
12105,58.2
12107,41.7
12109,457.3
12113,38.9
12117,41.1
12119,39.6
12121,418.7
12123,41.9
12125,75.6
12127,39.5
12129,1.15
12131,2.75
12133,0.35
13001,44.3
13003,58.65
13005,17.75
13011,1.9
13013,0.1
13017,27.15
13019,219.35
13021,1.95
13023,4.55
13025,5.2
13027,148.5
13029,8.4
13031,9.2
13033,7.0
13037,4.4
13039,8.0
13043,0.4
13045,0.15000000000000002
13049,1.0
13051,6.4
13057,0.15000000000000002
13059,1.4
13061,4.0
13063,0.5
13065,23.35
13067,1.45
13069,201.35000000000002
13071,159.15
13075,152.25
13077,0.15000000000000002
13079,1.25
13081,172.55
13085,0.5
13087,49.1
13089,0.0
13091,18.9
13093,16.1
13095,2.4
13097,1.45
13099,2.4
13101,29.3
13103,2.1
13105,1.9
13107,2.25
13109,7.85
13111,0.5
13113,0.6
13117,1.5
13119,1.4
13121,0.35
13123,0.75
13125,0.1
13127,0.0
13129,0.3
13131,16.8
13133,0.7
13135,0.25
13137,1.9
13139,0.0
13141,1.9
13143,0.55
13145,0.1
13147,0.0
13149,0.0
13151,0.35
13153,4.1
13155,37.45
13157,5.9
13159,0.0
13161,26.55
13163,3.0
13165,1.8
13167,2.95
13169,0.5
13171,1.45
13173,77.85
13175,4.45
13177,2.4
13179,5.3
13181,0.5
13183,5.5
13185,30.849999999999998
13193,0.75
13195,0.1
13197,1.1
13199,0.95
13201,1.9
13205,36.6
13207,0.0
13209,2.9
13211,0.6
13215,0.5
13217,2.1
13219,0.15000000000000002
13221,1.5
13225,0.8500000000000001
13227,1.4
13229,75.95
13231,0.15000000000000002
13235,7.85
13239,1.9
13241,1.4
13243,1.9
13249,0.5
13251,4.8
13253,1.9
13255,0.95
13257,0.0
13259,2.3
13261,2.4
13263,0.95
13265,2.4
13267,104.75
13269,2.05
13271,7.75
13273,1.2
13275,18.1
13277,299.6
13279,11.100000000000001
13281,0.0
13283,18.3
13285,1.45
13287,62.05
13289,2.7
13291,0.25
13293,1.05
13297,0.05
13299,7.25
13303,1.25
13305,32.2
13307,3.2
13309,2.45
13311,0.25
13315,99.55
13317,1.1
13319,6.6
13321,193.89999999999998
16001,2.5
16003,0.0
16009,59.4
16011,2.4
16017,0.1
16019,2.5
16021,5.2
16027,32.3
16029,0.8
16035,7.8
16039,7.85
16041,3.5
16043,3.5
16045,0.95
16049,21.5
16055,6.2
16057,256.6
16059,0.0
16061,112.2
16065,2.1
16069,247.2
16071,1.4
16073,10.4
16075,2.45
16077,2.4
16081,0.8
16085,0.0
16087,6.9
17001,2.4000000000000004
17003,1.5
17005,1.4
17007,10.2
17009,1.3
17011,4.75
17013,1.4
17015,21.950000000000003
17017,1.4
17019,3.35
17021,0.2
17023,3.45
17025,1.55
17027,0.0
17029,2.95
17031,16.9
17033,1.1
17035,2.95
17037,106.0
17039,3.25
17041,0.35
17043,0.44999999999999996
17045,3.05
17047,0.0
17049,1.65
17051,2.1
17053,1.7
17055,0.6
17057,2.2
17059,0.2
17063,13.8
17065,0.2
17067,3.45
17071,4.75
17073,21.6
17075,2.05
17077,0.5
17081,8.4
17083,0.1
17085,21.950000000000003
17087,3.25
17089,33.85
17091,13.25
17093,17.200000000000003
17095,2.2
17097,5.9
17099,173.9
17101,3.15
17103,58.15
17105,1.45
17107,7.9
17109,0.30000000000000004
17111,68.05000000000001
17113,0.6
17115,1.85
17117,0.2
17119,1.7
17121,3.65
17123,22.1
17125,88.44999999999999
17127,9.7
17129,3.95
17131,21.950000000000003
17133,3.15
17135,1.3
17137,0.1
17139,10.45
17141,48.7
17143,34.0
17145,7.45
17147,2.9
17149,1.3
17151,3.1
17155,8.55
17157,3.15
17159,1.3
17161,75.30000000000001
17163,3.9
17167,1.3
17169,1.3
17171,1.4
17173,0.4
17175,15.05
17177,1.05
17179,68.65
17181,0.75
17183,1.35
17185,12.1
17187,1.7
17189,7.45
17191,12.3
17193,12.5
17195,58.0
17197,10.3
17199,1.0
17201,1.8499999999999999
17203,12.35
18001,3.6999999999999997
18003,4.05
18005,25.95
18007,1.9
18009,13.9
18011,2.0999999999999996
18013,9.0
18015,0.3
18017,6.1
18019,14.2
18021,3.75
18023,0.2
18025,7.4
18027,4.85
18029,2.1
18031,5.05
18033,5.05
18035,59.5
18037,2.1
18039,10.9
18041,39.1
18043,7.5
18045,5.2
18047,8.0
18049,3.0
18051,8.9
18053,3.75
18055,1.6
18057,3.85
18059,1.2000000000000002
18061,0.3
18063,2.0
18065,39.2
18067,7.3
18069,8.9
18071,4.3999999999999995
18073,6.6
18075,32.1
18077,13.0
18079,11.8
18081,5.05
18083,43.4
18085,1.9
18087,4.6
18089,10.55
18091,15.3
18093,1.5
18095,5.2
18097,3.75
18099,8.2
18101,0.55
18103,8.9
18105,7.5
18107,5.5
18109,0.9500000000000001
18111,9.4
18113,2.0999999999999996
18115,0.9
18117,3.7
18119,5.300000000000001
18121,5.8999999999999995
18123,0.0
18127,1.2000000000000002
18129,7.699999999999999
18131,5.55
18133,3.8
18135,39.1
18137,13.3
18139,6.35
18141,7.3
18143,0.4
18145,5.15
18147,5.0
18149,5.6
18151,5.05
18153,7.800000000000001
18155,4.5
18157,3.9
18159,7.3
18161,39.1
18163,2.6
18165,2.25
18167,5.75
18169,0.5
18171,5.5
18173,1.8
18175,4.25
18177,50.4
18179,1.5499999999999998
18181,13.5
18183,1.45
19001,0.8
19005,1.5
19007,0.8
19009,1.0
19011,0.55
19013,1.7
19015,4.5
19017,1.5
19019,2.9
19021,0.5
19023,0.1
19025,1.4
19027,1.0
19029,0.0
19031,2.1500000000000004
19033,1.1
19035,0.0
19037,8.9
19039,0.25
19041,0.0
19043,2.25
19045,0.75
19047,1.0
19049,0.8
19051,1.95
19053,0.25
19055,1.6
19057,0.9
19059,0.1
19061,0.4
19063,0.0
19065,1.3
19067,0.5
19069,0.5
19071,0.8
19073,1.0
19077,1.0
19079,0.8
19081,0.1
19083,11.0
19085,0.6
19087,1.4
19089,3.9
19091,0.5
19093,1.0
19095,0.8
19097,1.0
19099,0.65
19101,1.75
19103,1.1
19105,0.6
19107,1.8
19109,1.6
19111,1.35
19113,4.25
19115,1.0
19117,0.8
19119,0.3
19121,0.15000000000000002
19123,1.4
19125,1.95
19127,0.25
19129,0.05
19131,6.300000000000001
19133,1.0
19135,0.8
19137,0.65
19139,3.75
19141,0.1
19143,0.0
19145,0.8
19147,2.9
19149,0.3
19151,1.35
19153,0.8
19155,0.8
19157,0.1
19159,0.1
19161,0.1
19163,1.55
19165,1.0
19167,0.0
19169,0.4
19171,0.1
19177,1.3
19179,1.8
19181,0.8
19183,1.2
19185,0.8
19187,0.05
19189,0.3
19191,1.7
19193,1.0
19195,0.5
19197,1.5
21001,12.100000000000001
21003,28.15
21005,1.1
21007,0.55
21009,46.650000000000006
21011,1.7
21015,4.25
21017,6.9
21019,0.0
21021,1.1
21023,2.65
21025,0.35
21027,37.3
21029,2.7
21031,7.25
21033,0.9
21035,1.45
21037,0.55
21039,0.05
21041,0.95
21043,0.2
21045,7.8999999999999995
21047,15.5
21049,5.4
21051,2.1
21053,0.6
21055,0.6
21057,0.9500000000000001
21059,7.5
21061,3.3000000000000003
21063,0.0
21065,0.25
21067,3.5
21069,10.2
21073,1.3
21077,6.55
21079,3.3
21081,2.9
21083,1.25
21085,9.399999999999999
21087,35.900000000000006
21089,0.35
21091,0.8
21093,13.75
21097,6.2
21099,18.9
21101,0.7
21103,5.949999999999999
21105,0.55
21107,0.6
21109,0.1
21111,1.9500000000000002
21113,1.6
21115,0.0
21117,0.95
21121,0.1
21123,17.75
21125,0.55
21127,0.05
21129,0.1
21133,0.1
21135,3.75
21137,5.7
21139,0.5
21141,2.0
21143,0.8500000000000001
21145,1.65
21147,0.1
21149,1.1
21151,1.1
21153,0.2
21155,13.5
21157,1.5
21161,7.0
21163,13.25
21165,0.5
21167,3.5
21169,32.3
21171,20.75
21173,1.5
21175,0.35
21177,1.3
21179,15.15
21181,4.0
21183,0.4
21185,2.2
21187,5.75
21189,0.4
21191,2.05
21193,0.0
21195,0.05
21197,0.7000000000000001
21199,4.6499999999999995
21201,0.1
21203,0.3
21205,0.2
21207,3.0500000000000003
21209,3.2
21211,17.1
21213,0.9
21215,5.5
21217,10.4
21219,7.9
21221,2.6500000000000004
21223,5.0
21225,0.8
21227,13.25
21229,2.4
21231,2.0
21233,0.7
21235,0.0
21237,0.2
21239,4.3
24001,0.2
24015,0.4
24019,0.2
24023,0.7
24035,0.1
24039,0.0
24045,0.2
24047,0.2
25001,0.0
25003,0.0
25005,0.1
25007,0.0
25009,0.1
25011,0.3
25013,0.0
25015,0.1
25017,0.0
25019,0.0
25021,0.0
25023,0.0
25027,0.0
26003,0.1
26005,13.3
26011,0.4
26013,0.6
26015,2.0
26017,7.35
26021,11.9
26023,11.2
26025,5.1
26027,140.6
26033,0.2
26035,0.4
26037,4.1
26041,0.6
26043,0.6
26045,1.6
26049,13.65
26051,2.4
26053,0.6
26057,1.3
26059,8.1
26061,0.4
26063,7.949999999999999
26065,2.3
26067,3.5
26071,9.5
26073,12.9
26075,5.7
26077,52.6
26081,5.8
26085,0.4
26087,5.9
26091,11.05
26093,2.05
26095,0.6
26097,0.6
26099,19.35
26103,0.0
26105,0.7
26107,4.1
26109,0.6
26111,1.1
26115,24.9
26117,12.5
26121,1.8
26123,12.4
26125,10.85
26127,35.2
26131,9.5
26133,9.3
26139,13.3
26145,3.4
26147,16.85
26149,70.9
26151,1.75
26153,0.6
26155,0.7
26157,8.1
26159,2.6
26161,10.3
26163,5.85
27001,1.6
27003,17.0
27005,90.1
27007,9.75
27009,125.35
27011,83.4
27013,90.2
27015,104.4
27017,0.95
27019,13.7
27021,9.899999999999999
27023,55.5
27025,9.95
27027,40.8
27029,2.45
27031,0.0
27033,11.4
27035,17.05
27037,132.75
27039,10.65
27041,41.35
27043,103.05000000000001
27045,12.950000000000001
27047,14.05
27049,26.700000000000003
27051,56.7
27053,12.7
27055,9.35
27057,277.54999999999995
27059,9.299999999999999
27061,0.6
27063,163.55
27065,1.65
27067,1206.7
27069,25.1
27071,0.8
27073,14.049999999999999
27075,0.7
27077,10.05
27079,6.85
27081,34.45
27083,25.55
27085,205.45
27087,96.55
27089,191.4
27091,92.85000000000001
27093,59.7
27095,1.35
27097,527.95
27099,16.650000000000002
27101,7.1
27103,6.6499999999999995
27105,4.35
27107,102.85
27109,25.150000000000002
27111,145.35
27113,86.5
27115,0.9
27117,19.3
27119,966.3499999999999
27121,115.05
27123,9.25
27125,88.75
27127,13.9
27129,926.75
27131,3.05
27133,58.1
27135,23.799999999999997
27137,1.1
27139,9.2
27141,117.15
27143,188.1
27145,274.54999999999995
27147,101.1
27149,59.75
27151,97.35
27153,167.75
27155,82.1
27157,14.05
27159,214.35000000000002
27161,11.45
27163,20.6
27165,10.2
27167,84.95
27169,14.149999999999999
27171,175.4
27173,15.8
29001,0.4
29003,0.2
29005,0.2
29007,1.75
29013,0.25
29015,0.4
29019,4.2
29021,0.2
29023,1.3
29025,0.2
29027,0.6
29029,0.7
29031,1.5499999999999998
29033,4.0
29037,1.95
29039,0.35
29041,6.4
29047,0.2
29049,0.2
29051,0.2
29053,0.7
29055,2.2
29059,1.4
29061,0.2
29063,0.1
29069,48.25
29071,0.7
29073,0.6
29075,0.2
29079,0.9
29081,0.2
29083,0.8
29085,0.7
29087,2.6500000000000004
29089,0.1
29095,0.8
29099,2.05
29101,1.35
29103,0.0
29105,0.7
29107,0.85
29111,0.3
29113,0.5
29115,0.2
29117,0.9
29121,0.9
29125,0.7
29127,0.85
29129,0.2
29131,0.2
29133,3.3
29135,0.9
29137,0.2
29139,0.75
29141,1.3
29143,0.0
29147,0.1
29151,0.7
29155,3.2
29157,0.65
29159,0.7
29161,0.5
29163,0.85
29165,0.2
29169,0.7
29173,0.85
29175,1.0
29177,0.4
29183,2.1
29185,0.8
29186,0.7
29187,0.0
29189,0.85
29195,0.7
29197,0.2
29199,0.5
29201,0.7
29205,2.65
29207,0.85
29211,0.9
29217,0.95
29219,2.5
29221,0.85
30005,250.9
30011,2.7
30015,499.6
30017,0.1
30019,507.5
30021,214.2
30025,3.8
30029,14.5
30033,41.2
30035,378.9
30039,0.8
30041,490.2
30047,1.9
30051,502.2
30055,515.9
30071,320.4
30073,267.8
30075,0.6
30077,0.6
30079,6.9
30081,4.7
30083,90.3
30085,563.5
30087,1.4
30089,0.9
30091,1372.2
30099,224.1
30101,423.3
30105,723.7
30109,6.2
31003,31.9
31007,9.2
31013,41.9
31023,0.1
31025,0.1
31027,2.8
31029,14.7
31031,3.0
31033,25.5
31045,0.7
31049,5.1
31053,0.2
31055,5.0
31057,2.0
31063,0.8
31069,7.2
31081,1.1
31085,3.3
31087,1.6
31089,2.1
31101,4.6
31103,1.8
31105,7.2
31107,2.8
31109,0.1
31111,5.3
31119,12.6
31121,0.8
31123,24.1
31135,11.9
31139,2.8
31141,0.7
31145,0.2
31153,0.0
31155,0.7
31157,48.2
31159,0.4
31161,13.3
31165,5.2
31177,0.2
31185,0.7
32003,0.6
32009,0.2
32017,6.3
32019,0.0
32023,0.6
32031,0.0
34003,0.3
34005,1.8
34013,0.9
34019,7.3
34021,3.1
34023,0.5
34025,1.3
34027,1.8
34029,0.1
34031,0.9
34035,3.2
34037,1.6
34039,0.9
34041,6.4
36001,0.0
36003,2.3
36007,0.6
36009,10.4
36011,45.65
36013,14.2
36015,1.95
36017,1.4
36021,1.2
36023,2.5999999999999996
36025,0.1
36027,0.5
36029,26.9
36035,0.1
36037,63.8
36039,0.45
36043,3.25
36047,0.0
36051,76.4
36053,8.950000000000001
36055,66.3
36057,0.0
36059,1.0
36063,65.4
36065,12.2
36067,13.6
36069,107.1
36071,7.55
36073,96.3
36075,10.8
36077,2.4
36079,0.0
36081,1.0
36083,0.0
36085,0.0
36087,0.15000000000000002
36091,0.0
36093,0.1
36095,0.1
36097,3.8
36099,104.8
36101,18.5
36103,5.9
36105,0.2
36107,1.8
36109,4.7
36111,1.45
36115,0.0
36117,95.2
36119,0.05
36121,16.5
36123,26.4
37001,5.8
37003,7.8
37005,38.35
37007,1.1500000000000001
37009,13.950000000000001
37011,5.35
37013,65.3
37015,115.05
37017,32.05
37019,7.35
37021,3.25
37023,7.25
37025,8.850000000000001
37027,3.9
37029,32.1
37031,12.2
37033,8.299999999999999
37035,40.25
37037,5.6
37039,2.0500000000000003
37041,28.55
37043,4.15
37045,6.550000000000001
37047,69.2
37049,47.25
37051,30.8
37053,11.700000000000001
37055,1.6500000000000001
37057,26.5
37059,11.25
37061,95.69999999999999
37063,0.8
37065,149.7
37067,3.95
37069,17.15
37071,1.75
37073,18.15
37075,5.35
37077,13.95
37079,60.4
37081,10.9
37083,92.9
37085,87.6
37087,6.75
37089,4.15
37091,86.75
37093,8.3
37095,51.7
37097,16.9
37099,5.35
37101,88.85
37103,17.65
37105,23.799999999999997
37107,80.15
37109,1.05
37111,0.44999999999999996
37113,4.15
37115,11.15
37117,107.69999999999999
37119,5.55
37121,0.15000000000000002
37123,5.3
37125,12.5
37127,210.2
37129,0.4
37131,23.150000000000002
37133,16.85
37135,5.949999999999999
37137,28.1
37139,139.4
37141,8.45
37143,43.3
37145,19.25
37147,107.25
37149,0.0
37151,19.4
37153,4.95
37155,85.9
37157,15.649999999999999
37159,17.3
37161,2.45
37163,167.4
37165,15.55
37167,2.75
37169,5.949999999999999
37171,16.55
37173,7.3
37175,0.55
37177,31.65
37179,11.95
37181,8.45
37183,71.85
37185,8.0
37187,43.6
37189,0.44999999999999996
37191,81.19999999999999
37193,2.0500000000000003
37195,64.95
37197,15.15
37199,1.45
38001,23.3
38003,118.2
38005,151.4
38007,4.25
38009,92.2
38011,13.45
38013,133.3
38015,59.650000000000006
38017,138.9
38019,172.1
38021,44.099999999999994
38023,456.7
38025,15.9
38027,99.9
38029,125.85000000000001
38031,73.6
38033,19.15
38035,458.4
38037,56.95
38039,106.2
38041,21.05
38043,50.1
38045,104.19999999999999
38047,73.05000000000001
38049,33.3
38051,45.95
38053,17.8
38055,45.6
38057,21.7
38059,56.7
38061,373.0
38063,153.6
38065,9.5
38067,262.4
38069,62.0
38071,181.2
38073,184.1
38075,168.2
38077,96.75
38079,29.0
38081,29.0
38083,106.0
38085,38.6
38087,9.75
38089,28.05
38091,404.9
38093,261.1
38095,118.2
38097,299.8
38099,432.8
38101,253.4
38103,431.5
38105,1155.8
39001,9.05
39003,3.1500000000000004
39005,4.2
39007,1.4
39009,0.8
39013,2.0
39015,23.8
39017,34.6
39019,1.4
39021,4.5
39023,4.7
39025,36.7
39027,61.9
39029,2.1
39031,3.1
39033,2.9
39035,0.5
39037,1.2999999999999998
39039,2.6500000000000004
39041,1.75
39043,3.7
39045,1.9
39047,1.8499999999999999
39049,2.9499999999999997
39051,1.85
39053,3.3499999999999996
39055,3.4
39057,39.8
39059,1.0
39061,19.9
39063,3.9000000000000004
39065,1.4
39067,3.1
39069,50.2
39071,31.85
39073,3.1
39075,5.2
39077,0.2
39079,1.55
39081,3.1
39083,0.55
39085,1.0
39087,2.0
39089,5.2
39091,4.699999999999999
39093,8.1
39095,4.05
39097,1.55
39099,11.0
39101,1.4
39103,4.8
39105,4.2
39107,3.4
39109,4.8
39111,0.7
39113,82.0
39115,0.3
39117,1.8
39119,2.2
39121,0.0
39123,1.6
39125,3.9
39127,0.2
39129,4.05
39131,8.450000000000001
39133,5.8
39135,71.8
39137,3.1500000000000004
39139,4.7
39141,1.0999999999999999
39143,21.4
39145,4.75
39147,1.4
39149,4.1
39151,10.2
39153,0.2
39155,0.9
39157,0.9
39159,1.55
39161,0.85
39165,95.3
39167,1.4
39169,8.4
39171,2.4
39173,3.1500000000000004
39175,2.9
41001,0.3
41003,0.4
41005,0.15000000000000002
41007,0.05
41009,0.05
41011,5.1
41013,2.7
41015,0.0
41017,0.0
41019,5.1
41021,0.0
41023,0.2
41025,0.0
41027,233.6
41029,0.0
41031,12.9
41033,5.1
41035,12.9
41037,0.0
41039,0.2
41041,7.1
41043,0.35
41045,10.8
41047,25.6
41049,233.1
41051,7.15
41053,0.2
41057,0.05
41059,191.0
41061,9.5
41063,1.3
41065,0.9
41067,0.1
41071,0.15000000000000002
42003,4.3
42005,7.4
42007,2.4
42011,0.4
42017,0.5
42019,7.6
42025,0.1
42029,0.4
42031,1.4
42045,0.1
42051,5.1
42059,0.6
42063,7.5
42065,1.7
42069,0.0
42071,5.0
42073,5.1
42075,0.1
42077,0.2
42079,0.4
42089,0.1
42091,0.1
42095,0.2
42101,0.0
42103,0.0
42107,0.6
42111,8.6
42115,0.0
42125,5.2
42127,0.0
42129,6.4
42131,0.0
45001,0.0
45003,0.3
45005,0.39999999999999997
45007,2.7
45009,0.6
45011,0.6
45013,0.15000000000000002
45015,0.15000000000000002
45017,0.0
45019,0.1
45021,0.2
45023,1.6
45025,1.6
45027,3.1
45029,0.7000000000000001
45031,16.7
45033,8.0
45035,0.65
45037,0.0
45039,2.0
45041,9.899999999999999
45043,4.05
45045,1.5
45047,0.0
45049,0.8
45051,53.699999999999996
45053,0.15000000000000002
45055,0.1
45057,0.5
45059,3.8
45061,0.3
45063,6.1
45065,0.1
45067,10.55
45069,13.15
45071,0.0
45073,0.8
45075,7.5
45077,0.5
45079,0.0
45081,0.1
45083,3.1
45085,3.2
45087,0.0
45089,9.55
45091,0.5
46003,0.5
46007,3.5
46011,19.75
46013,24.45
46015,0.5
46019,0.35
46021,12.1
46023,5.3
46025,135.3
46029,76.9
46031,42.75
46035,9.0
46037,100.10000000000001
46039,35.849999999999994
46041,11.15
46045,14.5
46047,0.3
46049,8.8
46051,52.95
46055,8.8
46057,39.9
46059,0.5
46061,15.9
46063,4.95
46065,6.3
46069,3.4
46071,0.65
46075,1.05
46077,45.1
46079,3.9
46085,32.9
46087,15.9
46089,13.5
46091,11.85
46093,3.25
46095,1.4500000000000002
46097,9.0
46099,15.9
46101,15.9
46102,0.4
46103,1.4500000000000002
46105,7.9
46107,60.25
46109,100.5
46111,11.35
46115,7.3
46117,1.4500000000000002
46119,7.3
46121,1.4500000000000002
46123,1.4500000000000002
46125,6.3
46129,89.3
46137,24.0
47001,0.1
47003,0.2
47007,9.0
47009,0.3
47011,0.3
47013,0.1
47015,1.45
47019,0.3
47021,0.8
47025,1.5
47027,2.95
47029,0.3
47031,1.8
47035,0.8
47037,0.2
47041,0.05
47043,0.4
47049,0.7
47051,1.4
47055,0.1
47057,0.5
47059,0.5
47063,0.3
47065,0.1
47067,0.2
47073,1.4
47081,0.0
47083,0.0
