fips,mass
01001,76.2
01003,604.8
01005,106.1
01007,18.400000000000002
01009,20.4
01011,126.4
01013,266.9
01015,10.7
01017,4.6
01019,77.7
01021,322.75
01023,55.4
01025,18.8
01027,14.100000000000001
01029,11.0
01031,222.5
01033,994.65
01035,133.1
01037,1.5499999999999998
01039,254.4
01041,133.0
01043,93.35000000000001
01045,196.0
01047,1248.3
01049,223.89999999999998
01051,221.7
01053,233.0
01055,22.8
01057,15.9
01059,55.0
01061,368.6
01063,14.2
01065,55.4
01067,429.6
01069,157.1
01071,320.0
01073,5.45
01075,15.600000000000001
01077,708.8000000000001
01079,1023.1999999999999
01081,4.95
01083,767.5
01085,192.1
01087,66.6
01089,1137.35
01091,160.5
01093,54.65
01095,65.65
01097,66.6
01099,117.4
01101,104.9
01103,91.5
01105,595.8
01107,54.75
01109,202.0
01111,21.900000000000002
01113,179.4
01115,3.1
01117,23.65
01119,104.5
01121,56.199999999999996
01123,11.15
01125,27.25
01127,12.0
01129,74.2
01131,68.6
01133,10.0
04001,2.2
04003,13.2
04005,0.0
04007,0.5
04009,2.0
04011,0.1
04013,1.7
04015,3.6
04017,0.0
04019,2.2
04021,1.4
04023,2.2
04025,2.5
04027,58.0
05001,741.4
05003,287.6
05005,0.1
05007,18.5
05009,9.0
05015,12.5
05017,383.8
05021,532.1
05023,27.8
05029,66.7
05031,661.1
05033,36.4
05035,200.1
05037,222.2
05041,460.0
05043,152.5
05045,33.9
05047,13.9
05049,10.0
05053,0.8
05055,487.5
05059,0.3
05063,97.4
05065,10.1
05067,217.0
05069,670.5
05071,34.1
05073,267.6
05075,137.2
05077,494.4
05079,318.2
05081,209.8
05083,10.1
05085,541.1
05087,3.5
05091,235.1
05093,347.5
05095,423.4
05105,10.1
05107,555.2
05111,364.8
05115,30.2
05117,243.9
05119,85.3
05121,86.3
05123,253.3
05131,10.1
05143,13.2
05145,93.5
05147,278.1
05149,44.7
06005,49.6
06007,438.4
06011,252.3
06013,93.4
06017,1.8
06019,11362.5
06021,707.4
06025,0.0
06029,4544.1
06031,141.9
06033,433.2
06037,4.9
06039,4440.6
06045,15.5
06047,2315.4
06053,2129.0
06055,598.1
06057,108.1
06059,71.8
06065,580.2
06067,2450.2
06069,44.7
06071,17.7
06073,2859.0
06077,3850.6
06079,603.9
06081,14.5
06083,280.5
06095,161.1
06097,748.9
06099,3843.8
06101,413.4
06103,342.0
06107,7254.6
06111,1298.5
06113,1871.9
06115,42.7
08001,653.7
08005,3.2
08009,745.3
08011,181.9
08014,6.4
08017,1024.0
08025,4.5
08035,0.9
08039,110.1
08041,3.3
08043,3.2
08055,3.2
08061,386.7
08063,3167.4
08071,3.2
08073,481.2
08089,153.7
08095,1791.8
08099,500.6
08101,77.7
08121,1849.0
08125,3406.3
09001,66.0
09003,220.5
09005,159.6
09007,45.900000000000006
09009,163.45
09011,151.7
09013,120.7
09015,181.10000000000002
10001,1110.9
10003,401.7
10005,2214.2
12001,138.14999999999998
12003,3.8
12005,0.2
12007,135.35000000000002
12009,91.5
12011,0.5
12015,537.6
12017,135.75
12019,0.1
12021,537.6
12023,8.0
12027,6333.8
12029,1.0
12031,0.7
12033,3.7
12035,4.3
12039,0.5
12041,0.4
12043,528.0
12047,8.0
12049,5054.6
12051,8879.8
12053,21.15
12055,5512.0
12057,156.14999999999998
12059,3.7
12061,3337.8
12063,0.5
12065,2.3
12067,135.3
12069,258.85
12071,586.4
12073,0.4
12075,4.5
12079,6.9
12081,531.7
12083,47.7
12085,1880.0
12086,511.1
12089,0.5
12091,0.5
12093,543.7
12095,112.3
12097,166.05
12099,532.7
12101,79.95
12103,137.7
12105,2399.1499999999996
12107,6.35
12109,1.1
12111,2800.4
12113,4.1
12115,527.7
12117,21.05
12119,131.55
12121,1.6
12123,4.3
12127,30.6
12129,4.0
12131,0.5
12133,3.7
13001,546.6
13003,303.05
13005,146.3
13007,574.8
13009,173.60000000000002
13011,60.2
13013,165.8
13015,19.05
13017,321.75
13019,1271.6000000000001
13021,180.89999999999998
13023,163.65
13025,21.1
13027,472.6
13029,96.65
13031,415.15000000000003
13033,918.35
13035,172.89999999999998
13037,831.9
13039,0.95
13043,272.5
13045,96.35000000000001
13047,6.050000000000001
13049,83.35
13051,83.25
13053,102.2
13055,15.55
13057,15.95
13059,173.10000000000002
13061,144.7
13063,18.6
13065,124.7
13067,163.5
13069,504.75
13071,1345.25
13073,187.2
13075,317.95
13077,208.65
13079,1353.2
13081,1636.3
13083,53.55
13085,47.0
13087,605.05
13089,2.1
13091,275.25
13093,1192.15
13095,85.75
13097,2.6
13099,482.1
13101,168.5
13103,106.0
13105,172.8
13107,273.95000000000005
13109,588.4
13111,28.950000000000003
13113,96.2
13115,88.7
13117,174.5
13119,25.3
13121,164.2
13123,98.25
13125,179.9
13127,2.2
13129,61.6
13131,578.1
13133,270.6
13135,9.4
13137,54.4
13139,118.10000000000001
13141,207.0
13143,166.3
13145,17.2
13147,186.35
13149,108.6
13151,82.65
13153,1275.6999999999998
13155,1160.2
13157,21.8
13159,268.65
13161,337.2
13163,1124.3999999999999
13165,275.5
13167,411.65
13169,261.8
13171,135.8
