fips,mass
01033,1.4
01059,0.2
01077,0.5
01079,1.0
01083,11.6
01089,0.5
01093,1.0
01103,0.3
01133,1.0
04001,9.799999999999999
04003,10.4
04005,8.6
04007,14.8
04009,22.8
04011,7.5
04013,2.65
04015,9.799999999999999
04017,0.8500000000000001
04019,2.2
04021,19.1
04023,9.799999999999999
04025,9.25
04027,15.8
06007,1.7
06011,1.5
06013,2.0
06017,5.8
06019,275.8
06033,310.6
06037,0.2
06039,4.4
06043,2.4
06045,300.7
06047,3.2
06059,2.5
06061,1.7
06065,2.4
06067,2741.6
06069,13.3
06073,41.1
06077,457.4
06079,0.3
06083,48.2
06085,19.1
06087,4.0
06089,2.9
06095,22.4
06097,2.1
06099,57.1
06101,16.2
06107,18.9
06111,11.8
06113,115.6
06115,10.2
09001,3.4
09003,8.5
09005,2.8
09007,2.1
09009,7.8
09011,1.4
09013,1.2
09015,3.7
12001,66.5
12003,0.1
12007,64.9
12009,14.9
12011,0.1
12015,84.2
12017,65.30000000000001
12019,0.0
12021,84.2
12023,2.1
12027,984.9
12029,0.1
12031,0.1
12035,2.1
12041,0.25
12043,82.6
12047,2.1
12049,786.4
12051,1380.9
12053,10.3
12055,857.5
12057,75.1
12061,551.4
12067,64.9
12069,124.4
12071,91.7
12075,2.3
12081,82.7
12083,22.95
12085,292.9
12086,79.4
12089,0.1
12093,85.2
12095,53.9
12097,79.9
12099,86.4
12101,38.6
12103,66.1
12105,1152.8
12107,3.2
12109,0.5
12111,478.6
12115,82.7
12117,10.3
12119,63.3
12121,0.0
12123,2.1
12127,14.75
13009,0.3
13013,1.25
13015,0.2
13021,0.1
13045,1.25
13047,0.0
13053,1.25
13055,1.8
13057,3.1
13059,0.25
13077,0.25
13079,1.4
13083,1.0
13111,1.25
13113,1.25
13115,0.4
13117,1.25
13119,1.25
13121,0.25
13123,56.150000000000006
13129,0.4
13133,1.4
13137,1.9500000000000002
13139,1.25
13141,1.4
13143,1.25
13145,1.25
13147,1.25
13151,0.25
13157,0.25
13159,1.1
13167,0.6
13171,1.25
13175,1.5
13187,3.8499999999999996
13195,1.25
13197,1.25
13199,1.25
13207,1.4
13211,0.0
13213,1.0
13217,1.4
13219,1.25
13221,1.25
13223,1.0
13225,0.1
13227,1.25
13231,1.25
13233,0.6
13235,1.7
13237,0.5
13241,1.25
13247,2.2
13255,1.25
13257,1.25
13263,0.05
13265,1.4
13269,1.25
13281,1.25
13283,1.4
13285,1.25
13289,1.4
13291,1.25
13293,1.25
13295,1.4
13297,1.25
13303,0.3
13317,1.25
13319,1.4
17047,0.8
17191,2.8
17193,3.7
18015,1.0
18017,1.0
18019,0.1
18027,0.4
18029,0.0
18039,4.5
18041,0.1
18047,0.0
18049,1.0
18061,0.1
18065,0.1
18071,0.2
18073,2.6
18075,0.2
18077,0.1
18079,0.0
18083,0.6
18085,1.0
18089,1.0
18091,1.0
18099,1.0
18103,1.0
18115,0.0
18117,0.1
18127,1.2
18135,0.3
18137,0.0
18141,0.8
18143,0.0
18147,1.1
18149,1.0
18155,0.2
18169,1.0
18175,0.1
18177,0.5
18181,0.0
21001,2.2
21003,3.0
21005,0.75
21007,0.9
21009,3.9
21011,1.55
21013,1.5
21015,1.55
21017,1.95
21019,1.5
21021,1.6
21023,1.8
21025,0.1
21027,3.2
21029,1.5
21031,1.2
21033,6.9
21035,29.7
21037,1.55
21039,1.8
21041,0.1
21043,0.0
21045,1.9
21047,76.4
21049,0.8500000000000001
21051,1.75
21053,1.5
21057,1.5
21059,38.1
21061,1.6
21063,1.5
21065,0.8
21067,1.75
21069,1.85
21071,0.0
21073,0.8
21077,0.25
21079,2.1
21081,2.25
21083,22.8
21085,1.3
21087,3.1
21089,1.55
21091,2.0
21093,0.7
21095,9.3
21097,5.65
21099,4.0
21101,3.2
21103,1.95
21105,1.5
21107,1.9
21109,1.5
21111,0.9
21113,1.6
21115,0.8
