fips,mass
01001,10.4
01003,101.2
01005,11.5
01007,24.4
01009,41.5
01011,2.3
01013,1.6
01015,46.2
01017,2.8
01019,148.0
01021,13.6
01023,1.6
01027,2.8
01029,3.4
01031,9.0
01033,441.6
01035,1.5
01039,10.3
01041,0.9
01043,164.7
01045,7.6
01047,54.0
01049,281.7
01051,6.3
01053,24.9
01055,43.8
01057,13.1
01059,31.3
01061,15.4
01063,1.6
01065,1.6
01067,7.0
01069,17.4
01071,479.9
01073,4.1
01075,20.4
01077,423.0
01079,600.5
01081,2.8
01083,958.2
01085,9.6
01087,5.5
01089,646.1
01091,11.4
01093,59.9
01095,105.5
01097,21.7
01099,5.1
01101,18.0
01103,117.2
01105,88.5
01107,40.3
01109,19.4
01111,2.8
01113,0.3
01115,1.4
01117,29.3
01119,15.0
01121,58.3
01123,2.8
01125,41.9
01127,15.9
01129,1.6
01131,1.6
01133,3.1
05001,5864.2
05003,249.2
05007,24.7
05017,890.3
05019,24.2
05021,3198.4
05025,0.1
05027,1.2
05029,97.3
05031,3122.2
05033,94.6
05035,6256.4
05037,4300.0
05041,982.3
05043,190.5
05045,49.7
05047,15.3
05049,14.5
05053,0.7
05055,2209.3
05057,2.5
05059,2.1
05063,664.8
05065,1.0
05067,3322.0
05069,602.9
05071,13.9
05073,134.5
05075,1908.8
05077,4305.5
05079,405.9
05081,89.6
05083,19.3
05085,3368.4
05087,3.6
05091,167.4
05093,7539.0
05095,3145.2
05105,10.3
05107,7513.0
05111,4306.0
05115,43.4
05117,3081.6
05119,102.6
05121,835.1
05123,4136.5
05125,0.7
05131,7.3
05133,3.6
05143,3.6
05145,940.3
05147,3754.2
05149,24.8
06007,9.3
06011,60.5
06019,62.7
06021,25.7
06029,18.9
06031,7.3
06047,70.6
06049,159.8
06053,25.9
06067,3.4
06069,2.8
06077,128.0
06079,1.1
06083,11.8
06085,2.5
06089,7.3
06093,78.2
06095,16.8
06099,12.0
06101,3.8
06107,21.1
06111,121.2
06113,51.6
06115,4.9
08001,799.7
08003,3.95
08005,79.15
08007,2.0
08009,911.4
08011,137.0
08013,11.55
08014,9.9
08015,1.2
08017,513.0
08019,0.1
08021,3.95
08023,11.9
08025,4.6
08027,8.7
08029,12.15
08031,82.69999999999999
08033,16.4
08035,21.05
08037,2.0
08039,76.3
08041,6.1
08043,3.55
08045,11.4
08047,0.1
08049,0.7
08051,0.1
08053,0.1
08055,2.5
08057,1.9
08059,8.4
08061,1141.7
08063,1529.3
08067,6.7
08069,27.75
08071,31.349999999999998
08073,748.8499999999999
08075,392.85
08077,14.55
08079,0.1
08081,21.5
08083,16.45
08085,11.8
08087,139.1
08089,111.44999999999999
08091,0.1
08093,0.1
08095,367.15000000000003
08097,0.1
08099,695.8
08101,60.400000000000006
08103,1.1
08105,4.25
08107,5.2
08109,6.55
08113,1.5
08115,248.6
08119,0.1
08121,649.95
08123,379.54999999999995
08125,873.35
10001,582.9
10003,139.9
10005,769.0
12001,34.4
12003,0.0
12007,28.6
12009,10.4
12011,0.1
12015,34.4
12017,33.8
12019,0.1
12021,34.4
12023,2.8
12027,343.4
12029,0.0
12031,0.1
12035,0.9
12041,2.3
12043,32.6
12047,0.9
12049,277.2
12051,482.8
12053,9.8
12055,301.8
12057,38.1
12061,471.6
12067,34.5
12069,59.6
12071,37.0
12075,3.6
12081,28.7
12083,11.0
12085,106.5
12086,27.5
12089,0.1
12093,34.7
12095,23.5
12097,40.2
12099,60.6
12101,22.2
12103,28.9
12105,550.3
12107,6.7
12109,0.2
12111,538.3
12115,33.8
12117,9.8
12119,33.0
12121,3.4
12123,0.9
12127,7.5
13001,6.2
13003,9.45
13005,0.2
13007,8.4
13011,4.0
13015,33.7
13017,3.0
13019,15.6
13021,2.2
13023,26.0
13027,39.550000000000004
13029,0.2
13031,56.6
13033,39.1
13035,2.2
13037,2.2
13043,2.2
13045,2.2
13055,40.4
13059,7.7
13061,2.2
13065,3.0
13069,24.7
13071,14.45
13073,2.2
13075,6.1
13077,2.2
13079,2.2
13081,4.7
13085,7.7
13087,13.7
13091,9.549999999999999
13093,41.2
13095,2.2
13097,2.6
13099,13.6
13101,3.0
13103,22.9
13105,26.8
13107,35.0
13111,2.8
13115,62.6
13119,7.5
13121,0.0
13123,2.6999999999999997
13125,4.9
13129,60.2
13131,9.85
13135,7.7
13137,1.0
