fips,mass
08013,1.4
08037,0.8
08059,34.8
08069,2.7
08075,34.8
08081,9.0
08087,34.8
08103,33.7
08107,0.8
08115,61.5
08123,96.1
16001,4.1
16003,2.1
16005,12.8
16007,2.7
16009,18.4
16011,69.1
16017,0.3
16019,16.7
16021,4.9
16023,2.7
16025,2.1
16027,17.8
16029,18.0
16031,28.2
16033,2.7
16035,4.6
16039,11.5
16041,11.7
16043,2.7
16045,2.1
16047,1.4
16049,40.7
16051,2.7
16053,4.1
16055,7.8
16057,56.7
16061,39.6
16063,2.9
16065,2.7
16067,2.1
16069,72.4
16071,13.4
16073,4.8
16075,4.1
16077,57.7
16081,1.7
16083,8.5
16085,0.5
16087,3.7
30003,50.3
30005,17.0
30007,7.0
30009,4.1
30011,35.9
30013,88.3
30015,125.5
30017,8.5
30019,3.5
30021,6.8
30025,17.2
30027,85.3
30029,5.3
30031,13.6
30033,3.3
30035,26.7
30037,9.6
30041,90.0
30043,4.0
30045,30.5
30047,2.3
30049,3.4
30051,52.9
30053,2.3
30055,9.1
30057,3.3
30059,3.4
30061,0.1
30063,2.3
30065,13.0
30067,2.6
30069,7.6
30071,7.7
30073,29.8
30075,6.3
30079,7.8
30081,0.3
30083,6.0
30085,4.6
30087,14.1
30089,0.2
30091,4.3
30095,19.9
30097,3.7
30099,29.6
30101,22.6
30103,3.7
30105,12.1
30107,15.7
30109,14.1
30111,64.2
31005,1.7
31007,43.4
31013,68.3
31015,1.2
31017,3.4
31031,2.7
31033,135.6
31045,1.7
31049,58.0
31069,26.3
31089,5.8
31103,2.2
31105,81.7
31113,0.4
31115,0.1
31117,1.7
31123,20.0
31157,5.6
31161,21.3
31165,2.4
31183,0.1
32001,0.7
32005,0.7
32013,0.7
32019,0.7
32027,0.7
38001,0.4
38007,1.4
38011,0.5
38013,0.3
38015,1.1
38023,2.6
38025,3.5
38029,0.8
38033,1.2
38037,0.3
38041,1.3
38053,1.2
38055,1.0
38057,2.5
38059,0.5
38061,0.5
38065,1.1
38075,1.0
38085,2.6
38087,5.8
38089,0.4
38101,3.0
38105,1.2
40005,0.0
40009,15.1
40011,71.4
40013,0.8
40015,64.0
40017,53.1
40019,0.5
40027,0.4
40029,0.3
40031,20.8
40033,54.3
40037,0.5
40039,56.8
40043,29.6
40049,4.9
40051,22.1
40055,34.3
40057,25.6
40065,82.3
40067,5.5
40069,0.1
40073,74.0
40075,121.6
40081,1.6
40083,19.7
40085,0.3
40087,4.5
40095,0.6
40099,0.3
40107,1.8
40109,1.4
40119,3.2
40123,0.1
40125,1.3
40129,12.8
40133,0.3
40137,3.3
40141,56.0
40149,81.0
41001,6.9
41003,1.2
41005,0.3
41009,0.3
41011,0.3
41013,0.2
41017,0.5
41019,0.1
41021,58.9
41023,0.4
41025,0.6
41029,0.1
41031,1.8
41033,0.3
41035,3.3
41037,0.3
41039,1.2
41041,0.3
41043,0.3
41045,15.8
41047,3.9
41049,131.3
41051,0.3
41053,3.7
41055,108.2
41059,221.6
41061,11.6
41063,2.4
41065,61.0
41067,2.5
41069,0.4
41071,0.9
46003,2.1
46005,7.1
46007,16.5
46013,0.3
46015,16.9
46017,2.1
46019,2.7
46021,1.0
46031,13.0
46033,2.1
46041,4.7
46045,1.6
46047,2.4
46049,2.2
46053,11.6
46055,27.4
46059,2.2
46063,2.7
46065,14.3
46069,2.9
46071,14.2
46073,5.0
46075,19.4
46081,0.5
46085,43.8
46089,2.1
46093,14.8
46095,10.0
46102,2.1
46103,18.8
46105,4.4
46107,18.8
46115,3.0
46117,24.1
46119,19.6
46121,2.6
46123,24.9
46129,4.5
46137,28.4
48009,8.2
48033,0.2
48049,0.9
48059,10.7
48075,4.2
48077,8.3
48087,4.1
48093,1.5
48101,3.3
48125,0.8
48129,1.4
48133,1.4
48143,0.7
48155,12.1
48169,3.3
48191,2.4
48197,3.3
48221,3.3
48237,0.1
48263,3.3
48269,3.3
48333,0.6
48337,2.8
48345,3.3
48363,0.9
48367,0.1
48417,2.8
48425,0.0
48429,0.7
48447,22.3
48483,2.8
48485,27.3
48487,31.3
48497,2.1
48503,9.1
49003,47.0
49005,13.4
49007,1.3
49011,1.3
49013,0.5
49015,1.3
49019,0.1
49023,1.3
49027,3.1
49035,2.4
49037,28.5
49039,0.6
49041,1.3
49045,1.3
49047,1.3
49049,1.3
49051,1.3
49057,1.3
53001,123.2
53003,18.7
53005,57.9
53007,0.1
53009,0.1
53011,0.1
53013,45.6
53015,0.1
53017,72.9
53019,0.1
53021,25.8
53023,55.1
53025,57.1
53027,0.7
53029,0.1
53037,0.1
53039,20.1
53041,0.1
53043,115.9
53047,4.2
53053,0.1
53057,1.4
53061,0.1
53063,55.6
53065,1.4
53071,136.9
53073,0.1
53075,293.3
53077,10.2
56001,7.0
56003,9.8
56005,2.8
56011,2.4
56013,0.7
56015,10.1
56017,9.8
56019,13.1
56021,10.1
56025,0.6
56027,2.4
56031,10.1
56033,13.1
56043,9.8
56045,0.2
