fips,mass
01001,91.05
01003,4811.85
01005,654.65
01007,26.0
01009,22.0
01011,191.1
01013,356.2
01015,15.0
01019,22.0
01021,2617.5
01023,28.55
01025,49.9
01027,26.0
01029,5.0
01031,1486.25
01033,37.3
01035,124.75
01037,10.0
01039,993.3
01041,148.15
01043,45.1
01045,1848.15
01047,314.05
01049,30.0
01051,47.1
01053,2043.0
01055,22.0
01057,14.5
01059,187.5
01061,2902.9500000000003
01063,27.65
01065,44.65
01067,2416.5
01069,3636.9
01071,26.0
01073,22.0
01075,22.0
01077,22.0
01079,1182.3
01081,5.0
01083,26.0
01085,222.5
01087,123.2
01089,22.0
01091,54.199999999999996
01093,22.0
01095,8.8
01097,1191.35
01099,1167.65
01101,32.85
01103,56.6
01105,70.1
01107,22.0
01109,493.25
01113,582.8
01115,10.0
01117,2.5
01119,55.199999999999996
01121,22.0
01123,22.0
01125,22.0
01127,22.0
01129,739.9
01131,56.6
04001,5980.45
04003,9304.95
04005,770.3
04007,2293.1
04009,1407.7
04011,4835.1
04012,977.0
04013,47018.850000000006
04015,1492.4
04017,3598.3
04019,1494.7
04021,12536.2
04023,1355.9
04025,1635.1
04027,24400.35
05007,156.0
05009,91.8
05015,3.4
05087,4.7
05143,91.8
06001,9209.9
06005,26746.6
06007,30924.7
06009,3800.0
06011,83658.3
06013,42573.6
06017,13736.2
06019,4370762.6
06021,39021.0
06023,337.4
06025,735368.9
06029,2180839.0
06031,792956.4
06033,132732.3
06037,3263.1
06039,1538355.1
06041,1306.7
06043,16.0
06045,197855.1
06047,917135.7
06053,407664.4
06055,399091.0
06057,4290.8
06059,762.3
06061,463.7
06065,220946.7
06067,1223647.1
06069,54560.8
06071,492.6
06073,12068.5
06077,3167766.5
06079,254828.9
06081,742.5
06083,444322.1
06085,19350.2
06087,18071.1
06089,142.5
06093,7232.9
06095,206993.4
06097,747599.6
06099,339699.7
06101,123266.7
06103,17414.1
06107,1143627.4
06109,176.5
06111,92328.4
06113,999508.0
06115,25733.9
08007,15.0
08015,0.2
08029,2362.7
08033,18.5
08045,44.0
08067,60.0
08077,1206.2
08083,262.9
08085,228.0
08107,13.9
08113,16.6
09001,32.2
09003,213.7
09005,96.85
09007,52.599999999999994
09009,164.1
09011,52.35
09013,124.7
09015,69.35
10003,0.8
12001,7704.15
12003,17.9
12005,33.0
12007,5073.1
12009,7927.2
12011,333.9
12013,47.4
12015,25548.6
12017,6949.55
12019,32.25
12021,24937.0
12023,484.4
12027,243939.2
12029,77.7
12031,62.3
12033,129.3
12035,304.6
12039,47.4
12041,1006.05
12043,23433.3
12045,47.4
12047,73.7
12049,196947.5
12051,349398.9
12053,2861.85
12055,214598.8
12057,7727.75
12059,47.4
12061,352397.4
12063,118.9
12065,467.0
12067,95.9
12069,11344.7
12071,26522.9
12073,47.4
12075,1188.1
12077,1.3
12079,51.2
12081,24767.8
12083,2829.2999999999997
12085,76118.8
12086,30608.7
12089,44.3
12091,47.4
12093,25538.1
12095,4013.5
12097,8158.5
12099,54804.3
12101,5087.400000000001
12103,4929.65
12105,104164.35
12107,2342.8500000000004
12109,178.3
12111,405634.1
12113,44.9
12115,24456.8
12117,2857.65
12119,6798.799999999999
12121,117.3
12123,34.6
12125,1.7
12127,1504.9
12129,9.2
12131,47.4
12133,11.9
13001,1625.4499999999998
13003,1973.6999999999998
13005,959.05
13007,2823.15
13009,68.7
13011,15.200000000000001
13013,2257.5
13015,17.5
13017,1219.8999999999999
13019,4843.65
13021,140.6
13023,995.0
13025,17.0
13027,2355.3999999999996
13029,215.2
13031,4610.45
13033,3733.7000000000003
13035,66.7
13037,4717.8
13039,2.2
13043,473.25
13045,62.1
13047,14.0
13049,81.8
13051,80.7
13053,438.5
13055,7.5
13057,2197.35
13059,65.60000000000001
13061,1018.8
13065,92.7
13067,123.6
13069,4190.25
13071,6023.700000000001
13073,953.4000000000001
13075,2027.3
13077,491.6
13079,1008.75
13081,3041.8500000000004
13083,429.8
13085,1.3
13087,6236.55
13089,1.6
13091,1809.9
13093,4519.3
13095,6231.25
13097,0.2
13099,4551.0
13101,502.45
13103,1865.6499999999999
13105,65.10000000000001
13107,2009.85
13109,476.5
13111,2195.7
13113,429.85
13115,429.8
13117,2257.5
13119,15.7
13121,2257.5
13123,513.0
13125,200.0
13127,1.7
13129,96.6
13131,3793.8999999999996
13133,496.0
13135,0.0
13137,430.0
13139,1.6
13141,229.9
13143,429.8
13145,20.25
13147,491.6
13149,62.1
