fips,mass
08001,86.9
08005,0.4
08009,99.0
08011,24.2
08013,3.9
08014,0.9
08017,136.1
08025,0.6
08035,0.1
08039,14.6
08041,0.4
08043,0.4
08055,0.4
08059,0.2
08061,51.4
08063,420.9
08069,16.7
08071,0.4
08073,64.0
08075,106.7
08087,86.5
08089,20.4
08095,238.1
08099,66.5
08101,10.3
08115,61.8
08121,245.7
08123,176.1
08125,452.7
17001,35.05
17003,0.6
17005,13.8
17007,269.3
17009,13.3
17011,84.25
17013,5.6
17015,47.45
17017,22.2
17019,925.3499999999999
17021,49.0
17023,10.6
17025,7.8
17027,10.0
17029,10.9
17031,14.6
17033,9.5
17035,6.5
17037,987.1
17039,36.849999999999994
17041,12.7
17043,7.2
17045,16.0
17047,2.4499999999999997
17049,11.6
17051,13.1
17053,423.8
17055,2.1999999999999997
17057,29.2
17059,8.1
17061,30.7
17063,524.1
17065,3.5
17067,35.849999999999994
17069,0.2
17071,18.400000000000002
17073,80.0
17075,1064.7
17077,3.4
17079,9.9
17081,2.65
17083,19.4
17085,36.25
17087,0.5
17089,380.2
17091,514.5
17093,327.9
17095,36.55
17097,45.6
17099,1331.1
17101,10.5
17103,81.65
17105,933.4
17107,75.9
17109,27.7
17111,458.2
17113,122.8
17115,55.9
17117,43.0
17119,32.3
17121,7.5
17123,42.0
17125,55.75
17127,1.35
17129,29.75
17131,42.95
17133,5.7
17135,48.1
17137,33.8
17139,11.6
17141,72.5
17143,45.8
17145,4.4
17147,407.5
17149,41.5
17151,0.35
17153,2.1
17155,8.0
17157,7.1
17159,7.3
17161,23.25
17163,10.2
17165,2.4
17167,66.0
17169,27.3
17171,15.7
17173,16.4
17175,38.55
17177,55.9
17179,61.1
17181,1.9
17183,694.7
17185,2.75
17187,64.2
17189,13.3
17191,6.6
17193,5.1499999999999995
17195,77.0
17197,429.3
17199,1.9
17201,28.4
17203,54.0
18001,5.05
18003,6.0
18005,4.8500000000000005
18007,501.3
18009,29.0
18011,6.65
18013,0.95
18015,94.4
18017,76.05
18019,17.6
18021,100.9
18023,7.95
18025,1.9500000000000002
18027,5.05
18029,3.6
18031,5.6
18033,2.95
18035,51.15
18037,3.1
18039,57.7
18041,27.2
18043,3.95
18045,74.35
18047,29.05
18049,88.8
18051,5.05
18053,4.45
18055,2.75
18057,3.8
18059,5.3
18061,23.65
18063,4.7
18065,52.55
18067,4.4
18069,4.55
18071,50.1
18073,280.65
18075,59.55
18077,12.6
18079,23.55
18081,4.05
18083,8.65
18085,88.75
18087,4.1499999999999995
18089,99.3
18091,241.45
18093,16.7
18095,6.2
18097,0.5
18099,70.05
18101,0.75
18103,54.9
18105,4.449999999999999
18107,95.55
18109,3.1
18111,165.15
18113,5.15
18115,1.7
18117,25.55
18119,19.7
18121,50.849999999999994
18123,7.95
18125,1.1
18127,103.35
18129,4.4
18131,201.75
18133,49.65
18135,84.85
18137,34.0
18139,6.65
18141,56.2
18143,14.65
18145,7.05
18147,2.9
18149,115.7
18151,3.05
18153,3.85
18155,5.7
18157,76.8
18159,5.45
18161,27.25
18163,1.45
18165,39.45
18167,37.35
18169,67.8
18171,66.2
18173,2.0
18175,39.35
18177,46.0
18179,6.2
18181,284.5
18183,4.4
19001,261.7
19003,171.7
19005,189.3
19007,38.9
19009,308.6
19011,621.6
19013,341.0
19015,462.0
19017,311.5
19019,430.1
19021,875.6
19023,1270.0
19025,471.6
19027,480.4
19029,291.0
19031,542.0
19033,1184.5
19035,740.4
19037,342.1
19039,38.9
19041,753.8
19043,364.3
19045,677.9
19047,568.2
19049,388.7
19051,39.6
19053,60.7
19055,501.8
19057,74.8
19059,443.0
19061,362.3
19063,555.8
19065,383.1
19067,1054.8
19069,1406.3
19071,305.0
19073,443.6
19075,450.0
19077,307.4
19079,492.0
19081,1405.2
19083,552.6
19085,470.7
19087,103.8
19089,310.6
19091,821.9
19093,343.0
19095,431.3
19097,384.7
19099,448.7
19101,80.3
19103,400.8
19105,550.0
19107,126.0
19109,2221.4
19111,79.5
19113,490.1
19115,89.9
19117,42.6
19119,914.6
19121,113.2
19123,140.1
19125,129.0
19127,411.3
19129,236.4
19131,1110.3
19133,409.0
19135,54.5
19137,252.7
19139,302.4
19141,760.6
19143,600.5
19145,328.6
19147,934.3
19149,1164.8
19151,833.0
19153,241.2
19155,642.4
19157,390.6
19159,81.2
19161,463.3
19163,375.2
19165,462.0
19167,1350.5
19169,455.5
19171,484.6
19173,219.1
19175,110.6
19177,50.9
19179,67.2
19181,113.0
19183,133.2
19185,100.0
19187,589.1
19189,892.0
19191,388.6
19193,517.0
19195,821.2
19197,1308.6
20001,48.4
20003,137.3
20005,140.9
20007,19.7
20009,69.0
20011,30.7
20013,240.2
20015,192.9
20017,23.6
20019,7.4
20021,152.0
20023,121.2
20025,3.5
20027,98.7
20029,67.3
20031,70.8
20033,5.0
20035,58.0
20037,118.7
20039,142.7
20041,58.8
20043,143.4
20045,83.4
20047,111.8
20049,13.1
20051,19.4
20053,18.1
20055,276.1
20057,100.1
20059,94.3
20061,29.5
20063,193.7
20065,98.2
20067,167.0
20069,176.7
20071,112.6
20073,18.4
20075,39.7
20077,7.2
20079,145.8
20081,212.2
20083,40.9
20085,86.9
20087,83.6
20089,111.5
20091,25.3
20093,105.4
20095,21.6
20097,59.8
20099,114.8
20101,40.6
20103,51.2
20105,16.8
20107,40.8
20109,172.5
20111,85.4
20113,108.7
20115,124.5
20117,273.0
20119,146.2
20121,77.5
20123,64.9
20125,96.4
20127,46.8
20129,64.7
20131,239.6
20133,98.5
20135,34.8
20137,222.1
20139,102.8
20141,53.0
20143,42.2
20145,101.6
20147,143.5
20149,90.9
20151,98.5
20153,171.2
20155,101.3
20157,167.9
20159,93.8
20161,37.1
20163,34.3
20165,31.8
20167,12.4
20169,16.0
20171,165.4
20173,102.9
20175,135.9
20177,71.5
20179,305.0
20181,275.3
20183,139.2
20185,135.4
20187,168.6
20189,256.1
20191,124.8
20193,449.7
20195,36.6
20197,48.5
20199,135.8
20201,174.4
20203,156.0
20205,93.0
20207,55.8
20209,6.6
21001,0.0
21003,0.0
21007,20.15
21009,0.0
21027,0.1
21029,0.0
21031,0.0
21033,24.2
21035,25.6
21039,23.9
21045,0.0
21047,73.80000000000001
21055,17.9
21059,60.15
21075,40.6
21083,54.5
21085,0.0
21087,0.0
21091,3.85
21093,0.1
21099,0.1
21101,49.95
21105,36.45
21107,21.5
21111,0.0
21123,0.1
21139,7.6
21141,50.95
21143,2.25
21145,9.8
21149,31.25
21155,0.0
21157,6.0
21163,0.1
21169,0.1
21171,0.0
21177,11.7
21179,0.0
21183,20.05
21207,0.0
21213,27.85
21217,0.0
21219,38.4
21221,20.2
21225,73.75
21227,0.0
21233,36.8
26001,7.1
26003,0.3
26005,272.6
26007,15.8
26009,6.8
26011,40.9
26013,1.0
26015,6.5
26017,135.3
26019,3.6
26021,147.7
26023,14.1
26025,10.7
26027,248.5
26029,6.5
26031,1.3
26033,0.1
26035,11.3
26037,10.8
26039,0.4
26041,4.7
26043,1.2
26045,7.8
26047,2.3
26049,4.6
26051,14.0
26053,0.1
26055,11.5
26057,235.4
26059,10.9
26061,1.2
26063,263.9
26065,7.9
26067,11.9
26069,12.0
26071,0.6
26073,95.8
26075,7.3
26077,173.1
26079,0.6
26081,153.7
26085,2.6
26087,6.2
26089,6.7
26091,18.4
26093,3.0
26095,0.0
26097,1.7
26099,4.1
26101,11.5
26103,0.9
26105,36.7
26107,50.8
26109,25.5
26111,39.3
26113,68.8
26115,10.3
26117,160.5
26119,3.1
26121,26.0
26123,72.7
26125,0.7
26127,51.9
26129,30.0
26131,0.1
26133,29.0
26135,1.9
26137,1.9
26139,180.5
26141,15.5
26143,0.1
26145,225.2
26147,4.3
26149,15.0
26151,226.6
26153,0.4
26155,7.1
26157,191.2
26159,134.4
26161,7.4
26163,0.8
26165,13.2
27001,3.8
27003,24.9
27005,67.0
27007,7.6
27009,33.4
27011,50.8
27013,424.40000000000003
27015,396.4
27017,1.6
27019,35.3
27021,12.6
27023,79.7
27025,60.4
27027,164.6
27029,5.5
27033,90.75
27035,15.5
27037,254.6
27039,286.59999999999997
27041,35.2
27043,500.85
27045,329.95
27047,482.2
27049,376.9
27051,65.0
27053,26.7
27055,111.85
27057,26.6
27059,82.4
27061,2.0
27063,84.9
27065,41.9
27067,98.1
27069,19.9
27071,6.0
27073,86.6
27077,1.3
27079,242.6
27081,62.150000000000006
27083,96.0
27085,66.8
27087,51.4
27089,58.5
27091,608.05
27093,62.2
27095,73.6
27097,49.1
