fips,mass
01007,3.7
01009,1.7
01015,1.6
01017,0.6
01019,18.1
01021,2.4
01027,2.4
01029,2.4
01037,0.1
01043,21.2
01049,53.6
01055,4.7
01057,3.3
01071,77.1
01073,0.4
01075,2.9
01081,0.8
01095,15.7
01107,12.5
01111,5.0
01115,0.2
01117,5.4
01121,12.8
01123,2.0
01125,5.7
01127,2.0
08013,2.1
08059,0.1
08069,9.2
08075,58.6
08087,47.5
08115,33.9
08123,96.7
09001,1.0
09003,12.1
09005,21.3
09007,1.0
09009,3.3
09011,25.2
09013,18.6
09015,22.7
10003,28.9
13015,4.1
13047,1.0
13055,3.0
13083,0.2
13115,9.0
13129,12.1
13213,4.0
13223,0.1
13233,3.1
13295,1.4
13313,1.3
16009,2.7
16017,0.2
16021,0.1
16049,0.3
16055,0.3
16057,0.1
16069,0.5
17001,206.4
17003,9.2
17005,47.2
17007,294.3
17009,78.4
17011,827.2
17013,19.05
17015,465.8
17017,75.75
17019,130.05
17021,167.7
17023,170.0
17025,126.9
17027,161.6
17029,175.1
17031,15.8
17033,153.5
17035,104.8
17037,1078.0
17039,217.8
17041,206.1
17043,7.9
17045,257.8
17047,38.35
17049,187.3
17051,210.3
17053,59.5
17055,34.449999999999996
17057,171.75
17059,130.9
17061,104.9
17063,572.7
17065,55.05
17067,210.85
17069,2.6
17071,108.44999999999999
17073,786.0
17075,149.4
17077,55.6
17079,160.5
17081,41.4
17083,66.0
17085,355.9
17087,8.8
17089,415.3
17091,73.2
17093,358.2
17095,215.1
17097,49.8
17099,1453.2
17101,168.2
17103,802.8
17105,131.0
17107,449.6
17109,163.15
17111,500.2
17113,722.6
17115,328.7
17117,146.6
17119,111.25
17121,121.0
17123,258.1
17125,336.2
17127,20.2
17129,175.7
17131,421.8
17133,90.2
17135,164.25
17137,115.25
17139,187.1
17141,713.1
17143,275.6
17145,71.7
17147,57.2
17149,141.75
17151,4.65
17153,33.7
17155,79.0
17157,112.8
17159,117.7
17161,228.0
17163,164.4
17165,38.75
17167,225.05
17169,160.9
17171,53.400000000000006
17173,265.5
17175,227.7
17177,548.6
17179,362.6
17181,30.8
17183,97.5
17185,42.8
17187,377.5
17189,215.3
17191,105.80000000000001
17193,81.80000000000001
17195,757.8
17197,469.1
17199,31.3
17201,278.9
17203,317.8
18001,18.95
18003,22.6
18005,48.599999999999994
18007,790.3
18009,9.05
18011,78.0
18013,0.8
18015,216.2
18017,174.45
18019,18.049999999999997
18021,106.1
18023,93.15
18025,1.75
18027,79.65
18029,3.65
18031,64.7
18033,11.15
18035,16.05
18037,49.95
18039,132.85
18041,8.45
18043,3.8
18045,78.25
18047,29.55
18049,203.4
18051,79.95
18053,50.95
18055,44.3
18057,43.55
18059,60.25
18061,24.1
18063,54.55
18065,16.35
18067,50.15
18069,17.05
18071,50.95
18073,884.8
18075,18.9
18077,12.75
18079,23.9
18081,46.55
18083,118.30000000000001
18085,203.45000000000002
18087,15.4
18089,312.7
18091,760.7
18093,17.05
18095,71.95
18097,4.7
18099,160.55
18101,11.9
18103,125.8
18105,4.35
18107,100.55
18109,36.3
18111,520.7
18113,19.4
18115,1.75
18117,25.8
18119,20.8
18121,53.6
18123,8.15
18125,17.900000000000002
18127,325.8
18129,69.65
18131,636.1
18133,52.2
18135,26.4
18137,34.65
18139,76.5
18141,128.9
18143,14.95
18145,81.2
18147,45.05
18149,364.8
18151,11.5
18153,54.25
18155,6.0
18157,80.8
18159,62.65
18161,8.600000000000001
18163,23.4
18165,41.5
18167,39.349999999999994
18169,155.35
18171,69.6
18173,32.0
18175,40.0
18177,14.4
18179,23.3
18181,896.6
18183,16.5
19001,4.9
19003,3.1
19005,192.6
19007,1.1
19009,5.85
19011,670.3
19013,347.0
19015,56.550000000000004
19017,317.0
19019,437.7
19021,121.0
19023,99.7
19025,8.8
19027,8.95
19029,5.2
19031,584.6
19033,92.9
19035,102.6
19037,348.3
19039,1.1
19041,104.1
19043,370.7
19045,731.0
19047,10.55
19049,47.099999999999994
19051,61.0
19053,1.7
19055,510.5
19057,115.35
19059,61.2
19061,368.7
19063,77.1
19065,389.9
19067,82.8
19069,110.4
19071,5.6
19073,8.25
19075,108.9
19077,5.75
19079,59.65
19081,110.3
19083,68.60000000000001
19085,8.7
19087,160.0
19089,316.0
19091,64.6
19093,6.45
19095,465.2
19097,414.8
19099,54.4
19101,123.64999999999999
19103,432.3
19105,592.9
19107,194.15
19109,174.3
19111,122.39999999999999
19113,529.1
19115,276.8
19117,1.2
19119,126.8
