fips,mass
01003,0.6
01005,0.3
01013,0.3
01023,0.3
01025,0.0
01031,0.3
01035,0.2
01039,0.2
01041,0.0
01045,0.1
01053,0.2
01061,1.0
01067,0.0
01069,10.0
01097,1.9
01099,0.1
01109,0.3
01113,0.5
01129,0.5
01131,0.5
12003,0.0
12005,0.1
12013,3.0
12023,0.2
12029,0.1
12031,0.1
12033,0.6
12039,3.2
12045,3.2
12047,0.0
12059,0.5
12063,13.2
12065,0.5
12067,3.2
12073,3.2
12077,3.2
12079,3.2
12089,3.2
12091,0.0
12113,0.1
12121,21.9
12123,0.3
12129,0.3
12131,0.1
12133,0.0
13003,0.7
13017,0.7
13019,13.1
13027,5.1
13037,1.6
13061,1.3
13065,0.7
13069,0.7
13071,14.7
13075,27.1
13081,49.2
13087,18.0
13093,0.7
13095,0.7
13099,0.7
13101,0.7
13131,0.0
13155,0.7
13161,1.0
13173,0.7
13177,0.7
13185,0.7
13201,0.7
13205,0.2
13239,0.7
13243,0.7
13253,0.7
13259,0.7
13261,0.7
13271,0.7
13273,0.3
13275,0.7
13277,47.4
13287,16.5
13307,1.2
13315,28.0
13321,42.7
18015,1.1
18039,1.1
18049,2.0
18085,1.1
18091,1.1
18099,2.2
18103,1.1
18127,1.1
18141,1.1
18149,1.3
18169,3.3
18181,0.1
24001,4.3
24023,6.5
26005,64.1
26009,0.7
26015,0.6
26019,2.4
26021,201.45
26023,3.0
26025,1.3
26027,7.5
26029,2.4
26035,3.5
26037,3.0
26045,3.0
26047,0.3
26051,3.6
26055,1.0
26057,7.9
26059,0.6
26065,0.4
26067,1.9
26073,3.4
26075,3.0
26077,5.699999999999999
26079,2.4
26081,5.6
26085,2.5999999999999996
26089,2.4
26101,2.4
26105,69.44999999999999
26107,8.3
26111,3.0
26117,6.1
26121,2.3
26123,4.25
26127,681.7
26133,3.4
26139,5.5
26149,3.0
26155,3.0
26159,68.35
26165,2.4
36003,0.7
36007,0.9
36009,0.7
36011,0.7
36013,0.6
36015,1.4
36017,0.2
36023,0.7
36029,0.2
36037,0.0
36043,0.7
36051,0.7
36053,0.4
36055,9.1
36063,34.7
36065,2.4
36067,7.0
36069,0.7
36073,60.8
36075,3.1
36077,1.6
36097,0.3
36099,0.6
36101,0.2
36107,0.7
36109,0.7
36117,251.9
36121,0.7
36123,1.4
42001,1236.8
42003,14.8
42005,3.1
42007,7.6
42009,83.0
42013,8.3
42019,7.2
42021,3.3
42027,19.2
42031,8.3
42033,2.4
42037,3.6
42041,8.3
42043,8.3
42051,8.3
42055,114.5
42057,1.8
42059,1.8
42061,22.8
42063,10.0
42065,0.8
42067,7.4
42073,8.3
42087,5.4
42093,8.8
42097,21.7
42099,8.3
42109,33.8
42111,1.8
42119,1.6
42125,10.0
42129,6.8
42133,67.8
53001,61.5
53003,20.9
53005,69.4
53007,15.4
53013,11.9
53017,20.5
53019,72.7
53021,758.5
53023,9.5
53025,1330.7
53037,156.9
53039,303.1
53043,212.9
53047,263.4
53051,27.8
53063,407.1
53065,363.3
53071,164.6
53075,119.1
53077,422.1
54001,0.9
54009,4.9
54017,4.9
54033,2.7
54041,4.9
54049,1.3
54051,8.5
54061,1.3
54069,4.9
54073,4.9
54077,2.1
54085,1.8
54091,4.9
54095,0.2
54097,0.3
54103,0.4
54107,1.7
