fips,mass
01001,33.0
01003,43.6
01005,24.3
01007,1.4
01009,6.4
01013,1.4
01015,12.4
01017,1.4
01019,58.1
01021,2.0
01023,2.4
01025,2.4
01027,0.2
01029,0.2
01031,45.0
01033,36.4
01035,40.3
01039,47.7
01041,2.4
01043,9.1
01045,38.0
01047,50.3
01049,16.2
01051,49.1
01053,69.9
01055,5.7
01057,10.9
01059,7.65
01061,80.3
01065,2.7
01067,70.8
01069,61.9
01071,29.6
01073,0.2
01075,2.4
01077,58.449999999999996
01079,70.2
01081,1.9
01083,108.5
01085,14.4
01087,44.1
01089,93.55
01091,13.0
01093,4.8999999999999995
01095,6.2
01097,28.4
01099,59.4
01101,16.7
01103,11.149999999999999
01105,9.5
01107,7.9
01109,16.1
01111,1.4
01113,16.8
01115,0.1
01117,10.7
01119,2.4
01121,12.9
01123,1.4
01125,4.9
01127,2.1
01129,13.5
01131,2.4
01133,0.4
04001,48.6
04003,14.1
04005,0.0
04007,48.2
04009,8.8
04011,77.2
04012,2.7
04013,127.15
04015,22.6
04017,0.2
04019,3.5
04021,136.8
04023,0.5
04025,0.75
04027,149.5
05001,32.0
05003,412.54999999999995
05007,4.5
05009,1.9
05015,0.9
05017,454.9
05019,17.55
05021,279.1
05025,0.0
05027,0.1
05029,18.7
05031,370.2
05033,3.2
05035,123.5
05037,28.5
05041,354.6
05043,188.89999999999998
05045,9.5
05047,0.5
05049,1.8
05053,0.1
05055,165.0
05057,0.0
05059,0.4
05063,46.8
05065,0.1
05067,237.6
05069,128.1
05071,0.5
05073,8.8
05075,134.5
05077,231.1
05079,397.65
05081,6.7
05083,0.6
05085,41.0
05087,3.0
05091,8.2
05093,724.5
05095,31.2
05101,0.3
05105,2.0
05107,169.8
05111,351.5
05115,1.5
05117,21.8
05119,19.7
05121,58.9
05123,133.0
05125,0.1
05131,0.2
05133,0.1
05143,2.8
05145,66.3
05147,25.5
05149,0.8
06001,0.6
06009,1.0
06011,6.6
06013,42.8
06015,3.2
06019,2560.0
06021,7.9
06025,199.4
06029,1535.1
06031,1243.2
06037,0.0
06039,149.1
06047,559.1
06053,3940.0
06055,245.6
06059,22.6
06065,178.5
06067,689.9
06069,133.5
06071,55.8
06073,64.2
06077,1102.3
06079,314.2
06081,14.3
06083,458.1
06085,118.9
06087,51.0
06093,6.0
06095,11.3
06097,124.6
06099,89.5
06107,3854.8
06111,2455.9
06113,191.9
06115,2.3
08001,0.6
08003,12.2
08007,0.0
08009,0.1
08013,0.3
08015,5.7
08017,0.15000000000000002
08021,12.2
08023,12.2
08025,0.0
08029,0.0
08033,0.0
08037,0.0
08043,0.0
08045,5.7
08047,5.7
08051,0.0
08055,0.0
08057,5.7
08059,0.1
08061,0.25
08063,2.45
08067,0.0
08069,0.25
08073,0.25
08075,0.5
08077,0.0
08081,0.0
08083,0.0
08085,0.0
08087,78.15
08089,0.0
08091,0.0
08095,0.1
08097,0.0
08099,0.1
08101,0.1
08103,0.0
08105,12.2
08107,5.7
08109,84.9
08113,5.7
08115,17.700000000000003
08119,0.0
08121,0.15000000000000002
08123,78.15
08125,2.35
09001,2.45
09003,9.6
09005,3.4000000000000004
09007,2.2
09009,7.0
09011,1.7999999999999998
09013,3.25
09015,3.25
10003,0.8
12001,79.9
12003,4.0
12005,1.9
12007,21.35
12009,26.75
12011,5.5
12013,9.549999999999999
12015,71.0
12017,24.8
12019,0.45
12021,120.65
12023,1.6
12027,404.55
12029,2.8
12031,7.75
12033,11.9
12035,12.0
12039,2.5
12041,100.25
12043,47.900000000000006
12045,1.9
12047,4.45
12049,341.95
12051,566.3
12053,17.0
12055,348.65
12057,368.0
12059,5.9
12061,631.0999999999999
12063,46.05
12065,3.75
12067,11.95
12069,30.05
12071,62.25
12073,0.0
12075,116.9
12079,11.05
12081,159.55
12083,95.75
12085,133.55
12086,40.8
12089,5.35
12091,3.1
12093,44.55
12095,19.95
12097,34.75
12099,385.15
12101,30.6
12103,6.65
12105,167.35000000000002
12107,17.05
12109,136.0
12111,727.85
12113,20.65
12115,40.0
12117,18.8
12119,19.4
12121,34.85
12123,4.6
12125,23.5
12127,11.25
12129,0.0
12131,3.8
12133,1.8
13001,49.7
13003,8.4
13005,14.95
13007,50.5
13009,6.9
13011,1.7
13013,0.6000000000000001
13015,3.7
13017,4.8
13019,12.6
13021,6.9
13023,4.5
13025,1.0
13027,21.4
13029,7.4
13031,144.5
13033,74.39999999999999
13035,6.9
13037,77.3
13039,0.55
13043,68.75
13045,0.1
13047,0.1
13049,7.2
13051,3.45
13055,1.05
13057,0.2
13059,0.0
13061,31.0
13063,0.1
13065,0.8
13069,23.8
13071,53.7
13073,16.2
13075,12.1
13077,0.1
13079,27.2
13081,19.3
13085,0.0
13087,175.8
13091,8.0
13093,39.2
13095,9.7
13097,0.5
13099,112.9
13101,1.4
13103,31.25
13105,7.35
13107,75.6
13109,34.8
13111,0.1
13113,0.75
13115,2.3
13117,0.1
13119,0.2
13121,0.0
13123,3.8
13125,18.1
13127,0.1
13129,1.9
13131,89.3
13133,3.85
13137,0.1
13139,0.1
13141,3.65
13143,0.5
13145,0.0
13147,7.0
13149,0.4
13151,0.0
13153,25.7
13155,18.6
13157,0.0
13159,3.95
13161,11.7
13163,132.7
13165,36.8
13167,8.2
13169,3.85
13171,0.4
13173,5.9
13175,5.75
13177,60.1
13179,3.95
13181,0.8
13183,1.1500000000000001
13185,16.7
13187,0.3
13189,16.65
13191,0.1
13193,18.849999999999998
13195,0.55
13197,2.4
13199,0.5
13201,74.0
13205,147.2
13207,0.85
13209,17.75
13211,2.25
13213,1.2
13217,3.5
13219,0.6000000000000001
13221,7.0
13225,353.1
13227,0.1
13229,41.0
13231,0.4
13233,1.8
13235,30.400000000000002
13237,3.5999999999999996
13239,1.0
13241,0.1
