fips,mass
05001,17979.2
05003,897.3
05017,9393.3
05019,310.6
05021,34005.6
05029,406.2
05031,24446.3
05033,91.6
05035,6445.0
05037,14159.1
05041,7553.8
05043,1656.2
05045,272.3
05047,115.2
05055,38379.2
05063,3486.4
05067,38195.4
05069,23185.7
05071,25.3
05073,1517.7
05075,41528.4
05077,1817.7
05079,6764.8
05081,154.4
05085,18756.1
05091,159.1
05093,26741.8
05095,7593.5
05105,317.3
05107,2908.8
05111,41074.3
05115,766.0
05117,13307.1
05119,835.6
05121,13066.8
05123,7239.1
05145,5590.4
05147,10950.1
05149,65.8
06007,35857.7
06011,99419.8
06019,429.5
06021,56226.1
06047,1.5
06061,1806.8
06067,5059.1
06073,1.1
06077,331.3
06097,0.7
06099,474.5
06101,38265.7
06113,24076.2
06115,11353.2
22001,585.3
22003,123.0
22009,142.3
22011,12.4
22019,87.2
22021,202.5
22023,41.3
22025,11.4
22029,82.5
22035,2600.4
22039,319.9
22041,1858.0
22045,16.3
22053,458.9
22055,33.3
22061,7.9
22065,2479.7
22067,23231.1
22069,3.9
22073,382.8
22077,4.0
22079,76.2
22083,5314.6
22091,0.8
22097,155.6
22099,19.9
22103,0.4
22105,3.1
22107,1545.7
22113,394.0
22123,587.7
28011,3557.2
28027,785.0
28033,174.4
28051,32.6
28053,2717.2
28055,169.9
28083,1459.5
28093,12.6
28107,890.9
28119,1237.1
28133,10112.9
28135,790.5
28137,150.1
28143,3331.3
28151,7509.7
28163,969.2
29017,71.7
29023,13251.7
29031,124.0
29069,3919.1
29133,96.0
29143,2894.4
29155,9090.5
29181,1239.9
29201,1093.4
29207,9173.1
47045,51.2
47069,51.2
47097,38.5
48037,446.5
48199,446.5
48395,446.5
48473,2706.0
