fips,mass
01001,42.75
01003,1836.15
01005,67.8
01007,17.1
01009,9.4
01011,8.5
01013,96.5
01015,1.9
01017,5.8
01019,0.9
01021,12.0
01023,2.7
01025,9.7
01027,2.0
01029,0.5
01031,172.4
01033,0.7
01035,44.4
01039,119.85
01041,9.6
01043,0.9
01045,215.25
01047,134.55
01049,0.7
01051,13.8
01053,747.7
01055,0.9
01057,33.5
01059,0.9
01061,344.25
01063,2.8
01065,2.4
01067,275.2
01069,497.3
01071,0.9
01073,2.8
01075,14.3
01077,0.4
01079,1.1
01081,5.8
01083,0.6
01085,28.4
01087,24.150000000000002
01089,0.5
01091,20.9
01093,1.7
01095,0.2
01097,385.75
01099,417.0
01101,26.049999999999997
01103,0.4
01105,132.3
01107,32.0
01109,57.85
01111,2.0
01113,66.1
01115,0.9
01117,20.5
01119,25.7
01121,40.8
01123,5.8
01125,29.3
01127,11.1
01129,273.4
01131,8.5
01133,1.7
04001,6.050000000000001
04003,17.75
04005,3.75
04007,4.0
04009,5.550000000000001
04011,3.5999999999999996
04013,0.65
04015,6.050000000000001
04017,0.2
04019,2.45
04021,3.75
04023,6.050000000000001
04025,4.25
04027,8.05
05005,0.0
05007,2.6
05009,2.6
05015,0.0
05023,2.6
05029,19.4
05033,2.6
05045,2.6
05047,0.8
05049,0.0
05051,2.6
05053,2.6
05057,21.6
05059,0.6
05061,2.7
05065,2.6
05071,2.6
05073,19.1
05081,134.05
05083,0.2
05087,0.1
05091,3.1
05097,17.9
05105,2.6
05109,16.6
05113,2.6
05115,2.6
05119,11.2
05125,0.0
05127,0.0
05131,2.6
05133,5.5
05135,0.0
05137,2.6
05141,2.6
05143,2.6
05149,0.3
06001,78.2
06007,196.0
06009,13.3
06011,2163.8
06013,57.4
06015,29.9
06017,1.6
06019,4017.1
06021,1013.6
06023,6.3
06025,840.9
06029,3637.8
06031,935.5
06033,212.1
06037,31.3
06039,2119.5
06041,1.3
06043,2.3
06045,213.8
06047,4811.5
06053,3207.4
06055,430.7
06057,0.3
06059,129.1
06061,6.9
06065,190.1
06067,438.2
06069,226.5
06071,21.3
06073,812.4
06077,6613.6
06079,2053.3
06081,15.0
06083,2610.2
06085,74.3
06087,83.8
06093,131.1
06095,161.7
06097,535.9
06099,15810.3
06101,170.0
06103,312.1
06107,3209.4
06111,556.9
06113,2934.1
06115,29.2
08001,161.1
08013,175.2
08063,78.5
08069,604.4
08075,1290.5
08087,359.6
08095,228.7
08115,287.0
08121,78.5
08123,4039.15
08125,722.8
09001,49.9
09003,125.4
09005,41.2
09007,31.5
09009,114.9
09011,20.9
09013,18.1
09015,54.6
12001,774.3
12003,4.4
12005,0.8
12007,144.3
12009,17.65
12011,17.6
12013,254.6
12015,64.75
12017,1.8
12019,0.9
12021,17.75
12023,941.2
12027,17.75
12029,184.8
12031,43.1
12033,302.0
12035,41.4
12039,46.4
12041,556.75
12043,0.1
12045,69.5
12047,932.9
12049,1.35
12051,509.2
12053,1.8
12055,17.65
12057,67.35
12059,198.7
12061,0.35
12063,1505.5
12065,72.6
12067,1186.9
12069,8.600000000000001
12071,0.15000000000000002
12073,69.0
12075,745.5
12077,34.2
12079,854.3
12081,338.70000000000005
12083,1137.0
12085,17.65
12086,853.2
12089,32.7
12091,70.5
12093,45.8
12095,0.8
12097,144.1
12099,752.95
12101,185.55
12103,3.4000000000000004
12105,67.8
12107,13.3
12109,185.8
12111,0.2
12113,618.7
12115,9.8
12117,1.2
12119,45.199999999999996
12121,1632.1
12123,40.9
12125,1.9
12127,12.600000000000001
12129,3.1
12131,85.8
12133,68.0
13001,219.6
13003,117.2
13005,79.5
13007,384.1
13011,1.2
13013,0.1
13015,0.2
13017,64.4
13019,434.6
13021,11.55
13023,35.35
13025,8.9
13027,219.7
13029,10.1
13031,214.7
13033,177.8
13037,467.1
13039,7.7
13043,14.5
13045,0.5
13047,0.0
13049,1.4
13051,4.7
13055,2.1
13057,4.3
13059,0.0
13061,152.8
13065,15.7
13067,0.1
13069,234.1
13071,539.1
13073,0.1
13075,625.1
13077,0.5
13079,8.1
13081,1062.1
13083,1.2
13087,1148.8
13089,0.0
13091,32.15
13093,183.5
13095,77.3
13097,10.6
13099,546.2
13101,35.9
13103,47.6
13105,4.3
13107,49.7
13109,35.6
13111,0.1
13113,1.2
13115,0.5
13117,4.3
13119,0.7
13121,0.1
13123,0.1
13125,6.1
13127,0.1
13129,0.5
13131,259.5
13133,1.2
13135,4.3
13137,4.3
13139,4.3
13141,10.6
13143,0.7
13145,0.2
13147,4.3
13149,0.2
13151,2.7
13153,23.8
13155,191.1
13157,0.2
13161,138.3
13163,76.7
13165,47.7
13167,25.150000000000002
13171,10.8
13173,62.7
13175,32.4
13177,347.9
13179,7.4
13183,7.4
13185,56.2
13189,0.6
13193,53.5
13195,4.3
13197,22.8
13199,10.6
13201,414.0
13205,726.3
13209,24.0
13211,0.5
13213,1.2
13217,10.6
13219,0.7
13221,0.1
13223,1.2
13225,2.55
13227,0.0
13229,88.4
13231,0.5
13233,0.7
13235,59.95
13239,16.1
13241,4.3
13243,344.5
13245,0.4
13249,17.6
13251,106.0
13253,427.6
13255,10.6
13257,4.3
13259,33.5
13261,421.1
13263,10.6
13265,10.6
13267,182.9
13269,24.1
13271,32.5
13273,411.5
13275,345.9
13277,1085.4
13279,70.6
13281,4.3
13283,16.1
13285,10.6
13287,427.5
13289,19.45
13291,4.3
13293,10.6
13295,1.7
13297,1.8
13299,43.6
13301,4.3
13303,21.8
13305,28.6
13307,244.7
13309,11.75
13311,0.3
13315,639.4
13317,0.6
13319,34.6
13321,1148.3
16001,105.3
16003,0.6
16009,127.2
16011,100.8
16013,33.7
16017,0.0
16019,104.5
16021,11.0
16025,46.5
16027,1154.3
16029,32.8
16031,2017.5
16035,16.6
16039,662.6
16041,147.5
16043,146.2
16045,40.8
16047,146.1
16049,46.0
16053,1619.7
16055,13.2
16057,549.2
16059,1.5
16061,240.1
16063,151.8
16065,87.7
16067,1023.3
16069,529.1
16071,57.5
16073,221.0
16075,104.75
16077,102.3
16081,32.8
16083,4222.2
16087,146.45000000000002
17001,26.3
17003,120.10000000000001
17005,29.6
17007,17.5
17011,1.7
17013,29.6
17015,121.1
17017,23.700000000000003
17019,0.35
17021,25.3
17023,29.6
17025,5.15
17027,737.5
17029,29.6
17031,5.3
17033,2.8
17035,29.6
17037,70.9
17041,25.1
17043,1.3
17045,5.45
17049,21.15
17051,2.45
17053,21.0
17055,0.2
17057,0.4
17063,17.6
17067,26.3
17071,26.3
17073,121.1
17075,26.25
