fips,mass
01007,1.3
01009,0.2
01015,0.2
01017,0.2
01019,2.0
01021,0.9
01027,0.9
01029,0.3
01033,31.1
01037,0.0
01043,2.4
01049,6.0
01055,0.5
01057,1.2
01059,1.7
01071,8.6
01073,0.2
01075,1.0
01077,22.2
01079,32.0
01081,0.3
01083,23.6
01089,35.6
01093,1.7
01095,1.8
01103,2.9
01107,4.5
01111,1.8
01115,0.0
01117,1.9
01121,4.6
01123,0.7
01125,2.0
01127,0.7
01133,0.3
05001,65.1
05003,25.3
05005,0.0
05007,0.3
05009,0.2
05015,0.2
05017,33.7
05021,23.4
05023,0.4
05029,1.0
05031,29.1
05035,17.6
05037,19.5
05041,40.4
05043,13.4
05045,0.5
05049,0.2
05053,0.0
05055,21.5
05059,0.0
05063,4.3
05065,0.2
05067,9.6
05069,58.9
05075,6.0
05077,43.4
05079,28.0
05085,47.5
05087,0.1
05093,15.3
05095,37.2
05105,0.2
05107,48.8
05111,16.1
05117,21.4
05119,1.3
05121,3.8
05123,22.3
05143,0.2
05145,4.1
05147,24.4
08001,133.7
08003,0.7
08005,0.7
08009,324.0
08011,79.1
08013,2.6
08014,1.3
08017,209.4
08021,0.8
08025,1.9
08035,0.2
08039,22.5
08041,0.7
08043,1.4
08055,1.4
08057,1.3
08059,0.1
08061,79.1
08063,647.6
08069,11.1
08071,1.4
08073,98.4
08075,70.9
08081,0.7
08087,57.5
08089,66.8
08095,366.4
08099,217.6
08101,33.8
08105,0.0
08107,0.1
08109,0.0
08115,41.1
08121,378.1
08123,117.1
08125,696.5
09001,0.1
09003,0.5
09005,0.1
09007,0.0
09009,0.1
09011,0.1
09013,0.1
09015,0.0
10003,28.9
13011,0.6
13013,0.0
13015,0.3
13047,0.1
13055,0.2
13057,0.1
13059,0.1
13083,0.0
13085,0.2
13105,0.3
13111,0.2
13115,0.8
13117,0.1
13119,0.7
13121,0.0
13123,0.1
13129,1.0
13135,0.1
13137,1.6
13139,0.8
13147,0.7
13157,0.0
13187,0.2
13195,0.3
13213,0.3
13219,0.1
13221,0.7
13223,0.0
13227,0.0
13233,0.3
13241,0.2
13257,0.2
13281,0.1
13291,0.1
13295,0.1
13297,0.1
13311,0.1
13313,0.1
13317,0.5
16001,12.2
16003,1.2
16005,1.1
16009,0.3
16011,3.5
16017,0.0
16019,3.6
16021,0.0
16023,0.2
16025,1.2
16027,42.1
16029,1.2
16031,19.9
16033,0.9
16037,0.2
16039,15.8
16041,4.6
16043,0.2
16045,5.5
16047,42.1
16049,0.0
16051,4.2
16053,27.1
16055,0.0
16057,0.0
16063,11.3
16065,1.4
16067,5.9
16069,0.1
16071,0.1
16073,17.2
16075,7.2
16077,7.9
16083,36.4
16085,0.0
16087,3.7
17001,27.2
17003,0.8
17005,23.0
17007,27.9
17009,5.2
17011,181.8
17013,9.3
17015,102.4
17017,36.75
17019,106.45
17021,81.25
17023,18.0
17025,13.4
17027,14.4
17029,18.55
17031,1.8
17033,32.4
17035,11.100000000000001
17037,103.6
17039,109.4
17041,21.8
17043,0.7
17045,27.3
17047,3.3
17049,19.8
17051,22.25
17053,48.8
17055,3.0
17057,22.7
17059,5.5
17061,50.75
17063,54.2
17065,4.7
17067,27.9
17069,0.1
17071,14.4
17073,172.7
17075,122.5
17077,5.0
17079,33.9
17081,3.5
17083,32.1
17085,78.3
17087,0.8
17089,39.7
