fips,mass
06025,710.9
08003,122.9
08007,2.7
08021,69.2
08023,55.8
08029,2.2
08033,2.2
08045,2.2
08067,1.7
08081,0.1
08083,2.6
08085,1.3
08105,213.9
08109,162.6
16001,15.1
16003,0.1
16005,19.4
16007,24.7
16009,317.29999999999995
16011,61.55
16013,25.6
16017,5.15
16019,205.55
16021,99.5
16023,34.7
16025,27.8
16027,146.1
16029,164.4
16031,175.2
16033,7.7
16035,86.1
16037,9.7
16039,44.0
16041,22.0
16043,177.75
16045,6.6
16047,10.1
16049,355.45000000000005
16051,118.5
16053,99.5
16055,93.05000000000001
16057,1434.3
16059,0.6499999999999999
16061,596.25
16063,14.3
16065,114.15
16067,177.8
16069,1328.0500000000002
16071,4.7
16073,29.6
16075,13.6
16077,13.5
16081,85.9
16083,230.2
16087,21.0
27005,57.2
27027,134.0
27029,40.4
27069,185.0
27087,47.4
27089,40.4
27107,40.4
27113,115.9
27119,40.7
27125,106.5
27135,143.0
30001,86.4
30003,196.3
30007,49.5
30009,209.8
30011,10.6
30013,493.8
30017,13.5
30023,0.1
30025,14.1
30027,494.8
30029,46.2
30031,326.8
30037,7.9
30039,3.3
30043,3.9
30045,193.5
30047,6.9
30049,150.0
30053,1.3
30057,51.6
30059,101.0
30061,1.3
30063,1.3
30065,51.8
30067,87.8
30069,50.9
30075,25.3
30077,3.5
30079,31.3
30081,13.5
30087,73.1
30089,3.7
30095,55.2
30097,7.9
30103,116.3
30107,116.0
30109,20.6
30111,295.3
32001,1.6
32007,1.6
32011,5.8
32013,1.6
32019,1.9
32027,7.1
35055,3.0
38003,138.6
38005,233.7
38009,471.1
38017,172.7
38019,541.1
38027,100.1
38031,87.3
38035,263.2
38039,144.9
38043,128.6
38049,222.7
38063,192.1
38067,354.0
38069,247.3
38071,270.9
38079,192.9
38083,210.4
38091,81.9
38093,193.3
38095,319.2
38097,167.7
38099,369.7
38103,272.1
41001,95.6
41003,0.4
41005,1.9
41009,0.0
41013,1.8
41017,2.0
41021,12.3
41023,2.0
41025,1.3
41031,0.6
41035,198.2
41037,1.5
41039,0.2
41043,5.6
41045,5.3
41047,3.8
41049,31.8
41051,0.9
41053,5.0
41055,54.7
41059,401.85
41061,159.5
41063,176.15
41065,10.0
41067,1.3
41071,0.9
49001,0.4
49003,6.7
49005,23.8
49007,0.7
49009,0.4
49011,0.1
49013,0.4
49015,0.2
49017,0.4
49019,0.2
49021,0.4
49023,5.4
49025,0.0
49027,37.4
49029,3.6
49031,3.0
49033,1.3
49035,0.2
49039,11.5
49041,1.3
49045,0.1
49047,8.0
49049,19.7
49053,0.4
49055,0.7
49057,1.7
53001,1870.2
53003,223.05
53005,592.45
53007,18.4
53009,9.9
53011,3.9
53013,859.65
53015,1.9
53017,1287.8
53019,150.4
53021,797.4
53023,1614.35
53025,1119.2
53027,4.9
53029,2.0
53033,3.1
53035,0.0
53037,25.0
53039,643.85
53041,5.5
53043,6318.5
53047,83.14999999999999
53051,0.1
53053,1.5
53055,4.7
53057,66.9
53061,10.3
53063,1783.8999999999999
53065,63.5
53067,2.0
53071,1572.55
53073,3.1
53075,10051.3
53077,134.85
56001,0.7
56003,325.9
56005,9.0
56011,10.5
56013,89.5
56017,1.8
56019,1.8
56023,10.4
56025,6.9
56029,336.8
56033,2.8
56035,0.3
56037,9.5
56039,5.0
56041,0.4
56043,170.8
56045,1.8
