fips,mass
01001,2.1
01003,2.8
01005,3.7
01013,0.1
01023,0.2
01025,0.2
01031,6.9
01033,1.2
01035,2.6
01039,7.3
01041,0.4
01045,5.8
01047,3.2
01051,3.2
01053,4.5
01059,0.7
01061,12.3
01065,0.2
01067,10.8
01069,9.5
01077,4.2
01079,4.3
01083,6.4
01085,0.9
01087,2.8
01089,7.0
01091,0.8
01093,0.2
01097,1.8
01099,3.8
01101,1.1
01103,0.5
01105,0.6
01109,2.5
01113,2.6
01119,0.2
01129,0.9
01131,0.2
05003,4.2
05017,4.5
05019,0.2
05041,3.5
05043,1.9
05069,1.2
05079,4.0
12013,4.9
12033,6.3
12039,0.9
12059,2.3
12063,23.2
12065,1.0
12091,1.7
12113,10.3
12131,2.0
12133,1.0
13001,4.4
13003,5.1
13005,1.7
13007,7.7
13013,0.0
13017,3.0
13019,7.3
13023,0.9
13025,0.0
13027,12.6
13029,0.0
13031,7.7
13033,4.3
13037,11.8
13043,1.2
13049,0.0
13061,4.7
13065,0.1
13069,14.2
13071,16.7
13075,7.1
13079,0.0
13081,11.8
13087,26.8
13091,2.3
13093,23.9
13095,1.5
13099,17.2
13101,0.4
13103,1.1
13105,0.0
13107,2.5
13109,0.7
13113,0.1
13125,0.1
13131,12.7
13153,0.7
13155,10.9
13161,6.2
13163,1.6
13165,1.7
13167,0.4
13171,0.0
13173,3.3
13175,1.8
13177,9.2
13183,0.1
13185,0.7
13189,0.0
13193,6.1
13195,0.0
13197,0.4
13201,11.3
13205,22.4
13209,1.4
13211,0.4
13217,0.0
13219,0.0
13225,0.3
13229,2.2
13235,1.7
13237,0.0
13239,0.2
13243,7.6
13249,0.2
13251,3.9
13253,14.2
13259,0.5
13261,16.4
13267,0.9
13269,0.1
13271,1.9
13273,17.0
13275,23.8
13277,10.8
13279,1.1
13283,0.5
13287,7.8
13289,1.1
13297,0.0
13299,0.8
13301,0.2
13303,0.6
13305,0.7
13307,5.5
13309,0.4
13315,8.3
13317,0.0
13319,0.0
13321,18.4
22009,1.2
22021,0.4
22025,4.7
22029,3.7
22035,2.2
22039,0.1
22041,1.9
22043,0.9
22065,4.5
22067,2.6
22073,0.9
22077,0.3
22079,2.0
22083,5.0
22097,0.1
22107,8.1
22123,0.3
28001,0.5
28021,0.7
28029,0.2
28031,0.15000000000000002
28035,0.15000000000000002
28039,0.44999999999999996
28041,0.30000000000000004
28049,0.9
28053,4.4
28055,1.6
28059,0.15000000000000002
28063,0.2
28077,0.05
28083,9.0
28111,0.15000000000000002
28125,2.8
28129,0.15000000000000002
28131,0.15000000000000002
28133,4.2
28149,1.9
28151,4.7
28163,6.3
37003,0.0
37005,0.0
37007,0.2
37013,0.1
37015,0.3
37017,0.2
37019,0.1
37025,0.1
37029,0.0
37031,0.0
37041,0.1
37045,0.1
37047,0.4
37049,0.0
37051,0.8
37059,0.0
37061,1.3
37065,0.2
37069,0.0
37073,0.2
37077,0.0
37079,0.1
37081,0.0
37083,0.7
37085,1.5
37091,0.2
37093,1.3
37095,0.1
37101,0.1
37103,0.2
37105,0.0
37107,0.1
37109,0.1
37117,0.5
37123,0.1
37125,0.1
37127,0.1
37131,0.6
37133,0.7
37137,0.0
37139,0.0
37141,0.1
37143,0.1
37147,0.2
37151,0.0
37153,0.1
37155,2.5
37159,0.0
37163,2.6
37165,0.9
37167,2.4
37171,0.0
37177,0.0
37179,0.6
37183,0.0
37185,0.0
37187,0.1
37191,0.1
37195,0.1
45001,0.0
45003,0.9
45007,0.0
45017,6.6
45023,0.8
45025,0.2
45027,2.5
45031,5.9
45033,1.5
45037,0.0
45041,2.5
45043,0.3
45051,1.7
45061,3.0
45063,0.4
45067,0.6
45069,3.2
45071,0.0
45075,7.7
45079,0.5
45081,0.0
45085,1.8
45089,4.2
45091,1.0
48013,0.0
48061,0.3
48127,0.0
48131,0.0
48163,0.0
48215,0.3
48249,0.1
48283,0.0
48297,0.0
48427,0.0
48479,0.0
48489,0.3
48505,0.0
48507,0.0
51025,0.0
51053,0.0
51081,0.2
51093,0.2
51111,0.0
51175,0.6
51181,0.0
51183,0.1
51800,0.2
51810,0.0
