fips,mass
04001,52.2
04003,122.0
04005,3.1
04007,38.1
04009,21.5
04011,162.9
04012,7.8
04013,309.6
04015,2.6
04017,16.0
04019,9.5
04021,334.1
04023,2.1
04025,3.2
04027,221.7
06001,4.8
06005,16.5
06009,5.8
06013,235.7
06017,38.1
06019,1525.4
06025,338.0
06029,2174.8
06031,241.2
06033,394.2
06035,1.8
06037,0.4
06039,466.1
06041,3.0
06043,0.4
06045,581.1
06047,283.7
06053,676.0
06055,408.0
06057,1.5
06059,0.5
06065,124.9
06067,397.9
06069,110.7
06071,0.1
06073,33.0
06077,1803.7
06079,1272.8
06081,6.0
06083,1245.7
06085,47.4
06087,99.6
06089,3.7
06095,147.2
06097,1024.9
06099,485.7
06101,8.2
06107,1865.5
06109,0.2
06111,1835.0
06113,41.7
06115,31.3
16001,6.9
16003,7.4
16005,12.0
16009,0.4
16011,7.1
16013,7.1
16015,7.1
16017,0.4
16019,0.8
16021,0.0
16023,0.1
16025,0.0
16027,12.4
16031,0.9
16035,0.4
16037,0.1
16039,2.6
16041,7.2
16043,13.5
16045,10.1
16047,7.2
16049,0.4
16051,9.2
16053,7.1
16055,0.1
16057,0.4
16059,12.0
16065,0.4
16067,0.2
16069,0.4
16071,12.0
16073,7.4
16075,12.3
16077,0.4
16079,0.4
16081,7.1
16083,5.7
16087,12.3
17001,2.7
17005,3.1
17007,0.3
17009,20.0
17011,3.1
17013,3.1
17015,3.1
17017,3.1
17019,1.2
17021,0.3
17023,1.1
17025,1.1
17029,1.1
17031,0.4
17033,0.7
17035,1.1
17037,0.8
17039,1.0
17041,0.1
17043,0.1
17045,1.1
17051,0.4
17055,0.1
17057,20.0
17063,0.4
17071,20.0
17073,3.5
17075,0.0
17081,3.3
17083,0.0
17085,3.1
17089,1.5
17091,1.2
17093,0.6
17095,20.0
17097,0.4
17099,1.3
17101,1.1
17103,0.1
17105,1.1
17107,1.5
17109,1.1
17111,1.2
17113,0.3
17115,1.5
17117,0.5
17119,3.9
17121,1.1
17123,0.9
17125,60.7
17127,3.6
17129,1.5
17131,3.1
17135,3.1
17137,0.2
17139,7.7
17141,0.4
17143,18.1
17147,0.9
17149,3.1
17151,0.0
17155,3.1
17159,1.1
17161,1.1
17167,3.2
17169,20.0
17171,3.1
17173,0.1
17175,11.3
17177,0.1
17179,52.9
17183,1.1
17185,3.6
17191,3.6
17193,3.6
17195,3.1
17197,1.0
17201,0.9
17203,8.0
18001,2.2
18003,1.6
18005,15.0
18011,0.5
18013,2.8
18019,2.8
18021,2.8
18023,0.1
18025,2.8
18027,1.6
18029,0.1
18031,2.8
18033,3.3
18037,0.3
18043,2.8
18045,2.8
18047,1.6
18051,2.8
18053,2.8
18055,0.0
18057,2.8
18059,0.8
18061,0.2
18063,1.3
18067,2.8
18069,3.3
18071,2.8
18073,3.3
18077,2.8
18079,2.8
18081,2.8
18083,2.8
18087,2.1
18089,1.0
18091,2.8
18093,0.6
18095,2.0
18097,2.8
18101,0.4
18105,2.8
18107,2.8
18109,0.5
18111,2.8
18113,0.6
18115,0.1
18117,2.8
18119,2.8
18121,3.1
18127,0.3
18129,2.8
18131,2.5
18133,2.8
18137,2.8
18139,2.6
18145,2.8
18147,2.7
18149,2.8
18151,3.3
18153,2.8
18155,0.1
18157,2.8
18159,2.8
18163,0.7
18167,2.8
18171,2.8
18173,0.2
18175,2.8
18179,0.2
18181,2.8
18183,0.0
19051,0.9
19057,0.0
19087,0.3
19101,0.2
19107,0.3
19111,0.3
19115,0.3
19123,0.3
19177,0.3
19179,0.3
19183,0.3
21033,0.2
21047,3.6
21055,0.2
21059,1.2
21091,0.2
21101,0.2
21107,0.2
21141,0.3
21149,0.3
21177,0.2
21183,0.1
21213,0.2
21219,2.0
21225,0.2
21233,0.2
26015,1.2
26023,1.5
26025,2.8
26037,2.7
26045,1.1
26049,8.8
26059,5.2
26065,1.2
26067,2.2
26075,2.8
26087,3.4
26091,7.2
26093,1.3
26099,9.2
26115,16.2
26125,7.0
26147,10.9
26149,0.5
26155,0.4
26161,6.2
26163,3.4
27037,0.4
27039,0.4
27045,0.2
27049,0.3
27055,0.0
27099,0.2
27109,0.5
27157,0.4
27169,0.4
29007,1.4
29111,0.2
29127,0.4
29137,0.2
29163,0.4
29173,0.4
29205,0.4
32001,0.2
32003,1.5
32005,0.0
32009,0.1
32013,0.1
32017,24.2
32019,0.5
32023,1.1
32027,0.2
32031,0.1
35003,0.5
35017,0.1
35029,0.6
35051,0.0
35053,0.6
36003,2.9
36007,2.7
36009,3.7
36013,1.6
36015,1.1
36029,8.9
36037,7.7
36051,0.5
36055,24.5
36063,14.7
36069,8.5
36073,4.2
36097,3.0
36099,1.2
36101,2.7
36107,2.9
36109,2.7
36117,2.0
36121,1.9
36123,2.1
39001,1.2
39003,6.1
39005,2.0
39007,14.0
39015,1.2
