fips,mass
01001,703.2
01003,2339.2
01005,541.4
01007,255.3
01009,357.2
01011,32.0
01013,49.7
01015,397.8
01017,29.7
01019,1274.0
01021,142.0
01023,66.1
01025,39.8
01027,29.7
01029,29.7
01031,835.2
01033,5337.15
01035,699.5
01039,895.2
01041,49.5
01043,1417.9
01045,704.2
01047,1579.5
01049,2425.2
01051,907.5
01053,1565.1
01055,377.0
01057,137.0
01059,465.0
01061,1480.8
01063,22.3
01065,66.6
01067,1216.6
01069,1232.2
01071,4132.2
01073,42.6
01075,213.5
01077,5510.95
01079,7607.35
01081,29.7
01083,12079.35
01085,370.6
01087,812.4
01089,8490.6
01091,372.1
01093,723.3
01095,908.4
01097,822.7
01099,1074.5
01101,524.4
01103,1441.05
01105,1357.8
01107,421.4
01109,518.2
01111,29.7
01113,270.6
01115,12.3
01117,306.4
01119,243.4
01121,609.8
01123,29.7
01125,438.4
01127,165.9
01129,253.1
01131,66.5
01133,36.400000000000006
04001,8793.4
04003,1478.65
04005,874.8
04007,2644.9
04009,1064.15
04011,643.6
04012,1912.5
04013,4103.549999999999
04015,48059.3
04017,8825.8
04019,551.25
04021,5832.450000000001
04023,31.75
04025,4220.95
04027,1934.8
05001,218.6
05003,281.4
05007,25.8
05017,438.0
05019,29.4
05021,1294.15
05029,21.1
05031,3303.35
05033,182.1
05035,440.15
05037,171.8
05041,401.3
05043,144.7
05045,10.8
05047,29.4
05049,9.6
05053,0.1
05055,314.35
05057,2.6
05059,0.5
05063,37.3
05065,0.7
05067,251.04999999999998
05069,196.5
05071,26.7
05073,529.2
05075,103.7
05077,640.7
05079,305.6
05081,405.0
05083,37.2
05085,177.8
05087,3.8
05091,486.0
05093,4434.75
05095,149.7
05105,2.2
05107,578.1
05111,1234.5500000000002
05115,83.5
05117,126.4
05119,22.3
05121,89.2
05123,409.6
05125,0.2
05131,14.0
05133,3.8
05143,3.8
05145,52.0
05147,151.5
05149,47.7
06001,76.3
06007,217.9
06011,4494.4
06013,243.3
06019,24661.6
06021,1140.7
06025,40159.4
06029,3522.2
06031,8638.0
06037,153.9
06039,1923.6
06047,16817.6
06053,504.4
06059,82.0
06061,3.3
06065,18899.3
06067,1152.0
06069,43.8
06071,426.3
06073,174.5
06077,5681.6
06079,651.3
06081,5.9
06083,1855.4
06085,100.7
06087,28.1
06095,3597.7
06099,2025.2
06101,3582.6
06103,270.5
06107,1863.0
06111,224.3
06113,9796.0
06115,135.9
08001,578.15
08003,105.1
08005,62.0
08007,1648.8
08009,1065.4
08011,2924.9500000000003
08013,16.2
08014,12.4
08015,105.1
08017,248.6
08021,105.1
08023,107.6
08025,511.95
08027,1187.0
08029,8517.9
08031,174.5
08033,2094.8
08035,99.0
08037,0.1
08039,316.3
08041,143.5
08043,1220.6
08045,19700.2
08047,105.1
08051,0.0
08053,77.5
08055,1929.1
08057,105.1
08061,950.75
08063,929.25
08067,5650.4
08069,155.8
08071,3366.7
08073,551.55
08075,32.8
08077,8649.1
08081,0.1
08083,12206.55
08085,6993.85
08087,25.4
08089,4475.4
08091,660.5
08095,166.85
08097,0.0
08099,8629.25
08101,1297.95
08103,0.1
08105,105.1
08107,105.1
08109,730.6
08113,1091.8
08115,103.5
08119,0.4
08121,236.04999999999998
08123,559.2
08125,669.9000000000001
10001,9261.5
10003,1485.75
10005,12217.3
12001,16.8
12003,0.2
12013,330.35
12023,64.7
12029,15.05
12031,5.6
12033,262.6
12039,49.5
12045,0.1
12047,139.25
12059,348.2
12063,1168.35
12065,84.80000000000001
12067,206.89999999999998
12073,15.5
12079,113.3
12083,5.4
12089,0.5
12091,99.4
12113,474.15
12119,1.2
12121,224.45
12123,11.4
12127,2.5
12131,113.55000000000001
12133,134.6
13001,3037.6499999999996
13003,737.9
13005,1056.15
13007,913.0
13011,91.5
13013,122.7
13015,87.3
13017,384.9
13019,1024.9
13021,57.4
13023,1006.6
13025,32.25
13027,1842.3
13029,68.8
13031,5520.75
13033,3582.0
13035,49.1
13037,1254.85
13039,1.9
13043,704.9000000000001
13045,15.049999999999999
13049,10.6
13051,0.3
13055,27.8
13057,1.5
13059,34.4
13061,513.9
13063,1.6
13065,28.450000000000003
13067,0.4
13069,1840.35
13071,2224.55
13073,49.3
13075,889.95
13077,15.049999999999999
13079,40.65
13081,1392.0
13085,35.9
13087,2978.1000000000004
13089,0.1
13091,670.1500000000001
13093,2871.65
13095,184.05
13097,19.7
13099,1972.65
13101,108.7
13103,1070.1
13105,657.4
13107,1984.3
13109,448.2
13111,13.9
13113,7.45
13115,15.2
13117,1.2
13119,169.7
13121,0.9
13123,24.6
13125,193.7
13127,14.1
13129,15.2
13131,1550.5
13133,1.95
13135,37.0
13137,23.9
13139,83.2
13141,0.75
13143,1.65
13145,16.65
13147,684.4
13149,26.400000000000002
13151,15.2
13153,231.0
13155,1368.85
13157,27.4
13159,0.2
13161,819.0
13163,2726.05
13165,1154.1
13167,356.45
13169,1.9
13171,17.3
13173,415.9
13175,701.1999999999999
13177,1414.15
13179,6.2
13183,57.650000000000006
13185,253.8
13189,67.65
13191,1.9
13193,590.5
13195,238.65
13197,104.75
