fips,mass
01001,12.3
01003,40.35
01005,12.95
01007,8.7
01009,15.9
01011,0.3
01013,1.3
01015,21.4
01017,1.9
01019,90.4
01021,5.9
01023,1.8
01025,1.7
01027,2.3
01029,2.6
01031,23.25
01033,53.550000000000004
01035,27.400000000000002
01037,0.1
01039,24.75
01041,1.2999999999999998
01043,60.7
01045,19.9
01047,23.7
01049,115.7
01051,17.0
01053,49.75
01055,18.1
01057,12.3
01059,6.35
01061,42.3
01063,0.2
01065,1.1
01067,36.35
01069,34.05
01071,189.2
01073,1.3
01075,7.9
01077,56.95
01079,76.14999999999999
01081,2.4
01083,105.9
01085,6.1
01087,15.4
01089,89.5
01091,5.7
01093,6.1
01095,40.7
01097,22.0
01099,41.050000000000004
01101,7.8
01103,12.25
01105,14.2
01107,22.2
01109,9.3
01111,4.8
01113,8.55
01115,0.6
01117,17.1
01119,2.7
01121,29.7
01123,2.8
01125,16.2
01127,6.2
01129,9.9
01131,2.6
01133,0.4
04001,85.6
04003,7.25
04005,22.55
04007,85.2
04009,23.3
04011,108.35
04012,27.0
04013,174.1
04015,33.85
04017,1.2999999999999998
04019,1.05
04021,187.25
04023,0.35
04025,22.8
04027,206.2
05001,131.95
05003,12.4
05005,0.0
05007,6.25
05009,1.0
05015,1.3
05017,28.55
05019,0.1
05021,175.3
05023,0.6
05029,2.35
05031,173.1
05033,11.600000000000001
05035,79.69999999999999
05037,96.05000000000001
05041,26.549999999999997
05043,7.7
05045,1.35
05047,2.0
05049,1.4
05053,0.0
05055,137.9
05057,0.3
05059,0.1
05063,32.3
05065,0.3
05067,173.1
05069,29.9
05071,1.75
05073,18.9
05075,116.9
05077,72.2
05079,18.9
05081,11.8
05083,4.7
05085,123.94999999999999
05087,1.0
05091,22.0
05093,338.3
05095,63.25
05099,0.0
05105,0.9500000000000001
05107,81.1
05111,219.6
05115,6.2
05117,86.69999999999999
05119,3.55
05121,47.2
05123,78.25
05125,0.0
05131,1.8
05133,0.5
05143,2.1
05145,44.8
05147,78.55
05149,3.1999999999999997
06005,1.3
06007,42.8
06009,0.6
06011,80.0
06013,271.6
06019,1919.7
06021,169.6
06025,3321.6
06029,769.4
06031,2173.2
06037,4.5
06039,238.7
06047,538.1
06053,1276.8
06061,13.9
06065,356.2
06067,44.4
06069,267.9
06071,26.0
06073,5.8
06077,386.2
06079,138.7
06081,0.1
06083,232.5
06085,112.1
06087,162.9
06095,72.4
06099,149.2
06101,73.7
06107,291.8
06111,568.7
06113,19.4
06115,8.5
08001,7.7
08003,22.85
08005,1.2
08007,0.65
08009,17.95
08011,9.3
08013,5.9
08014,0.6
08015,4.35
08017,10.9
08019,0.0
08021,61.65
08023,18.75
08025,0.55
08027,0.9
08029,6.55
08031,0.4
08033,1.35
08035,2.8
08037,1.05
08039,13.8
08041,5.9
08043,1.0
08045,10.5
08047,2.9
08049,0.8
08051,0.7
08053,0.1
08055,1.5
08057,3.15
08059,0.4
08061,9.5
08063,22.45
08067,4.4
08069,18.9
08071,2.7
08073,5.6
08075,101.1
08077,6.7
08079,1.0
08081,4.75
08083,9.3
08085,5.3
08087,77.2
08089,5.65
08091,0.25
08093,0.6
08095,9.85
08097,0.3
08099,15.7
08101,1.9
08103,2.25
08105,36.05
08107,6.300000000000001
08109,40.650000000000006
08113,3.6999999999999997
08115,51.3
08117,0.0
08119,0.3
08121,14.15
08123,181.6
08125,23.05
09001,0.0
09003,0.1
09005,0.0
09007,0.0
09009,0.1
09011,0.0
09013,0.0
09015,0.0
10001,186.5
10003,17.75
10005,322.4
12001,25.05
12003,2.4
12005,6.0
12007,26.2
12009,19.0
12011,4.9
12013,78.7
12015,92.85
12017,32.45
12019,2.5
12021,106.9
12023,3.8
12027,881.1
12029,7.45
12031,7.9
12033,99.0
12035,1.4
12039,17.4
12041,11.899999999999999
12043,80.0
12045,9.45
12047,10.899999999999999
12049,700.4
12051,1231.4
12053,7.300000000000001
12055,771.1
12057,38.3
12059,40.7
12061,722.9
12063,425.35
12065,19.799999999999997
12067,26.45
12069,54.2
12071,97.45
12073,3.6500000000000004
12075,3.9000000000000004
12077,5.4
12079,8.100000000000001
12081,124.6
12083,11.2
12085,283.1
12086,126.4
12089,0.5
12091,26.200000000000003
12093,81.94999999999999
12095,24.799999999999997
12097,36.6
12099,614.3000000000001
12101,21.75
12103,22.3
12105,409.65
12107,2.9
12109,11.25
12111,728.5
12113,162.8
12115,86.5
12117,9.9
12119,22.950000000000003
12121,7.95
12123,2.8
12125,7.65
12127,5.5
12129,3.6
12131,31.799999999999997
12133,20.6
13001,13.75
13003,16.450000000000003
13005,5.2
13007,61.8
13009,2.2
13011,1.6500000000000001
13013,10.85
13015,6.7
13017,8.2
13019,18.3
13021,1.15
13023,13.95
13025,0.2
13027,51.15
13029,0.65
13031,267.05
13033,183.8
13035,2.35
13037,93.75
13039,3.15
13043,34.1
13045,1.3
13047,0.95
13049,2.1
13051,0.95
13053,2.0
13055,4.4
13057,10.600000000000001
13059,0.65
13061,38.349999999999994
13063,1.65
