fips,pesticide_mass
01001,29132.899999999998
01003,366234.55
01005,51081.4
01007,15059.5
01009,23207.3
01011,7070.3
01013,46432.2
01015,18816.850000000002
01017,10477.050000000001
01019,67789.95
01021,27268.4
01023,13423.65
01025,10410.65
01027,8581.55
01029,4942.05
01031,95298.95
01033,137419.1
01035,84563.3
01037,1683.2
01039,83070.9
01041,16596.95
01043,44562.799999999996
01045,92938.8
01047,76055.84999999999
01049,77014.7
01051,37914.5
01053,223474.1
01055,16124.85
01057,49280.15
01059,33069.35
01061,165354.35
01063,3873.45
01065,8457.1
01067,140027.7
01069,171241.25
01071,108225.5
01073,3115.5499999999997
01075,15663.749999999998
01077,156356.8
01079,225149.55000000002
01081,10908.85
01083,273543.10000000003
01085,24376.3
01087,34364.15
01089,233806.8
01091,18526.75
01093,22268.2
01095,30288.75
01097,105261.90000000001
01099,155118.55
01101,25293.350000000002
01103,42077.45
01105,44425.95
01107,52159.25
01109,45907.65
01111,16581.25
01113,36708.450000000004
01115,3971.5000000000005
01117,45122.4
01119,12548.7
01121,67912.1
01123,11353.9
01125,30891.4
01127,13376.85
01129,63024.8
01131,22084.2
01133,7510.349999999999
04001,91376.8
04003,111716.6
04005,16546.3
04007,66617.0
04009,87940.8
04011,104168.25
04012,96148.2
04013,515655.0
04015,86006.35
04017,28744.399999999998
04019,61355.299999999996
04021,471292.19999999995
04023,6662.1
04025,16049.25
04027,353427.65
05001,883370.5
05003,346902.45
05005,2847.45
05007,9697.3
05009,7249.15
05011,3823.45
05013,3579.9
05015,6125.55
05017,839597.95
05019,39828.15
05021,636678.7999999999
05023,6364.7
05025,4174.05
05027,8440.2
05029,96458.9
05031,814822.6
05033,59999.6
05035,748780.45
05037,625461.25
05039,3122.0
05041,864956.6
05043,223527.5
05045,79352.3
05047,37984.3
05049,10298.25
05051,9416.6
05053,11169.800000000001
05055,490029.7
05057,21094.9
05059,20754.15
05061,13080.95
05063,141115.75
05065,6053.5
05067,493949.65
05069,612849.1
05071,23706.85
05073,62242.0
05075,404005.0
05077,681124.25
05079,479990.4
05081,49285.05
05083,36007.3
05085,688254.3500000001
05087,5620.6
05089,6286.3
05091,59669.200000000004
05093,1156388.0
05095,469733.05
05097,8070.25
05099,13155.3
05101,1965.0
05103,3390.5
05105,26983.8
05107,887807.9500000001
05109,7786.4
05111,705230.7
05113,21164.899999999998
05115,47096.8
05117,510416.35
05119,79903.95
05121,179002.65
05123,613161.15
05125,10500.5
05127,13934.35
05129,6081.3
05131,20066.55
05133,15135.449999999999
05135,4314.05
05137,3542.65
05139,3819.8
05141,3186.6000000000004
05143,7047.35
05145,151558.4
05147,533121.4500000001
05149,43040.1
06001,52264.7
06003,8.4
06005,34723.1
06007,1129719.8
06009,7713.0
06011,959457.8
06013,82357.1
06015,17360.0
06017,22478.5
06019,10703686.6
06021,863419.0
06023,979.1999999999999
06025,1793155.2
06027,2737.5
06029,8013350.2
06031,2311703.4
06033,211183.99999999997
06035,9227.3
06037,390692.4
06039,3039704.7
06041,2638.9
06043,225.8
06045,266514.5
06047,3373863.2
06049,29968.1
06051,13330.4
06053,3145070.5
06055,504256.19999999995
06057,6360.6
06059,86438.0
06061,59652.7
06063,208.6
06065,763556.5
06067,1451565.8
06069,214979.8
06071,20928.5
06073,137291.0
06075,8.3
06077,4536667.3
06079,1050030.0
06081,31693.399999999998
06083,2085943.2
06085,155049.5
06087,581034.6
06089,37387.9
06091,45.9
06093,60861.2
06095,401249.7
06097,973764.7
06099,2299296.6
06101,1007328.2
06103,323363.3
06105,1.7000000000000002
06107,3692137.0999999996
06109,1495.7
06111,1759453.0
06113,1538700.5
06115,399729.0
08001,489580.55
08003,176584.75
08005,94567.1
08007,2658.45
08009,472020.7
08011,88187.85
08013,14034.95
08014,6150.7
08015,116165.45
08017,453026.5
08019,104.75
08021,200282.5
08023,195124.40000000002
08025,27833.95
08027,5454.9
08029,41048.9
08031,39535.4
08033,13979.050000000001
08035,24072.85
08037,2535.4500000000003
08039,89283.0
08041,29327.0
08043,5085.35
08045,148511.75
08047,114675.75
08049,1149.15
08051,988.95
08053,131.6
08055,6568.3
08057,115993.95
08059,8335.65
08061,435485.10000000003
08063,738004.35
08065,27.0
08067,11568.8
08069,42045.3
08071,30355.350000000002
08073,351043.9
08075,334964.80000000005
08077,30157.85
08079,298.35
08081,22799.9
08083,34841.5
08085,34988.05
08087,213918.5
08089,68632.25
08091,922.45
08093,693.15
08095,389998.89999999997
08097,290.0
08099,389275.60000000003
08101,52254.700000000004
08103,18504.3
08105,181352.95
08107,120852.0
08109,1192801.1
08113,117751.15
08115,164621.9
08117,53.75
08119,945.6
08121,550476.4500000001
08123,517381.9
08125,665722.65
09001,5878.900000000001
09003,32060.45
09005,14127.85
09007,4009.9500000000003
09009,12384.7
09011,12045.5
09013,11370.45
09015,12786.5
10001,222152.5
10003,76376.25
10005,438724.55
12001,199973.75
12003,38444.05
12005,48623.45
12007,156727.4
12009,96802.75
12011,24652.2
12013,96250.85
12015,202691.59999999998
12017,205955.05
12019,29848.8
12021,366704.35
12023,33891.700000000004
12027,1321296.2
12029,47669.1
12031,72486.3
12033,98093.3
12035,83476.75000000001
12037,1819.8000000000002
12039,47454.05
12041,206944.3
12043,144210.15
12045,67434.4
12047,115525.75
12049,1131457.25
12051,1872346.4000000001
12053,95889.7
12055,1157104.5
12057,1024295.7999999999
12059,86108.45
12061,1142425.5
12063,718918.1
12065,70648.05
12067,115561.0
12069,184107.65
12071,218198.5
12073,17033.4
12075,275978.5
12077,24592.15
12079,125242.2
12081,1006284.15
12083,172613.5
12085,457780.6
12086,415392.85
12087,14.9
12089,11515.45
12091,35444.8
12093,172066.85
12095,165295.05
12097,263336.25
12099,1369791.55
12101,197611.6
12103,72395.45000000001
12105,1179315.3499999999
12107,95039.05
12109,927920.9500000001
12111,1121564.7
12113,215267.44999999998
12115,134845.35
12117,113943.6
12119,93018.85
12121,154463.4
12123,52745.55
12125,139074.30000000002
12127,33844.15
12129,2403.35
12131,33104.4
12133,33266.4
13001,239064.75
13003,175219.44999999998
13005,81461.05
13007,230669.6
13009,3890.7
13011,5116.4
13013,21714.95
13015,17926.1
13017,106300.65
13019,400957.64999999997
13021,8888.1
13023,83702.65
13025,3923.65
13027,519316.10000000003
13029,9452.7
13031,348537.35
13033,267611.4
13035,6353.6
13037,298216.1
13039,11352.75
13043,50519.95
13045,9895.25
13047,4868.5
13049,3987.3
13051,3109.95
13053,3915.0499999999997
13055,13145.25
13057,18118.45
13059,3551.3500000000004
13061,101027.34999999999
13063,4070.8500000000004
13065,43258.25
13067,1549.25
13069,498985.3
13071,1109531.8
13073,9051.65
13075,277659.25
13077,12511.0
13079,28768.25
13081,310994.35000000003
13083,5554.400000000001
13085,1917.5
13087,621798.5
13089,188.20000000000002
13091,156287.4
13093,399600.30000000005
13095,95609.3
13097,12275.15
13099,352390.7
13101,100901.1
13103,68712.15
13105,15285.85
13107,117828.75
13109,38084.7
13111,18344.600000000002
13113,15247.15
13115,23468.5
13117,19259.25
13119,7361.95
13121,18406.75
13123,10752.65
13125,10017.85
13127,481.6
13129,26094.95
13131,360516.4
13133,19657.350000000002
13135,173118.40000000002
13137,8262.0
13139,6995.6
13141,7080.099999999999
13143,17363.6
13145,3661.85
13147,19071.15
13149,12648.55
13151,4382.1
13153,54125.25
13155,271119.05
13157,6515.3
13159,19689.5
13161,200735.9
13163,153494.4
13165,82234.8
13167,76853.45
13169,15483.75
13171,15906.0
13173,151090.55
13175,149969.9
13177,250259.9
13179,12756.75
13181,984.65
13183,8055.0
13185,420851.85000000003
13187,3143.5
13189,10206.8
13191,2230.0
13193,112041.2
13195,13716.45
13197,18989.2
13199,18324.6
13201,265714.85
13205,572708.9500000001
13207,16613.4
13209,96567.34999999999
13211,40131.9
13213,11530.55
13215,2787.4
13217,15065.25
13219,22304.5
13221,11492.55
13223,6729.0
13225,63891.55
13227,17827.55
13229,167447.95
13231,14593.550000000001
13233,14567.550000000001
13235,133414.25
13237,12618.25
13239,4688.05
13241,5392.3
13243,230337.85
13245,2332.65
13247,3748.85
13249,11289.9
13251,221347.8
13253,313667.35
13255,16840.5
13257,2070.7000000000003
13259,20241.0
13261,313282.75
13263,3883.35
13265,16108.75
13267,138840.05
13269,21639.2
13271,50911.75
13273,325651.3
13275,335256.45
13277,456898.25
13279,100386.25
13281,1193.55
13283,52584.100000000006
13285,6377.2
13287,199705.35
13289,68321.85
13291,18751.85
13293,11833.95
13295,15896.65
13297,8821.3
13299,46806.95
13301,9293.0
13303,102944.85
13305,59065.05
13307,140466.2
13309,21399.05
13311,2640.4500000000003
13313,7240.35
13315,213947.8
13317,10915.25
13319,19156.5
13321,533707.1
16001,52814.700000000004
16003,11911.3
16005,131780.5
16007,44628.0
16009,183296.15
16011,2714054.75
16013,121035.99999999999
16015,6325.599999999999
16017,3109.3
16019,689423.9
16021,151532.6
16023,54840.9
16025,127493.65000000001
16027,738790.4500000001
16029,147219.1
16031,249637.9
16033,15847.85
16035,147641.1
16037,72204.95
16039,684852.6
16041,137001.45
16043,863883.4
16045,151637.75
16047,218863.15
16049,60196.299999999996
16051,1243292.25
16053,404861.25
16055,151268.15
16057,149139.0
16059,6671.15
16061,93760.85
16063,147637.65
16065,1310437.8
16067,1222004.35
16069,291742.2
16071,393547.05
16073,131723.9
16075,226620.9
16077,1782200.7
16079,6756.0
16081,183977.0
16083,487871.2
16085,133640.15
16087,61064.35
