Demographics, US by County, Crowding, Households with >1 Person per Room (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Wade Hampton, Alaska","2270","49.3"
"Northwest Arctic, Alaska","2188","35.8"
"Bethel, Alaska","2050","35.4"
"Shannon, South Dakota","46113","33.8"
"North Slope, Alaska","2185","31.8"
"Nome, Alaska","2180","30.5"
"Dillingham, Alaska","2070","23.0"
"Loving, Texas","48301","21.2"
"Zapata, Texas","48505","18.1"
"Yukon-Koyukuk, Alaska","2290","16.3"
"Big Horn, Montana","30003","15.5"
"Clark, Idaho","16033","14.4"
"Ziebach, South Dakota","46137","14.2"
"Monterey, California","6053","13.7"
"Todd, South Dakota","46121","13.5"
"McKinley, New Mexico","35031","13.5"
"Apache, Arizona","4001","13.1"
"Adams, Washington","53001","12.9"
"Thurston, Nebraska","31173","12.8"
"Starr, Texas","48427","12.6"
"Webb, Texas","48479","12.6"
"Hidalgo, Texas","48215","12.3"
"Bronx, New York","36005","12.3"
"Sioux, North Dakota","38085","12.2"
"Buffalo, South Dakota","46017","11.9"
"Jackson, South Dakota","46071","11.8"
"Los Angeles, California","6037","11.4"
"McMullen, Texas","48311","11.2"
"Maverick, Texas","48323","11.2"
"Cameron, Texas","48061","10.9"
"Bennett, South Dakota","46007","10.7"
"Aleutians West, Alaska","2016","10.6"
"Santa Barbara, California","6083","10.6"
"Imperial, California","6025","10.5"
"Maui, Hawaii","15009","10.5"
"Kings, New York","36047","10.3"
"Parmer, Texas","48369","10.1"
"Franklin, Washington","53021","10.0"
"Gonzales, Texas","48177","9.8"
"Tulare, California","6107","9.8"
"Dewey, South Dakota","46041","9.7"
"Merced, California","6047","9.6"
"Somervell, Texas","48425","9.6"
"Queens, New York","36081","9.5"
"Honolulu, Hawaii","15003","9.4"
"Fresno, California","6019","9.3"
"Kern, California","6029","9.3"
"Willacy, Texas","48489","9.2"
"Southeast Fairbanks, Alaska","2240","9.2"
"Kodiak Island, Alaska","2150","9.1"
"Cibola, New Mexico","35006","9.1"
"San Bernardino, California","6071","9.0"
"Madera, California","6039","9.0"
"Orange, California","6059","8.9"
"Navajo, Arizona","4017","8.8"
"Morrow, Oregon","41049","8.8"
"Menominee, Wisconsin","55078","8.8"
"Dimmit, Texas","48127","8.5"
"Benson, North Dakota","38005","8.5"
"Mellette, South Dakota","46095","8.5"
"Calhoun, Texas","48057","8.5"
"San Juan, Utah","49037","8.4"
"Finney, Kansas","20055","8.4"
"Yoakum, Texas","48501","8.3"
"San Benito, California","6069","8.3"
"Kings, California","6031","8.2"
"Madison, Idaho","16065","8.2"
"Davis, Iowa","19051","8.1"
"Santa Clara, California","6085","8.1"
"Hardee, Florida","12049","8.1"
"Yakima, Washington","53077","8.1"
"Corson, South Dakota","46031","8.0"
"Titus, Texas","48449","8.0"
"Presidio, Texas","48377","7.9"
"Haines, Alaska","2100","7.9"
"Frio, Texas","48163","7.9"
"Hendry, Florida","12051","7.9"
"Kauai, Hawaii","15007","7.8"
"Lake and Peninsula, Alaska","2164","7.8"
"Bailey, Texas","48017","7.8"
"San Mateo, California","6081","7.8"
"Jim Hogg, Texas","48247","7.7"
"McKenzie, North Dakota","38053","7.7"
"Alameda, California","6001","7.7"
"Sevier, Arkansas","5133","7.6"
"Hudson, New Jersey","34017","7.5"
"La Salle, Texas","48283","7.5"
"Val Verde, Texas","48465","7.5"
"Duval, Texas","48131","7.4"
"Neshoba, Mississippi","28099","7.4"
"Andrews, Texas","48003","7.4"
"Cook, Minnesota","27031","7.3"
"San Joaquin, California","6077","7.3"
"Santa Cruz, California","6087","7.3"
"Yuba, California","6115","7.3"
"Martin, Texas","48317","7.3"
"Crosby, Texas","48107","7.3"
"Lavaca, Texas","48285","7.2"
"Teton, Wyoming","56039","7.2"
"Atascosa, Texas","48013","7.1"
"Moore, Texas","48341","7.1"
"Ford, Kansas","20057","7.1"
"Passaic, New Jersey","34031","7.1"
"Yuma, Arizona","4027","7.0"
"Buena Vista, Iowa","19021","7.0"
"Dakota, Nebraska","31043","7.0"
"Grand, Utah","49019","6.9"
"Caldwell, Texas","48055","6.9"
"Yakutat, Alaska","2282","6.9"
"McDonald, Missouri","29119","6.9"
"Colusa, California","6011","6.9"
"Riverside, California","6065","6.9"
"East Carroll, Louisiana","22035","6.9"
"Coconino, Arizona","4005","6.8"
"Seward, Kansas","20175","6.8"
"Colorado, Texas","48089","6.7"
"Madison, Texas","48313","6.7"
"Stanislaus, California","6099","6.7"
"Hawaii, Hawaii","15001","6.7"
"Floyd, Texas","48153","6.7"
"Decatur, Georgia","13087","6.7"
"San Patricio, Texas","48409","6.7"
"San Diego, California","6073","6.7"
"Ochiltree, Texas","48357","6.7"
"Dallas, Texas","48113","6.7"
"Haskell, Kansas","20081","6.7"
"Cherokee, Texas","48073","6.6"
"Ventura, California","6111","6.6"
"Rockland, New York","36087","6.6"
"Sutton, Texas","48435","6.5"
"Douglas, Washington","53017","6.5"
"Chattooga, Georgia","13055","6.5"
"Whitfield, Georgia","13313","6.5"
"Hemphill, Texas","48211","6.5"
"Sutter, California","6101","6.4"
"Waller, Texas","48473","6.4"
"Bee, Texas","48025","6.4"
"San Juan, New Mexico","35045","6.4"
"Kleberg, Texas","48273","6.4"
"San Francisco, California","6075","6.4"
"Napa, California","6055","6.3"
"Cochran, Texas","48079","6.3"
"Miami-Dade, Florida","12086","6.3"
"Miller, Georgia","13201","6.3"
"Umatilla, Oregon","41059","6.2"
"Gaines, Texas","48165","6.2"
"Colfax, Nebraska","31037","6.2"
"Crane, Texas","48103","6.2"
"Jim Wells, Texas","48249","6.2"
"Mitchell, Texas","48335","6.1"
"Midland, Texas","48329","6.1"
"Owyhee, Idaho","16073","6.1"
"Grant, Washington","53025","6.1"
"Graham, Arizona","4009","6.1"
"Jerome, Idaho","16053","6.0"
"Prince of Wales-Outer Ketchikan, Alaska","2201","6.0"
"Hudspeth, Texas","48229","6.0"
"Blaine, Montana","30005","5.9"
"Fairbanks North Star, Alaska","2090","5.9"
"Summit, Colorado","8117","5.9"
"Rolette, North Dakota","38079","5.9"
"Brooks, Texas","48047","5.8"
"New York, New York","36061","5.8"
"Garfield, Colorado","8045","5.8"
"Hockley, Texas","48219","5.8"
"Scurry, Texas","48415","5.7"
"Claiborne, Mississippi","28021","5.7"
"Sanpete, Utah","49039","5.7"
"Lincoln, Idaho","16063","5.7"
"Potter, Texas","48375","5.7"
"Hale, Texas","48189","5.7"
"Pershing, Nevada","32027","5.7"
"Pecos, Texas","48371","5.7"
"Juab, Utah","49023","5.7"
"Lafayette, Florida","12067","5.6"
"Harris, Texas","48201","5.6"
"Payette, Idaho","16075","5.6"
"Crockett, Texas","48105","5.6"
"Yell, Arkansas","5149","5.6"
"Zavala, Texas","48507","5.6"
"Wheeler, Texas","48483","5.6"
"Motley, Texas","48345","5.6"
"Stone, Mississippi","28131","5.6"
"Benewah, Idaho","16009","5.6"
"Beaver, Utah","49001","5.6"
"Yolo, California","6113","5.5"
"Lyman, South Dakota","46085","5.5"
"Early, Georgia","13099","5.5"
"Falls, Texas","48145","5.5"
"Adair, Oklahoma","40001","5.5"
"Carroll, Arkansas","5015","5.5"
"Malheur, Oregon","41045","5.5"
"Nevada, Arkansas","5099","5.5"
"DeSoto, Florida","12027","5.5"
"Lea, New Mexico","35025","5.5"
"Saguache, Colorado","8109","5.4"
"Roosevelt, Montana","30085","5.4"
"Lee, Texas","48287","5.4"
"Tyler, Texas","48457","5.4"
"Schleicher, Texas","48413","5.4"
"Culberson, Texas","48109","5.4"
"Swisher, Texas","48437","5.4"
"Wharton, Texas","48481","5.4"
"Hall, Georgia","13139","5.4"
"Adams, Colorado","8001","5.4"
"Skagit, Washington","53057","5.3"
"Jackson, Texas","48239","5.3"
"Ector, Texas","48135","5.3"
"Burleson, Texas","48051","5.3"
"Kenedy, Texas","48261","5.3"
"El Paso, Texas","48141","5.3"
"Sonoma, California","6097","5.2"
"Glascock, Georgia","13125","5.2"
"Castro, Texas","48069","5.2"
"Musselshell, Montana","30065","5.2"
"Wilson, Texas","48493","5.2"
"Solano, California","6095","5.2"
"McIntosh, Oklahoma","40091","5.2"
"La Paz, Arizona","4012","5.2"
"Bastrop, Texas","48021","5.2"
"McCurtain, Oklahoma","40089","5.2"
"Tehama, California","6103","5.2"
"Austin, Texas","48015","5.1"
"Candler, Georgia","13043","5.1"
"Terry, Texas","48445","5.1"
"Hill, Texas","48217","5.1"
"Mendocino, California","6045","5.1"
"Shackelford, Texas","48417","5.1"
"Washington, Utah","49053","5.0"
"Camp, Texas","48063","5.0"
"Matanuska-Susitna, Alaska","2170","5.0"
"Pointe Coupee, Louisiana","22077","5.0"
"Union, Arkansas","5139","5.0"
"Mineral, Nevada","32021","5.0"
"Santa Cruz, Arizona","4023","5.0"
"Ferry, Washington","53019","5.0"
"Rutland, Vermont","50021","5.0"
"Texas, Oklahoma","40139","5.0"
