Demographics, US by County, Population, Asian/Pacific Islander (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Kalawao, Hawaii","15005","53.3"
"Honolulu, Hawaii","15003","52.0"
"Kauai, Hawaii","15007","43.0"
"Aleutians West, Alaska","2016","42.6"
"Maui, Hawaii","15009","40.2"
"Santa Clara, California","6085","36.2"
"Hawaii, Hawaii","15001","35.0"
"San Francisco, California","6075","34.5"
"Alameda, California","6001","30.4"
"San Mateo, California","6081","29.5"
"Aleutians East, Alaska","2013","26.4"
"Queens, New York","36081","25.3"
"Middlesex, New Jersey","34023","24.0"
"Kodiak Island, Alaska","2150","23.7"
"Orange, California","6059","20.4"
"Fort Bend, Texas","48157","19.9"
"Fairfax, Virginia","51059","19.1"
"Loudoun, Virginia","51107","18.1"
"King, Washington","53033","17.9"
"Howard, Maryland","24027","17.8"
"Somerset, New Jersey","34035","17.4"
"Fairfax, Virginia","51600","17.0"
"Contra Costa, California","6013","16.8"
"Sacramento, California","6067","16.7"
"Solano, California","6095","16.4"
"Bergen, New Jersey","34003","16.2"
"San Joaquin, California","6077","16.0"
"Sutter, California","6101","15.9"
"Hudson, New Jersey","34017","15.1"
"Los Angeles, California","6037","14.8"
"Montgomery, Maryland","24031","14.7"
"Collin, Texas","48085","14.5"
"Ramsey, Minnesota","27123","14.3"
"Yolo, California","6113","14.2"
"San Diego, California","6073","12.2"
"New York, New York","36061","12.1"
"Forsyth, Georgia","13117","11.9"
"Anchorage, Alaska","2020","11.9"
"Kings, New York","36047","11.8"
"DuPage, Illinois","17043","11.7"
"Middlesex, Massachusetts","25017","11.7"
"Gwinnett, Georgia","13135","11.4"
"Buena Vista, Iowa","19021","11.1"
"Snohomish, Washington","53061","10.9"
"Manassas Park, Virginia","51685","10.9"
"Mercer, New Jersey","34021","10.8"
"Norfolk, Massachusetts","25021","10.8"
"Champaign, Illinois","17019","10.7"
"Washington, Oregon","41067","10.6"
"Yakutat, Alaska","2282","10.6"
"Arlington, Virginia","51013","10.5"
"Fresno, California","6019","10.4"
"Clark, Nevada","32003","10.4"
"Morris, New Jersey","34027","10.2"
"Tompkins, New York","36109","10.1"
"Falls Church, Virginia","51610","10.1"
"Beadle, South Dakota","46005","9.3"
"Nassau, New York","36059","9.3"
"Washtenaw, Michigan","26161","9.1"
