Demographics, US by County, Population, Black (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Claiborne, Mississippi","28021","87.4"
"Jefferson, Mississippi","28063","85.9"
"Holmes, Mississippi","28051","83.8"
"Macon, Alabama","1087","82.6"
"Greene, Alabama","1063","79.7"
"Tunica, Mississippi","28143","78.5"
"Coahoma, Mississippi","28027","77.5"
"Petersburg, Virginia","51730","77.2"
"Bullock, Alabama","1011","76.2"
"Humphreys, Mississippi","28053","76.0"
"Allendale, South Carolina","45005","75.7"
"Lowndes, Alabama","1085","74.3"
"Sharkey, Mississippi","28125","74.0"
"Sunflower, Mississippi","28133","74.0"
"Leflore, Mississippi","28083","73.3"
"Hancock, Georgia","13141","72.4"
"Hinds, Mississippi","28049","72.3"
"Washington, Mississippi","28151","72.2"
"Noxubee, Mississippi","28103","72.2"
"Sumter, Alabama","1119","72.0"
"Quitman, Mississippi","28119","71.6"
"Wilkinson, Mississippi","28157","71.2"
"Dallas, Alabama","1047","70.5"
"East Carroll, Louisiana","22035","69.9"
"Emporia, Virginia","51595","69.7"
"Wilcox, Alabama","1131","69.5"
"Perry, Alabama","1105","69.4"
"Clayton, Georgia","13063","69.2"
"Dougherty, Georgia","13095","69.0"
"Clay, Georgia","13061","67.8"
"Lee, South Carolina","45061","65.6"
"Taliaferro, Georgia","13265","65.2"
"Williamsburg, South Carolina","45089","64.7"
"Bolivar, Mississippi","28011","64.3"
"Madison, Louisiana","22065","63.6"
"Prince George's, Maryland","24033","63.0"
"Phillips, Arkansas","5107","62.6"
"Baltimore, Maryland","24510","62.5"
"Randolph, Georgia","13243","62.2"
"Orangeburg, South Carolina","45075","61.6"
"Jefferson Davis, Mississippi","28065","61.2"
"Bamberg, South Carolina","45009","61.1"
"Bertie, North Carolina","37015","61.1"
"Warren, Georgia","13301","61.1"
"Calhoun, Georgia","13037","61.0"
"Kemper, Mississippi","28069","60.9"
"Macon, Georgia","13193","60.6"
"Issaquena, Mississippi","28055","60.2"
"Greensville, Virginia","51081","59.7"
"Orleans, Louisiana","22071","59.7"
"Clay, Mississippi","28025","59.6"
"Terrell, Georgia","13273","59.5"
"Hertford, North Carolina","37091","59.5"
"Franklin, Virginia","51620","58.9"
"Hale, Alabama","1065","58.8"
"Talbot, Georgia","13263","57.8"
"Montgomery, Alabama","1101","57.7"
"Edgecombe, North Carolina","37065","57.3"
"Yazoo, Mississippi","28163","56.9"
"Marion, South Carolina","45067","56.8"
"Jefferson, Arkansas","5069","56.6"
"Adams, Mississippi","28001","56.6"
"Richmond, Georgia","13245","56.5"
"Sussex, Virginia","51183","56.5"
"Northampton, North Carolina","37131","56.5"
"Lee, Arkansas","5077","56.5"
"Fairfield, South Carolina","45039","56.3"
"Gadsden, Florida","12039","55.8"
"St. John the Baptist, Louisiana","22095","55.7"
"St. Francis, Arkansas","5123","55.6"
"Brunswick, Virginia","51025","54.7"
"Tensas, Louisiana","22107","54.5"
"Jasper, Mississippi","28061","54.4"
"Chicot, Arkansas","5017","54.1"
"Stewart, Georgia","13259","54.1"
"Bibb, Georgia","13021","54.1"
"Jefferson, Georgia","13163","54.0"
"DeKalb, Georgia","13089","54.0"
"St. Helena, Louisiana","22091","54.0"
"Marengo, Alabama","1091","53.8"
"Pike, Mississippi","28113","53.5"
"Shelby, Tennessee","47157","53.5"
"Hampton, South Carolina","45049","53.4"
"Rockdale, Georgia","13247","53.3"
"Washington, Georgia","13303","53.0"
"Halifax, North Carolina","37083","52.9"
"Portsmouth, Virginia","51740","52.7"
"Sumter, Georgia","13261","52.6"
"Quitman, Georgia","13239","52.4"
"Claiborne, Louisiana","22027","52.0"
"Copiah, Mississippi","28029","51.9"
"Early, Georgia","13099","51.4"
"Warren, North Carolina","37185","50.7"
"Marlboro, South Carolina","45069","50.6"
"Haywood, Tennessee","47075","50.6"
"Hampton, Virginia","51650","50.2"
"Vance, North Carolina","37181","50.1"
"Panola, Mississippi","28107","49.9"
"St. James, Louisiana","22093","49.7"
"Tallahatchie, Mississippi","28135","49.4"
"Danville, Virginia","51590","49.2"
"Morehouse, Louisiana","22067","49.2"
"Warren, Mississippi","28149","49.2"
"Dooly, Georgia","13093","49.1"
"Caddo, Louisiana","22017","48.9"
"Clarendon, South Carolina","45027","48.8"
"Anson, North Carolina","37007","48.7"
"Burke, Georgia","13033","48.6"
"Crittenden, Arkansas","5035","48.5"
"Iberville, Louisiana","22047","48.4"
"Dillon, South Carolina","45033","48.1"
"Marshall, Mississippi","28093","47.9"
"Winston, Mississippi","28159","47.8"
"Richmond, Virginia","51760","47.8"
"Conecuh, Alabama","1035","47.7"
"Barbour, Alabama","1005","47.6"
"Martinsville, Virginia","51690","47.3"
"Washington, North Carolina","37187","47.3"
"Desha, Arkansas","5041","47.1"
"Sumter, South Carolina","45085","47.0"
"District of Columbia, District of Columbia","11001","46.9"
"St. Louis, Missouri","29510","46.9"
"Charles City, Virginia","51036","46.9"
"McCormick, South Carolina","45065","46.7"
"Richland, South Carolina","45079","46.6"
"Mitchell, Georgia","13205","46.6"
"Douglas, Georgia","13097","46.2"
"Walthall, Mississippi","28147","46.0"
"East Baton Rouge, Louisiana","22033","45.9"
"Muscogee, Georgia","13215","45.8"
"Clarke, Alabama","1025","45.8"
"Barnwell, South Carolina","45011","45.7"
"Butler, Alabama","1013","45.2"
"Surry, Virginia","51181","45.2"
"Peach, Georgia","13225","44.7"
"Charles, Maryland","24017","44.4"
"West Feliciana, Louisiana","22125","44.3"
"Fulton, Georgia","13121","44.1"
"Newton, Georgia","13217","44.0"
"East Feliciana, Louisiana","22037","44.0"
"Crisp, Georgia","13081","43.7"
"Lowndes, Mississippi","28087","43.7"
"Lauderdale, Mississippi","28075","43.5"
"Chickasaw, Mississippi","28017","43.4"
"Grenada, Mississippi","28043","43.4"
"Montgomery, Mississippi","28097","43.4"
"Jasper, South Carolina","45053","43.1"
"Bienville, Louisiana","22013","43.0"
"Turner, Georgia","13287","43.0"
"Russell, Alabama","1113","42.9"
"Choctaw, Alabama","1023","42.8"
"Jefferson, Alabama","1073","42.7"
"Attala, Mississippi","28007","42.6"
"Wheeler, Georgia","13309","42.6"
"Florence, South Carolina","45041","42.5"
"Wilkes, Georgia","13317","42.5"
"Twiggs, Georgia","13289","42.4"
