Demographics, US by County, Population, Hispanic (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Starr, Texas","48427","99.1"
"Webb, Texas","48479","95.5"
"Maverick, Texas","48323","95.2"
"Zapata, Texas","48505","94.2"
"Brooks, Texas","48047","93.9"
"Zavala, Texas","48507","93.7"
"Jim Hogg, Texas","48247","92.6"
"Hidalgo, Texas","48215","92.0"
"Cameron, Texas","48061","89.5"
"Duval, Texas","48131","89.3"
"Willacy, Texas","48489","88.1"
"Kenedy, Texas","48261","87.7"
"Dimmit, Texas","48127","86.7"
"Imperial, California","6025","83.8"
"Presidio, Texas","48377","83.6"
"Santa Cruz, Arizona","4023","83.5"
"La Salle, Texas","48283","82.4"
"El Paso, Texas","48141","82.4"
"Val Verde, Texas","48465","81.8"
"Mora, New Mexico","35033","81.1"
"Jim Wells, Texas","48249","80.3"
"Frio, Texas","48163","78.8"
"Hudspeth, Texas","48229","78.4"
"Guadalupe, New Mexico","35019","78.4"
"San Miguel, New Mexico","35047","77.6"
"Reeves, Texas","48389","75.1"
"Culberson, Texas","48109","73.4"
"Kleberg, Texas","48273","72.7"
"Deaf Smith, Texas","48117","72.3"
"Rio Arriba, New Mexico","35039","71.4"
"Uvalde, Texas","48463","71.3"
"Reagan, Texas","48383","70.7"
"Pecos, Texas","48371","68.6"
"Dona Ana, New Mexico","35013","68.0"
"Miami-Dade, Florida","12086","68.0"
"Luna, New Mexico","35029","66.6"
"Yoakum, Texas","48501","65.8"
"Bailey, Texas","48017","64.3"
"Castro, Texas","48069","64.2"
"Tulare, California","6107","64.1"
"Atascosa, Texas","48013","63.9"
"Crane, Texas","48103","63.6"
"Terrell, Texas","48443","63.6"
"Crockett, Texas","48105","63.5"
"Nueces, Texas","48355","63.4"
"Yuma, Arizona","4027","63.4"
"Adams, Washington","53001","63.0"
"Parmer, Texas","48369","62.9"
"Costilla, Colorado","8023","62.6"
"Kinney, Texas","48271","62.5"
"Sutton, Texas","48435","61.7"
"Valencia, New Mexico","35061","60.4"
"Seward, Kansas","20175","60.1"
"Winkler, Texas","48495","60.1"
"Bexar, Texas","48029","60.0"
"Ector, Texas","48135","59.7"
"San Benito, California","6069","59.3"
"Hale, Texas","48189","59.1"
"Colusa, California","6011","59.0"
"Merced, California","6047","58.9"
"Bee, Texas","48025","58.6"
"Floyd, Texas","48153","58.4"
"Monterey, California","6053","58.3"
"Edwards, Texas","48137","58.1"
"Hidalgo, New Mexico","35023","58.0"
"Cochran, Texas","48079","58.0"
"Lea, New Mexico","35025","57.9"
"San Patricio, Texas","48409","57.4"
"Madera, California","6039","57.3"
"Dawson, Texas","48115","57.1"
"Taos, New Mexico","35055","57.0"
"Chaves, New Mexico","35005","56.2"
"Andrews, Texas","48003","56.0"
"Concho, Texas","48095","56.0"
"Bronx, New York","36005","55.9"
"Crosby, Texas","48107","55.6"
"Lamb, Texas","48279","55.2"
"Moore, Texas","48341","54.9"
"Ford, Kansas","20057","54.5"
"Terry, Texas","48445","54.4"
"Kings, California","6031","54.1"
"Karnes, Texas","48255","54.0"
"Ochiltree, Texas","48357","53.8"
"Conejos, Colorado","8021","53.0"
"Osceola, Florida","12097","53.0"
"Ward, Texas","48475","52.9"
"Hendry, Florida","12051","52.9"
