Demographics, US by County, Uninsured, Ages <65 at or below 138% of Poverty (Both Sexes - 2018), 2014 - 2018
Area,County FIPS,Percent
"Jeff Davis, Texas","48243","53.3"
"Glasscock, Texas","48173","50.8"
"Aleutians East, Alaska","2013","50.2"
"Lipscomb, Texas","48295","46.3"
"Mason, Texas","48319","44.5"
"Sherman, Texas","48421","44.2"
"Hartley, Texas","48205","42.5"
"Hansford, Texas","48195","42.2"
"Hemphill, Texas","48211","42.2"
"Blanco, Texas","48031","42.0"
"Gaines, Texas","48165","41.3"
"Hudspeth, Texas","48229","41.3"
"Schleicher, Texas","48413","40.5"
"Ochiltree, Texas","48357","40.5"
"Briscoe, Texas","48045","40.4"
"Collingsworth, Texas","48087","40.0"
"Parmer, Texas","48369","39.7"
"Forsyth, Georgia","13117","39.7"
"McMullen, Texas","48311","39.6"
"Dallam, Texas","48111","39.6"
"Harper, Oklahoma","40059","39.4"
"Kendall, Texas","48259","39.3"
"Mills, Texas","48333","39.2"
"Wheeler, Texas","48483","39.1"
"Gillespie, Texas","48171","38.5"
"Presidio, Texas","48377","38.5"
"Rockwall, Texas","48397","38.1"
"Leon, Texas","48289","38.0"
"Kenedy, Texas","48261","37.5"
"Menard, Texas","48327","37.2"
"Yoakum, Texas","48501","37.1"
"Gilmer, Georgia","13123","37.1"
"Beaver, Oklahoma","40007","37.1"
"Clark, Idaho","16033","37.1"
"Bandera, Texas","48019","37.0"
"Texas, Oklahoma","40139","36.9"
"Crane, Texas","48103","36.9"
"San Saba, Texas","48411","36.8"
"Collier, Florida","12021","36.6"
"Hidalgo, Texas","48215","36.6"
"Waller, Texas","48473","36.5"
"Castro, Texas","48069","36.4"
"Cochran, Texas","48079","36.4"
"Blaine, Idaho","16013","36.4"
"Teton, Wyoming","56039","36.4"
"Aleutians West, Alaska","2016","36.4"
"Reagan, Texas","48383","36.1"
"Wise, Texas","48497","36.1"
"Bailey, Texas","48017","35.6"
"Hardeman, Texas","48197","35.6"
"Andrews, Texas","48003","35.6"
"Lee, Texas","48287","35.5"
"Burnet, Texas","48053","35.4"
"Comanche, Texas","48093","35.4"
"Oconee, Georgia","13219","35.3"
"Montgomery, Texas","48339","35.2"
"Kingfisher, Oklahoma","40073","35.2"
"Chambers, Texas","48071","35.1"
"Parker, Texas","48367","35.0"
