Incidence, US by County, All Races, Breast (Female), 2013 - 2017
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Fallon, Montana","30025","242.6","144.6","382.1","21"
"Greer, Oklahoma","40055","234.0","163.6","326.4","40"
"Monona, Iowa","19133","220.3","165.2","288.6","69"
"Shelby, Missouri","29205","214.1","149.9","297.6","44"
"Warren, Georgia","13301","212.9","147.5","298.9","42"
"Pickens, Alabama","1107","212.5","175.4","255.3","130"
"Phelps, Nebraska","31137","200.2","149.7","263.1","60"
"Williamsburg, Virginia","51830","196.4","151.1","251.9","74"
"Nantucket, Massachusetts","25019","192.2","145.1","250.1","59"
"Union, Florida","12125","190.2","141.5","250.1","55"
"Mills, Iowa","19129","183.7","146.4","228.3","92"
"Lee, Arkansas","5077","181.1","131.1","244.8","51"
"Kingsbury, South Dakota","46077","180.9","121.8","262.3","36"
"Grundy, Missouri","29079","178.5","131.6","236.7","58"
"Tillman, Oklahoma","40141","174.3","123.1","240.6","43"
"Harrison, Iowa","19085","173.7","137.0","217.9","85"
"Torrance, New Mexico","35057","173.4","135.6","219.0","83"
"Guadalupe, New Mexico","35019","173.4","101.9","277.0","20"
"Warren, Illinois","17187","173.1","136.3","216.8","87"
"Essex, Virginia","51057","172.6","132.0","222.7","70"
"Owyhee, Idaho","16073","171.8","129.0","224.8","58"
"Cavalier, North Dakota","38019","170.5","89.7","291.6","18"
"Bullock, Alabama","1011","170.3","122.8","230.2","48"
"Rosebud, Montana","30087","169.7","121.3","231.4","44"
"Scott, Illinois","17171","169.5","115.9","243.3","34"
"Stillwater, Montana","30095","168.2","124.4","224.3","57"
"Ford, Illinois","17053","167.6","131.3","211.8","80"
"St. James, Louisiana","22093","167.6","137.7","202.5","118"
"Sargent, North Dakota","38081","167.5","96.3","272.9","20"
"Cooper, Missouri","29053","167.5","132.8","208.8","90"
"Oneida, Wisconsin","55085","167.3","144.3","193.5","233"
"Greene, Illinois","17061","167.0","131.4","210.4","81"
"Palo Alto, Iowa","19147","167.0","118.6","228.8","46"
"Wyoming, New York","36121","166.8","143.4","193.1","200"
"Dickey, North Dakota","38021","166.8","105.8","251.3","27"
"Latah, Idaho","16057","166.6","139.4","197.4","144"
"Brookings, South Dakota","46011","166.5","136.9","200.4","119"
"Galax, Virginia","51640","165.7","114.2","233.4","41"
"Adams, North Dakota","38001","165.7","87.2","296.0","16"
"St. Helena, Louisiana","22091","164.4","119.5","220.7","52"
"Boone, Nebraska","31011","164.2","110.8","238.2","34"
"Vilas, Wisconsin","55125","164.1","135.3","198.3","160"
"Daviess, Missouri","29061","163.4","115.5","225.3","43"
"McLean, North Dakota","38055","163.1","117.9","220.8","52"
"Marion, Missouri","29127","163.0","137.3","192.3","154"
"Trimble, Kentucky","21223","162.4","115.7","222.5","42"
"Mercer, Illinois","17131","162.3","128.2","203.3","88"
"Fluvanna, Virginia","51065","161.9","136.6","190.9","154"
"Los Alamos, New Mexico","35028","160.8","129.0","198.8","96"
"Pierce, Nebraska","31139","160.8","110.8","226.8","37"
"Clinch, Georgia","13065","160.3","104.6","234.5","28"
"Knox, Nebraska","31107","160.0","111.3","223.5","45"
"Quay, New Mexico","35037","160.0","115.8","217.2","52"
"Lafayette, Wisconsin","55065","159.7","123.8","202.7","77"
"Boise, Idaho","16015","159.5","110.6","227.2","42"
"Petersburg, Virginia","51730","159.0","135.1","186.1","176"
"Keith, Nebraska","31101","159.0","111.9","220.7","48"
"Prince Edward, Virginia","51147","158.7","126.6","196.7","97"
"McPherson, South Dakota","46089","158.4","85.9","280.0","17"
"Grundy, Illinois","17063","158.3","137.7","181.2","220"
"Turner, South Dakota","46125","158.1","112.8","217.0","45"
"Butler, Iowa","19023","157.6","122.8","199.9","80"
"Belknap, New Hampshire","33001","157.4","140.3","176.3","347"
"Lamar, Alabama","1075","157.3","122.7","199.4","79"
"Sherman, Nebraska","31163","157.1","79.5","280.6","16"
"Clark, South Dakota","46025","157.0","83.6","268.1","17"
"Morgan, Georgia","13211","156.8","126.0","193.3","99"
"Hardin, Iowa","19083","156.8","124.2","195.9","97"
"Mountrail, North Dakota","38061","156.8","108.9","218.6","37"
"Dukes, Massachusetts","25007","156.7","125.2","194.5","99"
"Orange, North Carolina","37135","156.3","143.8","169.7","614"
"New Kent, Virginia","51127","156.2","126.5","191.3","108"
"Madison, Louisiana","22065","155.9","116.2","205.3","54"
"Claiborne, Louisiana","22027","155.8","119.4","200.3","73"
"Lexington, Virginia","51678","155.8","99.7","238.0","32"
"Barnstable, Massachusetts","25001","155.3","146.6","164.6","1562"
"Carroll, Missouri","29033","155.3","112.1","210.6","49"
"Chaffee, Colorado","8015","155.0","123.5","193.0","106"
"Merrimack, New Hampshire","33013","154.8","143.5","166.9","764"
"Adair, Missouri","29001","154.8","124.3","190.6","99"
"Scotland, Missouri","29199","154.7","95.5","237.9","25"
"Beadle, South Dakota","46005","154.7","119.3","197.0","76"
"Adams, Nebraska","31001","154.5","129.2","183.3","150"
"East Feliciana, Louisiana","22037","154.4","122.0","193.1","89"
"Middlesex, Connecticut","9007","154.3","144.0","165.2","917"
"Greene, Georgia","13133","154.2","122.2","192.8","107"
"Rush, Indiana","18139","154.2","122.3","192.5","87"
"Fredericksburg, Virginia","51630","154.1","125.7","187.0","106"
"Benton, Iowa","19011","154.1","127.7","184.8","128"
"Nemaha, Nebraska","31127","154.1","106.5","217.6","37"
"Clay, Nebraska","31035","154.0","102.0","224.7","32"
"Tyrrell, North Carolina","37177","153.9","91.4","247.4","21"
"Clarke, Alabama","1025","153.6","128.0","183.3","135"
"White, Illinois","17193","153.6","119.1","195.6","80"
"Pasquotank, North Carolina","37139","153.4","131.4","178.1","191"
"Norfolk, Massachusetts","25021","153.2","147.9","158.5","3466"
"Kimball, Nebraska","31105","153.2","81.3","262.3","17"
"Cheyenne, Nebraska","31033","153.0","110.6","206.9","46"
"Albany, New York","36001","152.9","144.8","161.4","1448"
"Pushmataha, Oklahoma","40127","152.8","113.8","201.7","62"
"Douglas, Colorado","8035","152.8","144.3","161.7","1304"
"Platte, Missouri","29165","152.5","138.2","167.8","442"
"Lucas, Iowa","19117","152.4","106.5","212.2","43"
"Morgan, Tennessee","47129","152.4","122.1","188.4","96"
"Butler, Nebraska","31023","152.2","108.5","209.6","44"
"Shelby, Illinois","17173","152.1","123.3","186.0","114"
"Montgomery, Missouri","29139","152.1","114.3","199.2","63"
"Richardson, Nebraska","31147","152.0","109.5","208.0","51"
"Valley, Nebraska","31175","152.0","95.6","234.4","26"
"Richland, Montana","30083","151.9","111.1","203.2","49"
"Valley, Montana","30105","151.9","103.6","215.9","38"
"Wilkes, Georgia","13317","151.8","112.7","201.4","60"
"Tazewell, Illinois","17179","151.7","139.9","164.2","669"
"Price, Wisconsin","55099","151.7","119.9","191.4","87"
"Nez Perce, Idaho","16069","151.5","130.6","175.0","208"
"Union, Illinois","17181","151.5","120.9","188.2","96"
"Montgomery, Iowa","19137","151.4","110.9","202.8","54"
"Guilford, North Carolina","37081","151.3","145.2","157.6","2396"
"Rockingham, New Hampshire","33015","151.3","143.5","159.4","1550"
"St. Louis, Missouri","29189","151.2","146.9","155.6","5115"
"Worth, Iowa","19195","151.1","103.4","214.4","37"
"Marin, California","6041","151.0","142.9","159.4","1477"
"Greene, Mississippi","28041","151.0","111.8","200.1","53"
"Macon, Missouri","29121","150.7","116.9","191.7","80"
"Thurston, Nebraska","31173","150.7","97.1","222.8","26"
"Lyon, Kentucky","21143","150.6","104.8","213.1","48"
"Chatham, North Carolina","37037","150.5","135.4","167.0","418"
"Terrell, Georgia","13273","150.5","106.4","207.3","45"
"Hanover, Virginia","51085","150.4","137.3","164.6","515"
"Crook, Oregon","41013","150.2","122.5","183.0","125"
"Poweshiek, Iowa","19157","150.2","118.1","188.6","91"
"Waynesboro, Virginia","51820","150.1","122.1","182.8","110"
"Franklin, North Carolina","37069","150.1","133.7","168.0","326"
"Windsor, Vermont","50027","150.0","132.6","169.2","315"
"Teton, Montana","30099","149.8","99.1","218.9","34"
"Carroll, Illinois","17015","149.7","113.7","193.9","71"
"Grand Traverse, Michigan","26055","149.6","135.6","164.6","469"
"Pointe Coupee, Louisiana","22077","149.6","121.3","182.7","113"
"Richmond, Virginia","51159","149.4","105.0","208.3","44"
"Rolette, North Dakota","38079","149.3","111.6","195.7","55"
"Warren, New York","36113","149.2","133.3","166.7","363"
"Clark, Ohio","39023","149.2","137.8","161.5","690"
"Morgan, Illinois","17137","149.2","125.9","175.8","167"
"Pawnee, Nebraska","31133","149.2","74.5","272.6","16"
"Mercer, North Dakota","38057","149.1","104.5","207.5","40"
"Tipton, Indiana","18159","149.0","116.2","189.0","78"
"Sussex, Virginia","51183","149.0","107.2","202.9","49"
"Chester, South Carolina","45023","148.9","126.0","175.0","165"
"Sangamon, Illinois","17167","148.9","139.3","159.0","980"
"Livingston, Illinois","17105","148.7","126.8","173.4","182"
"Pleasants, West Virginia","54073","148.7","101.5","212.2","35"
"Grant, North Dakota","38037","148.7","87.0","257.4","18"
"Carson City, Nevada","32510","148.6","130.2","169.1","265"
"Washington, Wisconsin","55131","148.5","136.9","160.9","650"
"Monroe, New York","36055","148.4","143.3","153.6","3551"
"Fountain, Indiana","18045","148.3","117.6","185.3","88"
"Chesapeake, Virginia","51550","148.3","139.1","157.9","1015"
"Burleigh, North Dakota","38015","148.3","133.6","164.3","398"
"Greenbrier, West Virginia","54025","148.3","126.8","172.7","195"
"Decatur, Iowa","19053","148.2","99.5","212.7","36"
"Waukesha, Wisconsin","55133","148.2","141.5","155.2","1988"
"Lee, South Carolina","45061","148.2","116.2","186.7","84"
"Green, Kentucky","21087","148.1","110.6","195.3","58"
"Linn, Iowa","19113","148.1","138.6","158.1","955"
"Chester, Pennsylvania","42029","148.1","142.0","154.4","2361"
"Morris, New Jersey","34027","148.1","142.0","154.3","2401"
"Hamilton, Indiana","18057","148.1","139.7","156.8","1219"
"Bottineau, North Dakota","38009","148.0","97.2","217.6","33"
"Bond, Illinois","17005","148.0","116.0","186.8","82"
"Lewis, Kentucky","21135","147.8","113.6","189.8","68"
"Washington, Nebraska","31177","147.7","118.6","182.2","97"
"Nicholas, Kentucky","21181","147.7","98.8","213.0","31"
"Montgomery, Pennsylvania","42091","147.7","143.0","152.6","3992"
"McCurtain, Oklahoma","40089","147.7","124.4","174.3","154"
"Davie, North Carolina","37059","147.6","128.3","169.4","227"
"Erie, New York","36029","147.6","143.1","152.2","4528"
"Lincoln, Washington","53043","147.5","109.1","197.0","60"
"Richland, South Carolina","45079","147.4","140.1","155.0","1597"
"Hampshire, Massachusetts","25015","147.4","136.2","159.4","717"
"Kearney, Nebraska","31099","147.4","98.2","214.1","32"
"Tolland, Connecticut","9013","147.4","135.9","159.7","653"
"Durham, North Carolina","37063","147.3","139.0","156.1","1217"
"Southampton, Virginia","51175","147.3","116.5","184.4","88"
"Sharp, Arkansas","5135","147.2","115.7","185.3","93"
"Fairfield, South Carolina","45039","147.2","121.1","177.9","125"
"Putnam, New York","36079","147.2","133.7","161.8","474"
"Natchitoches, Louisiana","22069","147.1","124.7","172.5","167"
"Fairfield, Connecticut","9001","147.1","142.6","151.7","4331"
"Edmunds, South Dakota","46045","147.1","85.5","239.0","20"
"Warren, Iowa","19181","147.1","127.5","168.9","213"
"Schenectady, New York","36093","147.0","136.2","158.5","730"
"Burlington, New Jersey","34005","147.0","140.7","153.6","2165"
"Anderson, Kentucky","21005","146.9","119.3","179.3","103"
"Woodruff, Arkansas","5147","146.9","97.0","214.1","34"
"Virginia Beach, Virginia","51810","146.9","140.3","153.8","1900"
"San Luis Obispo, California","6079","146.8","138.4","155.6","1328"
"West Carroll, Louisiana","22123","146.8","108.6","194.9","54"
"Washington, Georgia","13303","146.7","118.5","180.2","102"
"Emery, Utah","49015","146.6","103.2","202.2","41"
"Gasconade, Missouri","29073","146.5","114.5","185.7","83"
"Nassau, New York","36059","146.5","142.8","150.2","6558"
"Douglas, Georgia","13097","146.4","134.3","159.3","565"
"Washington, Rhode Island","44009","146.4","134.6","159.0","655"
"Anson, North Carolina","37007","146.4","119.5","177.9","115"
"Alamance, North Carolina","37001","146.3","135.8","157.4","766"
"Monmouth, New Jersey","34025","146.2","140.8","151.7","3079"
"Hunterdon, New Jersey","34019","146.2","134.6","158.8","645"
"Skagit, Washington","53057","146.2","133.9","159.3","594"
"Lamoille, Vermont","50015","146.2","119.5","177.3","112"
"Kent, Rhode Island","44003","146.2","136.1","157.0","854"
"Ozaukee, Wisconsin","55089","146.1","132.2","161.3","444"
"Washburn, Wisconsin","55129","146.0","113.9","185.3","89"
"Yellowstone, Montana","30111","146.0","135.0","157.7","709"
