Incidence, US by County, All Races, Colon & Rectum (Both Sexes), 2013 - 2017
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Yukon-Koyukuk, Alaska","2290","138.6","95.8","193.8","38"
"Union, Florida","12125","121.7","98.4","149.0","106"
"Kingsbury, South Dakota","46077","114.2","79.9","159.6","40"
"Wade Hampton, Alaska","2270","102.1","60.5","158.8","21"
"Bethel, Alaska","2050","101.2","73.1","135.4","51"
"Nome, Alaska","2180","101.2","65.5","147.6","31"
"Nance, Nebraska","31125","91.7","54.0","146.7","21"
"North Slope, Alaska","2185","87.7","53.3","134.2","29"
"Northwest Arctic, Alaska","2188","86.4","52.9","131.7","22"
"Hitchcock, Nebraska","31087","85.1","48.6","141.8","19"
"Douglas, South Dakota","46043","84.3","42.9","148.8","17"
"Estill, Kentucky","21065","81.2","63.1","103.3","73"
"Bracken, Kentucky","21023","80.3","57.7","109.4","44"
"Bowman, North Dakota","38011","77.7","40.4","135.1","16"
"Mercer, Missouri","29129","76.9","45.9","123.3","20"
"Bolivar, Mississippi","28011","76.0","63.7","90.0","145"
"Palo Alto, Iowa","19147","75.6","52.7","105.2","43"
"Mingo, West Virginia","54059","74.7","61.4","90.3","118"
"Holmes, Mississippi","28051","74.7","58.4","94.3","75"
"Jefferson, Mississippi","28063","73.7","50.1","105.0","33"
"Lowndes, Alabama","1085","73.5","53.9","98.4","50"
"Covington, Virginia","51580","73.3","49.0","107.5","30"
"Powell, Kentucky","21197","73.2","54.2","96.9","52"
"Breathitt, Kentucky","21025","73.0","54.8","95.5","58"
"Roosevelt, Montana","30085","72.9","50.7","101.2","38"
"Sharkey, Mississippi","28125","72.9","45.7","112.1","24"
"Sunflower, Mississippi","28133","72.5","59.0","88.3","105"
"Thurston, Nebraska","31173","72.0","44.2","109.9","22"
"Webster, West Virginia","54101","71.5","50.9","98.5","45"
"Lawrence, Kentucky","21127","71.3","54.8","91.6","67"
"Leflore, Mississippi","28083","70.4","57.7","85.1","112"
"Turner, Georgia","13287","70.4","48.8","98.8","37"
"Lee, Kentucky","21129","70.2","47.6","100.9","33"
"Dallas, Arkansas","5039","69.8","48.3","98.6","39"
"Dewey, South Dakota","46041","68.1","38.4","110.9","16"
"Noxubee, Mississippi","28103","68.0","49.0","92.2","44"
"Morehouse, Louisiana","22067","67.9","55.5","82.4","115"
"Dillingham, Alaska","2070","67.9","36.5","115.2","16"
"Stark, Illinois","17175","67.8","44.2","101.2","28"
"St. Landry, Louisiana","22097","67.8","60.5","75.8","327"
"Cross, Arkansas","5037","67.6","52.6","85.9","73"
"Edwards, Illinois","17047","67.2","45.1","97.3","31"
"Coal, Oklahoma","40029","67.2","43.8","100.1","28"
"Hutchinson, South Dakota","46067","66.9","45.8","95.5","37"
"Grundy, Tennessee","47061","66.8","49.8","88.0","57"
"Kiowa, Oklahoma","40075","66.8","46.8","93.0","40"
"Osceola, Iowa","19143","66.8","44.1","98.4","32"
"Knox, Kentucky","21121","66.6","55.2","79.9","125"
"Phillips, Montana","30071","66.5","38.8","108.3","20"
"Macon, Alabama","1087","66.5","52.6","83.3","87"
"Clinton, Kentucky","21053","66.4","48.3","89.6","47"
"Carroll, Kentucky","21041","66.1","47.4","90.1","43"
"Franklin, Virginia","51620","65.9","44.4","94.5","33"
"Floyd, Kentucky","21071","65.9","55.5","77.8","150"
"Walsh, North Dakota","38099","65.8","48.5","87.9","55"
"Clay, Georgia","13061","65.7","35.0","115.9","16"
"Clarke, Alabama","1025","65.6","53.4","79.9","107"
"Kearney, Nebraska","31099","65.2","42.8","96.1","29"
"Richland, Illinois","17159","65.1","49.7","84.0","67"
"Carroll, Mississippi","28015","65.1","47.7","87.6","51"
"Barton, Missouri","29011","64.9","47.8","86.5","51"
"Spink, South Dakota","46115","64.6","41.5","96.6","28"
"Decatur, Iowa","19053","64.5","42.6","94.1","31"
"Day, South Dakota","46037","64.4","39.5","100.3","26"
"Crenshaw, Alabama","1041","64.3","48.1","84.5","57"
"Wirt, West Virginia","54105","64.1","39.8","98.7","25"
"Charlotte, Virginia","51037","63.9","48.0","84.0","58"
"Letcher, Kentucky","21133","63.7","51.4","78.3","100"
"Yalobusha, Mississippi","28161","63.5","47.0","84.3","54"
"Fleming, Kentucky","21069","63.4","48.0","82.7","60"
"Big Horn, Montana","30003","63.4","44.4","87.6","38"
"Evangeline, Louisiana","22039","63.4","52.3","76.2","119"
"Washington, Kentucky","21229","63.3","46.5","84.7","50"
"Bath, Virginia","51017","63.3","39.4","100.0","24"
"Montgomery, Mississippi","28097","63.2","46.0","85.6","48"
"Dallas, Alabama","1047","63.2","53.5","74.3","160"
"Rolette, North Dakota","38079","63.1","45.2","85.6","43"
"Mercer, Kentucky","21167","63.0","50.0","78.5","88"
"Marion, Mississippi","28091","63.0","51.0","77.0","102"
"La Salle, Louisiana","22059","62.8","47.2","82.0","56"
"Thayer, Nebraska","31169","62.7","41.8","93.5","31"
"Cass, Iowa","19029","62.5","47.4","81.4","65"
"Starr, Texas","48427","62.5","53.5","72.6","174"
"Martin, Kentucky","21159","62.3","44.6","84.9","43"
"Swain, North Carolina","37173","62.2","46.7","81.5","57"
"Dickey, North Dakota","38021","62.2","38.8","96.3","24"
"Kit Carson, Colorado","8063","62.1","41.0","90.6","29"
"Monroe, Iowa","19135","62.0","42.5","88.4","35"
"Jay, Indiana","18075","62.0","48.8","77.9","79"
"Phillips, Arkansas","5107","61.9","48.4","78.2","76"
"Sumter, Alabama","1119","61.8","43.7","84.8","44"
"Arkansas, Arkansas","5001","61.8","48.1","78.5","75"
"Mountrail, North Dakota","38061","61.7","41.7","88.0","32"
"Russell, Kentucky","21207","61.6","48.0","78.1","74"
"Taylor, Kentucky","21217","61.4","49.3","75.6","97"
"Lavaca, Texas","48285","61.4","48.1","77.3","86"
"East Carroll, Louisiana","22035","61.2","39.1","91.5","24"
"Drew, Arkansas","5043","61.1","46.8","78.6","67"
"Tallahatchie, Mississippi","28135","61.1","45.3","80.8","51"
"Anderson, Kentucky","21005","60.9","47.7","76.7","76"
"Mississippi, Missouri","29133","60.9","45.3","80.5","52"
"Calhoun, Arkansas","5013","60.8","37.4","95.2","23"
"Perry, Kentucky","21193","60.7","49.2","74.3","102"
"Garrard, Kentucky","21079","60.7","46.5","78.1","65"
"Burke, Georgia","13033","60.7","47.5","76.6","77"
"La Salle, Texas","48283","60.6","37.7","92.5","22"
"Wilbarger, Texas","48487","60.5","43.4","82.1","46"
"Peach, Georgia","13225","60.5","48.6","74.7","93"
"McLean, Kentucky","21149","60.4","42.2","84.5","38"
"Stewart, Georgia","13259","60.4","36.5","95.3","20"
"Greer, Oklahoma","40055","60.4","37.4","92.9","22"
"McDonough, Illinois","17109","60.1","48.9","73.2","108"
"Dawson, Texas","48115","60.0","42.7","82.0","41"
"Antelope, Nebraska","31003","60.0","38.1","91.0","29"
"McCook, South Dakota","46087","60.0","38.3","91.2","25"
"Wilkinson, Mississippi","28157","59.9","40.7","85.4","33"
"Cumberland, Kentucky","21057","59.9","40.4","87.1","32"
"Clinch, Georgia","13065","59.8","36.7","92.2","22"
"Humboldt, Iowa","19091","59.8","41.2","84.5","39"
"Lee, Georgia","13177","59.8","47.0","75.0","82"
"Montgomery, Illinois","17135","59.8","49.3","72.1","121"
"Bath, Kentucky","21011","59.6","43.5","80.2","47"
"Delta, Texas","48119","59.4","37.1","92.0","23"
"Tishomingo, Mississippi","28141","59.3","46.6","74.6","81"
"Shelby, Illinois","17173","59.3","47.8","73.2","100"
"Knox, Missouri","29103","59.3","35.6","96.2","19"
"Terrell, Georgia","13273","59.3","40.1","85.0","33"
"Sargent, North Dakota","38081","59.2","32.2","101.4","16"
"Poinsett, Arkansas","5111","59.2","47.3","73.4","90"
"Chickasaw, Mississippi","28017","59.2","45.0","76.6","62"
"Scott, Indiana","18143","59.2","47.0","73.8","85"
"Martinsville, Virginia","51690","59.0","44.4","77.3","57"
"Cleburne, Alabama","1029","59.0","44.8","76.8","61"
"Breckinridge, Kentucky","21027","58.9","46.7","73.7","85"
"Butler, Kentucky","21031","58.9","43.7","78.3","52"
"Keokuk, Iowa","19107","58.9","42.4","80.5","46"
"Monroe, Arkansas","5095","58.8","39.9","84.8","33"
"Logan, Illinois","17107","58.8","48.2","71.2","112"
"Greensville, Virginia","51081","58.7","41.6","80.8","40"
"Jefferson, Indiana","18077","58.7","48.5","70.6","122"
"Kingfisher, Oklahoma","40073","58.7","43.5","77.7","52"
"Marion, Kentucky","21155","58.7","45.1","75.2","66"
"Monroe, Kentucky","21171","58.6","42.0","80.3","43"
"Emmet, Iowa","19063","58.6","42.5","79.8","46"
"Emanuel, Georgia","13107","58.5","46.1","73.4","80"
"Nicholas, Kentucky","21181","58.5","37.8","87.1","26"
"Charles City, Virginia","51036","58.4","36.7","89.3","28"
"De Soto, Louisiana","22031","58.4","47.0","71.8","97"
"Nicholas, West Virginia","54067","58.4","47.3","71.5","105"
"Sussex, Virginia","51183","58.3","41.5","80.2","41"
"Guernsey, Ohio","39059","58.3","49.0","68.9","150"
"Lyon, Iowa","19119","58.3","42.0","79.1","45"
"King William, Virginia","51101","58.3","43.7","76.5","56"
"Mitchell, Georgia","13205","58.2","45.7","73.1","78"
"Meriwether, Georgia","13199","58.2","46.3","72.6","87"
"Clay, Alabama","1027","58.2","42.5","78.1","50"
"Allen, Kentucky","21003","58.1","45.3","73.6","74"
"Mills, Texas","48333","58.0","32.4","96.7","19"
"Adams, Ohio","39001","58.0","47.0","70.9","101"
"Calhoun, Illinois","17013","58.0","37.0","89.5","24"
"Jefferson Davis, Mississippi","28065","57.9","41.6","78.8","46"
"Sumter, Georgia","13261","57.8","46.8","70.7","103"
"Assumption, Louisiana","22007","57.7","45.6","72.3","83"
"St. Martin, Louisiana","22099","57.7","49.1","67.3","171"
"Logan, West Virginia","54045","57.6","48.0","68.6","139"
"Putnam, Indiana","18133","57.6","47.9","68.9","128"
"Fulton, Pennsylvania","42057","57.6","43.6","75.4","59"
"Monona, Iowa","19133","57.5","40.2","80.8","42"
"Trousdale, Tennessee","47169","57.5","38.1","83.6","29"
"Otoe, Nebraska","31131","57.5","43.7","74.6","64"
"Carlisle, Kentucky","21039","57.4","34.5","91.4","20"
"Grant, Indiana","18053","57.3","50.1","65.2","251"
"Prowers, Colorado","8099","57.3","40.8","78.4","42"
"Lauderdale, Tennessee","47097","57.2","45.6","71.0","87"
"Knox, Indiana","18083","57.2","47.6","68.2","134"
"Effingham, Illinois","17049","57.1","47.2","68.4","124"
"Jasper, Texas","48241","57.1","47.4","68.2","133"
"Sullivan, Indiana","18153","57.1","44.6","72.1","75"
"Lawrence, Alabama","1079","57.1","47.3","68.6","125"
"Boone, West Virginia","54005","57.1","45.1","71.6","83"
"Warren, Illinois","17187","57.1","43.6","73.8","65"
"Marengo, Alabama","1091","57.0","44.3","72.3","74"
"Tucker, West Virginia","54093","57.0","38.2","83.6","32"
"Custer, Montana","30017","57.0","41.1","77.3","47"
"Montgomery, Kentucky","21173","57.0","45.6","70.5","89"
"Carter, Kentucky","21043","57.0","46.2","69.8","101"
"Pierce, Nebraska","31139","57.0","37.6","83.8","29"
"Marion, Ohio","39101","56.9","49.8","64.9","237"
"Gallatin, Kentucky","21077","56.9","37.1","83.9","28"
"Garvin, Oklahoma","40049","56.9","46.2","69.4","102"
"Blackford, Indiana","18009","56.9","42.2","75.7","52"
"Bradley, Arkansas","5011","56.8","40.6","77.8","42"
"Stephens, Georgia","13257","56.8","45.6","70.0","96"
"Charles Mix, South Dakota","46023","56.7","38.2","81.3","35"
"Mississippi, Arkansas","5093","56.7","47.5","67.2","140"
"Hopewell, Virginia","51670","56.7","44.0","71.9","72"
"Platte, Nebraska","31141","56.7","46.3","68.7","110"
"Lawrence, Arkansas","5075","56.6","43.1","73.3","64"
"Grayson, Kentucky","21085","56.6","45.5","69.8","95"
"Pierce, North Dakota","38069","56.6","32.0","94.5","18"
"Overton, Tennessee","47133","56.6","44.8","70.7","85"
"Washington, Nebraska","31177","56.5","43.3","72.5","66"
"DeWitt, Texas","48123","56.5","44.4","71.1","79"
"Banks, Georgia","13011","56.5","42.9","73.3","62"
"Calhoun, West Virginia","54013","56.5","38.6","81.4","34"
"Merrick, Nebraska","31121","56.5","37.8","82.0","31"
"Wilcox, Alabama","1131","56.4","39.2","78.9","37"
"Van Wert, Ohio","39161","56.4","46.0","68.7","107"
"Calhoun, Mississippi","28013","56.4","42.4","74.0","56"
"Newton, Mississippi","28101","56.3","44.1","71.1","74"
"Pocahontas, Iowa","19151","56.1","36.7","83.3","31"
"Hancock, Georgia","13141","56.1","38.2","80.7","35"
"Starke, Indiana","18149","56.1","44.8","69.8","89"
"Cass, Illinois","17017","56.0","40.5","75.8","45"
"Williamson, Illinois","17199","56.0","49.1","63.6","248"
"Hardin, Ohio","39065","56.0","45.5","68.3","102"
"Wayne, Mississippi","28153","55.9","43.3","71.3","70"
"Fountain, Indiana","18045","55.9","42.6","72.4","63"
"Polk, Nebraska","31143","55.9","31.6","92.2","18"
"Owsley, Kentucky","21189","55.9","32.4","92.0","18"
"Fulton, Kentucky","21075","55.8","35.8","84.5","25"
"Washington, Mississippi","28151","55.8","47.0","65.9","149"
"Leake, Mississippi","28079","55.7","43.2","70.7","71"
"Campbell, Kentucky","21037","55.7","49.5","62.6","299"
"De Witt, Illinois","17039","55.7","42.3","72.5","61"
"Menard, Illinois","17129","55.7","40.3","75.6","46"
"Marion, Illinois","17121","55.7","46.4","66.3","139"
"Lewis, Kentucky","21135","55.7","41.1","74.2","51"
"Cumberland, Illinois","17035","55.6","39.5","76.7","41"
"Hamilton, Illinois","17065","55.6","38.3","79.3","35"
"Scott, Illinois","17171","55.6","33.1","89.0","20"
"Choctaw, Alabama","1023","55.6","41.9","73.1","57"
"Henry, Iowa","19087","55.6","42.8","71.2","68"
"Valley, Nebraska","31175","55.5","33.5","89.9","20"
"Magoffin, Kentucky","21153","55.5","39.6","75.9","43"
"Van Buren, Iowa","19177","55.5","37.4","80.7","31"
"Zavala, Texas","48507","55.5","38.1","78.1","34"
"Adair, Iowa","19001","55.4","37.9","79.9","35"
"Runnels, Texas","48399","55.4","39.6","76.1","42"
"Adair, Kentucky","21001","55.4","42.4","71.5","64"
"Green, Kentucky","21087","55.4","39.5","76.2","43"
"Franklin, Louisiana","22041","55.4","43.1","70.4","72"
"Forest, Wisconsin","55041","55.4","38.2","78.8","38"
"Morgan, Missouri","29141","55.4","43.4","70.1","84"
"Boyle, Kentucky","21021","55.3","45.0","67.5","106"
"Copiah, Mississippi","28029","55.2","44.6","67.7","100"
"Boyd, Kentucky","21019","55.2","47.3","64.1","184"
"McDuffie, Georgia","13189","55.2","43.1","69.8","76"
"Pendleton, West Virginia","54071","55.1","36.5","81.5","34"
"Franklin, Mississippi","28037","55.1","36.1","81.4","28"
"Chambers, Alabama","1017","55.1","45.5","66.2","124"
"Clinton, Pennsylvania","42035","55.1","45.9","65.7","134"
"Northumberland, Virginia","51133","55.1","42.4","72.2","74"
"Houston, Tennessee","47083","55.0","35.9","81.3","29"
"Desha, Arkansas","5041","55.0","39.8","74.6","46"
"Tunica, Mississippi","28143","55.0","35.7","80.7","28"
"Walthall, Mississippi","28147","55.0","41.2","72.2","57"
"Christian, Illinois","17021","55.0","45.6","65.9","128"
"Kay, Oklahoma","40071","55.0","46.4","64.8","157"
"Lamar, Alabama","1075","54.9","41.2","72.3","57"
"Crawford, Missouri","29055","54.9","43.8","68.2","90"
"Marion, South Carolina","45067","54.9","44.7","66.7","111"
"Lincoln, West Virginia","54043","54.8","43.0","69.0","78"
"Clinton, Missouri","29049","54.8","42.6","69.6","74"
"Wright, Missouri","29229","54.8","41.9","70.8","66"
"Taylor, West Virginia","54091","54.8","41.9","70.8","64"
"Kalkaska, Michigan","26079","54.7","41.7","70.8","66"
"Wabash, Illinois","17185","54.7","39.6","74.4","46"
"Catahoula, Louisiana","22025","54.7","37.1","78.1","33"
"McCreary, Kentucky","21147","54.6","41.1","71.3","58"
"Talbot, Georgia","13263","54.6","34.4","83.9","27"
"Karnes, Texas","48255","54.6","39.6","73.4","45"
"Alexander, Illinois","17003","54.6","34.8","82.6","26"
"Woodbury, Iowa","19193","54.5","48.5","61.1","309"
"Randolph, Missouri","29175","54.5","43.2","68.0","82"
"Cuming, Nebraska","31039","54.5","36.6","78.7","35"
"Chattooga, Georgia","13055","54.5","43.5","67.7","87"
"Comanche, Texas","48093","54.5","40.7","72.0","58"
"Decatur, Georgia","13087","54.4","43.4","67.5","88"
"Natchitoches, Louisiana","22069","54.4","44.7","65.6","118"
"Johnson, Kentucky","21115","54.4","42.7","68.5","78"
"East Feliciana, Louisiana","22037","54.4","42.0","69.5","71"
"McLean, North Dakota","38055","54.4","37.8","76.7","39"
"Livingston, Illinois","17105","54.3","45.1","64.9","131"
"Sabine, Texas","48403","54.3","38.6","75.4","50"
"Winn, Louisiana","22127","54.3","39.9","72.4","50"
"Carroll, Missouri","29033","54.2","37.5","76.7","36"
"Lewis, Missouri","29111","54.2","37.7","76.0","37"
"Lincoln, Kentucky","21137","54.2","43.0","67.6","84"
"Menifee, Kentucky","21165","54.1","34.6","82.1","26"
"Gilmer, West Virginia","54021","54.1","35.4","80.0","27"
"Clay, Arkansas","5021","54.1","40.7","70.9","59"
"Shannon, South Dakota","46113","54.0","34.3","80.4","26"
"Union, South Dakota","46127","54.0","39.2","72.7","47"
"Bell, Kentucky","21013","54.0","43.4","66.6","96"
"Clay, West Virginia","54015","54.0","36.9","77.3","34"
"Sequatchie, Tennessee","47153","53.9","40.3","71.3","55"
"Putnam, Georgia","13237","53.9","42.2","68.1","82"
"Allen, Louisiana","22003","53.9","42.6","67.3","81"
"Twiggs, Georgia","13289","53.8","36.4","77.9","33"
"Williamsburg, South Carolina","45089","53.8","44.0","65.3","114"
"Wharton, Texas","48481","53.8","45.0","63.8","138"
"Saline, Illinois","17165","53.8","42.7","67.0","87"
"Warren, Georgia","13301","53.8","33.1","84.7","22"
"Reynolds, Missouri","29179","53.8","34.7","81.3","27"
"Morgan, Kentucky","21175","53.8","38.5","73.4","43"
"Crockett, Tennessee","47033","53.8","39.9","71.5","52"
"Choctaw, Oklahoma","40023","53.7","40.1","70.8","57"
"Jackson, Arkansas","5067","53.7","40.9","69.7","61"
"St. Mary, Louisiana","22101","53.7","45.7","62.7","167"
"Acadia, Louisiana","22001","53.7","46.2","62.0","192"
"Valley, Montana","30105","53.6","35.8","78.5","31"
"Wrangell-Petersburg, Alaska","2280","53.6","31.6","86.0","20"
"Greene, Pennsylvania","42059","53.6","44.4","64.1","129"
"Harlan, Kentucky","21095","53.5","42.8","66.1","95"
"Cibola, New Mexico","35006","53.5","42.4","66.7","83"
"McDowell, West Virginia","54047","53.5","41.8","67.8","77"
"Covington, Mississippi","28031","53.5","40.6","69.3","61"
"Stewart, Tennessee","47161","53.5","39.1","72.0","49"
"Bollinger, Missouri","29017","53.4","38.4","72.9","45"
"Montgomery, Iowa","19137","53.4","37.8","74.1","43"
"Custer, Colorado","8027","53.4","29.6","93.6","20"
"LaMoure, North Dakota","38045","53.4","31.5","88.7","19"
"Muscatine, Iowa","19139","53.4","44.6","63.3","138"
"Schuyler, New York","36097","53.3","39.8","70.0","59"
"Vermilion, Illinois","17183","53.3","46.9","60.4","266"
"Shelby, Iowa","19165","53.3","38.9","72.2","51"
"Washington, Illinois","17189","53.2","39.5","70.7","53"
"Spencer, Kentucky","21215","53.2","39.1","70.8","53"
"Defiance, Ohio","39039","53.2","44.1","63.8","125"
"Payette, Idaho","16075","53.1","41.0","67.6","71"
"Pike, Kentucky","21195","53.1","45.9","61.1","209"
"Scott, Missouri","29201","53.1","44.2","63.3","131"
"Little River, Arkansas","5081","53.1","38.3","72.3","46"
"Pickett, Tennessee","47137","53.1","31.5","86.2","21"
"Jackson, Iowa","19097","53.1","41.2","67.8","73"
"Clarke, Mississippi","28023","53.1","39.8","69.6","58"
"Ashland, Ohio","39005","53.0","45.6","61.4","190"
"Oneida, Wisconsin","55085","53.0","44.6","62.9","155"
"Jasper, Illinois","17079","53.0","36.8","74.7","36"
"Guthrie, Iowa","19077","52.9","37.8","72.9","44"
"Craig, Oklahoma","40035","52.9","39.7","69.6","55"
"Richmond, Virginia","51159","52.8","36.5","75.0","35"
"Union, Arkansas","5139","52.8","43.8","63.2","130"
"Pendleton, Kentucky","21191","52.8","38.2","71.3","46"
"Madison, Louisiana","22065","52.8","36.1","74.8","33"
"Jasper, Georgia","13159","52.8","38.5","71.1","48"
"Jim Hogg, Texas","48247","52.8","30.4","86.3","17"
"Rockcastle, Kentucky","21203","52.8","39.2","69.7","55"
"Lawrence, Mississippi","28077","52.8","37.9","72.1","43"
"Monroe, Alabama","1099","52.8","41.6","66.4","81"
"Fulton, Illinois","17057","52.7","43.9","62.9","134"
