Incidence, US by County, All Races, Non-Hodgkin Lymphoma (Both Sexes), 2013 - 2017
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Union, Florida","12125","58.3","42.8","77.8","50"
"Palo Alto, Iowa","19147","39.9","23.7","63.1","21"
"Fulton, Arkansas","5049","35.7","22.6","54.0","29"
"Keith, Nebraska","31101","35.0","21.6","55.3","23"
"Nemaha, Nebraska","31127","34.4","19.2","58.0","16"
"Staunton, Virginia","51790","34.3","25.2","45.7","54"
"Montour, Pennsylvania","42093","33.5","23.7","46.3","41"
"Worth, Iowa","19195","33.2","19.9","53.8","19"
"Waynesboro, Virginia","51820","33.0","24.1","44.3","48"
"Forest, Wisconsin","55041","32.9","21.4","50.0","26"
"Clay, South Dakota","46027","32.5","19.2","51.6","19"
"Jefferson, Montana","30043","32.2","19.2","51.0","23"
"Pembina, North Dakota","38067","32.0","17.1","55.6","16"
"Hernando, Florida","12053","32.0","28.9","35.4","474"
"Mercer, Illinois","17131","31.9","21.5","46.0","33"
"Oscoda, Michigan","26135","31.6","18.3","52.3","21"
"Saline, Nebraska","31151","31.6","20.8","46.3","28"
"Hancock, Iowa","19081","31.5","19.5","48.8","24"
"Refugio, Texas","48391","31.4","18.0","52.3","17"
"Dickinson, Iowa","19059","31.4","21.8","44.4","41"
"Caldwell, Missouri","29025","30.5","18.2","48.8","19"
"DeWitt, Texas","48123","30.4","21.5","41.8","41"
"Montgomery, Iowa","19137","30.2","18.7","47.2","23"
"Clay, Florida","12019","29.7","26.6","33.2","336"
"Custer, Montana","30017","29.7","18.3","45.8","23"
"Dawes, Nebraska","31045","29.6","17.2","48.7","18"
"Harrison, Iowa","19085","29.4","19.1","43.5","28"
"Gilmer, Georgia","13123","29.3","22.1","38.2","65"
"Rains, Texas","48379","29.3","18.7","44.8","28"
"Citrus, Florida","12017","29.3","26.1","32.9","426"
"Sarasota, Florida","12115","29.3","27.4","31.4","1218"
"Mitchell, Iowa","19131","29.3","18.0","45.8","24"
"Towns, Georgia","13281","29.2","15.6","49.9","23"
"Decatur, Tennessee","47039","29.2","18.3","44.9","25"
"Wright, Missouri","29229","29.2","19.9","41.5","35"
"Todd, Kentucky","21219","29.1","17.8","45.0","21"
"Kane, Utah","49025","29.1","17.0","48.6","19"
"Johnson, Illinois","17087","29.0","17.6","45.3","22"
"Webster, Kentucky","21233","28.8","18.3","43.6","24"
"Charlotte, Florida","12015","28.8","25.7","32.2","509"
"Floyd, Iowa","19067","28.6","18.7","42.3","30"
"Clayton, Iowa","19043","28.4","19.6","40.1","38"
"Wyoming, New York","36121","28.3","22.0","36.0","71"
"Fulton, Pennsylvania","42057","28.3","18.5","42.0","28"
"Boone, Iowa","19015","28.3","20.8","37.9","50"
"Coshocton, Ohio","39031","28.2","21.7","36.2","69"
"Washburn, Wisconsin","55129","28.1","18.7","41.3","35"
"Lawrence, Kentucky","21127","28.0","18.6","40.9","30"
"Monona, Iowa","19133","27.9","15.5","47.1","17"
"Clinton, Missouri","29049","27.8","19.2","39.1","36"
"Lawrence, Arkansas","5075","27.8","18.1","41.1","28"
"Butler, Nebraska","31023","27.5","15.2","46.8","16"
"Glenn, California","6021","27.4","19.9","37.0","44"
"Pickens, Georgia","13227","27.4","20.4","36.1","59"
"Carter, Kentucky","21043","27.3","19.9","36.8","47"
"Boundary, Idaho","16021","27.3","16.2","43.8","20"
"Umatilla, Oregon","41059","27.2","22.4","32.7","118"
"Duval, Florida","12031","27.2","25.7","28.8","1306"
"Barron, Wisconsin","55005","27.2","21.6","33.9","88"
"Richland, Montana","30083","27.2","15.6","44.2","17"
"McLean, Kentucky","21149","27.1","15.6","44.7","17"
"Sumter, Florida","12119","27.1","23.4","31.5","423"
"Carbon, Utah","49007","27.1","18.0","39.1","30"
"Nodaway, Missouri","29147","27.0","18.2","38.8","31"
"Santa Rosa, Florida","12113","26.8","23.5","30.3","261"
"Moultrie, Illinois","17139","26.8","17.1","40.4","26"
"Owen, Kentucky","21187","26.8","15.6","43.6","18"
"Russell, Kentucky","21207","26.8","18.3","38.4","34"
"Latah, Idaho","16057","26.8","19.5","36.0","47"
"Howard, Missouri","29089","26.7","15.6","43.3","18"
"Pasco, Florida","12101","26.6","24.9","28.5","965"
"Hendry, Florida","12051","26.6","20.0","34.7","55"
"Morgan, Missouri","29141","26.6","18.7","37.2","42"
"Greene, Iowa","19073","26.6","14.4","45.6","16"
"Palm Beach, Florida","12099","26.6","25.6","27.7","2918"
"Roane, West Virginia","54087","26.5","17.4","39.4","28"
"Posey, Indiana","18129","26.5","19.0","36.2","44"
"Camp, Texas","48063","26.5","16.2","41.3","21"
"Humphreys, Tennessee","47085","26.5","17.7","38.6","31"
"Lincoln, Missouri","29113","26.4","20.6","33.3","74"
"Vilas, Wisconsin","55125","26.4","19.7","35.6","58"
"Lincoln, Nebraska","31111","26.3","19.8","34.4","58"
"Madison, Missouri","29123","26.3","16.1","41.1","21"
"Skamania, Washington","53059","26.3","15.6","42.4","20"
"Manassas Park, Virginia","51685","26.3","14.6","43.2","17"
"Penobscot, Maine","23019","26.2","23.0","29.8","255"
"Montague, Texas","48337","26.2","17.8","37.5","35"
"Green Lake, Wisconsin","55047","26.1","18.1","36.8","37"
"Marion, Florida","12083","26.0","24.0","28.2","751"
"Howard, Iowa","19089","26.0","15.2","42.6","18"
