Incidence, US by State, All Races, Cervix (Female), 2013 - 2017
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Kentucky","21","9.6","9.0","10.2","1085"
"Arkansas","5","9.5","8.8","10.2","729"
"Mississippi","28","9.4","8.7","10.1","735"
"Alabama","1","9.4","8.8","9.9","1196"
"Oklahoma","40","9.2","8.6","9.8","880"
"West Virginia","54","9.2","8.3","10.1","440"
"Texas","48","9.2","9.0","9.4","6256"
"Louisiana","22","9.1","8.6","9.7","1086"
"Nevada","32","9.0","8.3","9.7","659"
"Florida","12","8.9","8.7","9.2","5007"
"District of Columbia","11","8.8","7.4","10.3","155"
"Tennessee","47","8.4","8.0","8.8","1489"
"New Mexico","35","8.2","7.4","9.0","419"
"Indiana","18","8.2","7.7","8.6","1372"
"Missouri","29","8.0","7.6","8.5","1266"
"Ohio","39","7.9","7.6","8.2","2406"
"South Carolina","45","7.9","7.4","8.4","1029"
"Nebraska","31","7.8","7.0","8.7","362"
"New York","36","7.8","7.6","8.1","4297"
"Delaware","10","7.8","6.7","9.0","199"
"Georgia","13","7.8","7.5","8.2","2096"
"New Jersey","34","7.7","7.3","8.1","1909"
"Illinois","17","7.7","7.4","8.0","2657"
"Kansas","20","7.6","7.0","8.3","536"
"Iowa","19","7.5","6.8","8.1","578"
"Pennsylvania","42","7.3","7.0","7.6","2548"
"South Dakota","46","7.3","6.2","8.6","153"
"California","6","7.2","7.1","7.4","7281"
"Rhode Island","44","7.1","6.1","8.2","200"
"Alaska","2","7.1","5.9","8.6","118"
"North Carolina","37","7.1","6.7","7.4","1902"
"Oregon","41","7.0","6.5","7.5","727"
"Montana","30","6.8","5.8","8.0","187"
"Hawaii","15","6.8","5.9","7.7","246"
"Washington","53","6.7","6.3","7.1","1238"
"Michigan","26","6.7","6.4","7.0","1721"
"Maryland","24","6.6","6.2","7.0","1101"
"Idaho","16","6.5","5.7","7.4","259"
"Arizona","4","6.5","6.1","6.9","1118"
"Wisconsin","55","6.4","6.0","6.9","954"
"Wyoming","56","6.4","5.1","7.9","93"
"Colorado","8","6.2","5.8","6.7","868"
"Connecticut","9","6.1","5.6","6.6","591"
"Virginia","51","6.0","5.7","6.4","1343"
"Maine","23","5.9","5.1","6.8","221"
"Minnesota","27","5.5","5.1","5.9","770"
"North Dakota","38","5.5","4.4","6.7","97"
"Utah","49","5.4","4.8","6.0","354"
"Massachusetts","25","5.2","4.9","5.6","983"
"New Hampshire","33","4.7","4.0","5.5","176"
"Vermont","50","4.3","3.3","5.5","71"
