Incidence, US by State, All Races, Lung & Bronchus (Both Sexes), 2013 - 2017
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Kentucky","21","91.0","89.9","92.2","24620"
"West Virginia","54","79.8","78.3","81.4","10444"
"Arkansas","5","77.2","76.0","78.5","14434"
"Mississippi","28","74.9","73.6","76.2","13237"
"Tennessee","47","74.5","73.6","75.3","30130"
"Indiana","18","72.2","71.4","73.1","28061"
"Maine","23","72.1","70.4","73.8","6981"
"Missouri","29","72.0","71.2","72.9","27336"
"Rhode Island","44","70.3","68.3","72.4","4712"
"Ohio","39","67.9","67.3","68.5","49754"
"North Carolina","37","67.7","67.1","68.4","40831"
"Oklahoma","40","67.4","66.4","68.5","15492"
"Delaware","10","66.9","64.9","69.0","4157"
"Louisiana","22","66.2","65.2","67.2","17729"
"Alabama","1","64.9","63.9","65.8","19785"
"South Carolina","45","64.4","63.5","65.3","20102"
"Illinois","17","63.7","63.1","64.2","47286"
"New Hampshire","33","63.7","62.0","65.4","5632"
"Pennsylvania","42","63.5","62.9","64.0","54335"
"Michigan","26","63.3","62.7","64.0","39818"
"Iowa","19","63.3","62.1","64.4","12439"
"Georgia","13","62.8","62.1","63.5","33717"
"Massachusetts","25","61.2","60.5","62.0","25468"
"Vermont","50","61.1","58.7","63.6","2616"
"Connecticut","9","59.6","58.5","60.6","13605"
"Wisconsin","55","59.1","58.3","59.9","21219"
"South Dakota","46","59.0","56.9","61.2","3059"
"New York","36","58.7","58.2","59.1","69811"
"North Dakota","38","57.7","55.4","60.1","2440"
"Florida","12","57.7","57.3","58.1","85025"
"Nebraska","31","57.2","55.8","58.7","6312"
"Virginia","51","56.4","55.7","57.1","27119"
"Maryland","24","56.4","55.6","57.2","19392"
"Kansas","20","56.2","55.1","57.4","9503"
"Minnesota","27","56.1","55.3","57.0","18138"
"Alaska","2","55.8","53.1","58.7","1777"
"New Jersey","34","55.3","54.7","56.0","29748"
"Oregon","41","54.1","53.1","55.0","13705"
"Washington","53","54.0","53.2","54.7","21980"
"Montana","30","53.7","52.0","55.5","3689"
"Nevada","32","53.3","52.2","54.5","8721"
"Texas","48","50.6","50.2","51.0","66583"
"Idaho","16","49.5","48.1","51.0","4657"
"Arizona","4","46.8","46.1","47.4","19863"
"District of Columbia","11","46.6","44.3","49.1","1529"
"Hawaii","15","45.7","44.3","47.2","4172"
"Wyoming","56","42.2","40.0","44.5","1444"
"California","6","41.5","41.2","41.7","85146"
"Colorado","8","41.4","40.7","42.2","11751"
"New Mexico","35","38.5","37.4","39.6","4910"
"Utah","49","26.0","25.1","26.9","3243"
