Incidence, US by State, All Races, Prostate (Male), 2013 - 2017
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"New Jersey","34","131.3","129.8","132.7","33616"
"Louisiana","22","131.2","129.2","133.3","17018"
"Mississippi","28","128.1","125.6","130.6","10852"
"District of Columbia","11","127.4","121.5","133.5","1876"
"New York","36","125.0","124.0","125.9","70079"
"Maryland","24","124.7","122.9","126.4","20973"
"Delaware","10","124.5","120.5","128.7","3739"
"Georgia","13","124.2","122.8","125.6","32456"
"Alabama","1","121.1","119.3","123.0","17451"
"Montana","30","118.4","114.8","122.1","4253"
"North Carolina","37","117.4","116.1","118.7","34039"
"Nebraska","31","116.9","114.0","119.9","6329"
"South Dakota","46","114.8","110.6","119.1","3000"
"South Carolina","45","114.5","112.8","116.3","17318"
"North Dakota","38","113.5","108.9","118.2","2440"
"Utah","49","112.8","110.1","115.5","7123"
"Arkansas","5","112.4","110.2","114.6","10081"
"Tennessee","47","111.5","110.0","113.1","21831"
"Connecticut","9","111.3","109.3","113.3","12234"
"Wisconsin","55","109.3","107.7","110.9","19694"
"New Hampshire","33","109.2","106.1","112.4","4957"
"Illinois","17","109.1","108.0","110.2","39215"
"Minnesota","27","108.9","107.2","110.5","17641"
"Kansas","20","108.3","106.0","110.7","8888"
"Wyoming","56","108.1","103.2","113.1","1972"
"Iowa","19","107.7","105.6","109.8","10304"
"Michigan","26","106.4","105.3","107.6","32798"
"Idaho","16","105.3","102.3","108.3","5027"
"Ohio","39","104.2","103.2","105.3","37010"
"Kentucky","21","104.1","102.3","105.9","13607"
"Pennsylvania","42","103.7","102.7","104.8","42465"
"Massachusetts","25","102.4","101.0","103.9","20628"
"Virginia","51","99.6","98.3","100.9","23690"
"Washington","53","98.7","97.3","100.1","20437"
"Rhode Island","44","98.6","95.1","102.3","3141"
"Indiana","18","94.2","92.8","95.7","17610"
"Texas","48","94.0","93.2","94.7","60870"
"Florida","12","93.9","93.2","94.6","65120"
"Oklahoma","40","93.9","92.1","95.8","10356"
"Oregon","41","93.3","91.6","95.0","11930"
"California","6","93.0","92.3","93.6","93717"
"Colorado","8","92.6","91.0","94.3","13634"
"West Virginia","54","92.1","89.7","94.5","5917"
"Missouri","29","91.4","90.0","92.8","16820"
"Hawaii","15","88.2","85.4","91.1","3856"
"Maine","23","88.1","85.4","90.9","4278"
"Vermont","50","87.1","83.1","91.3","1912"
"Nevada","32","85.5","83.5","87.6","7259"
"Alaska","2","83.6","78.9","88.4","1507"
"New Mexico","35","82.8","80.5","85.1","5230"
"Arizona","4","79.2","78.0","80.5","16280"
