Mortality, US by County, All Races, All Malignant Cancers (Both Sexes), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Union, Florida","12125","454.48","409.29","503.49","406"
"Galax, Virginia","51640","372.85","318.74","434.50","181"
"Buffalo, South Dakota","46017","333.99","206.52","506.33","23"
"Kingman, Kansas","20095","300.64","253.88","354.36","168"
"Hanson, South Dakota","46061","300.41","213.88","408.73","44"
"Covington, Virginia","51580","289.92","238.39","351.52","120"
"Camas, Idaho","16025","274.97","153.84","458.82","19"
"Monroe, Arkansas","5095","272.91","228.97","323.83","153"
"Whitley, Kentucky","21235","271.83","249.81","295.35","583"
"Breathitt, Kentucky","21025","271.30","235.85","310.91","226"
"Martinsville, Virginia","51690","271.13","238.61","307.34","263"
"Lane, Kansas","20101","264.16","186.77","372.31","39"
"Prairie, Montana","30079","263.84","170.42","406.60","29"
"Petersburg, Virginia","51730","261.85","239.24","286.14","529"
"Owsley, Kentucky","21189","261.77","207.26","327.80","84"
"Wolfe, Kentucky","21237","259.99","215.81","311.36","127"
"Sunflower, Mississippi","28133","259.54","232.60","288.77","353"
"Delta, Texas","48119","258.15","206.88","319.45","95"
"East Carroll, Louisiana","22035","257.51","210.30","312.51","106"
"Perry, Kentucky","21193","256.11","231.97","282.22","438"
"Clay, Kentucky","21051","255.01","226.21","286.57","301"
"Greensville, Virginia","51081","254.40","216.68","297.08","170"
"Kiowa, Colorado","8061","254.20","165.84","381.70","31"
"Franklin, Virginia","51620","254.19","212.66","302.14","144"
"Harlan, Kentucky","21095","253.69","230.20","279.09","453"
"Yukon-Koyukuk, Alaska","2290","252.63","195.56","321.30","73"
"Nicholas, Kentucky","21181","247.70","204.24","298.45","117"
"Hopewell, Virginia","51670","247.58","221.64","275.86","340"
"Carroll, Kentucky","21041","247.20","209.46","290.07","158"
"Todd, South Dakota","46121","246.84","191.85","311.41","77"
"Leslie, Kentucky","21131","246.67","210.05","288.33","169"
"Powell, Kentucky","21197","246.56","210.80","286.88","179"
"Logan, West Virginia","54045","244.86","224.65","266.57","580"
"Bristol, Virginia","51520","244.58","217.35","274.69","306"
"Madison, Mississippi","28089","244.54","230.70","258.98","1250"
"Pulaski, Illinois","17153","244.45","198.60","299.18","106"
"Glascock, Georgia","13125","243.96","177.39","329.08","47"
"Catahoula, Louisiana","22025","243.81","205.22","287.91","147"
"Okfuskee, Oklahoma","40107","242.16","208.59","279.99","191"
"Lawrence, Kentucky","21127","241.68","211.41","275.34","243"
"Clay, Arkansas","5021","241.33","213.42","272.38","281"
"Johnson, Kentucky","21115","241.11","216.11","268.41","358"
"Hardin, Illinois","17069","239.79","188.53","303.83","85"
"Overton, Tennessee","47133","239.43","215.07","266.07","373"
"Hart, Kentucky","21099","238.73","211.05","269.25","281"
"Tunica, Mississippi","28143","238.69","196.17","287.59","118"
"Benton, Tennessee","47005","238.62","212.06","268.14","315"
"Dunklin, Missouri","29069","238.59","217.49","261.34","487"
"Perry, Tennessee","47135","237.56","198.84","282.54","140"
"Carroll, Tennessee","47017","236.80","215.81","259.52","487"
"Scott, Tennessee","47151","236.44","210.96","264.33","326"
"Estill, Kentucky","21065","235.65","204.97","269.99","226"
"Polk, Texas","48373","235.08","217.35","253.95","726"
"Morgan, Kentucky","21175","234.64","201.25","272.26","184"
"Grundy, Tennessee","47061","234.64","203.97","269.08","224"
