Mortality, US by County, All Races, Breast (Female), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Kingman, Kansas","20095","57.24","31.50","98.46","17"
"Madison, Louisiana","22065","48.10","27.03","79.56","16"
"Callahan, Texas","48059","44.06","26.99","69.16","22"
"Tallahatchie, Mississippi","28135","41.80","23.01","70.08","16"
"Lamb, Texas","48279","41.28","23.94","67.09","18"
"Fleming, Kentucky","21069","41.22","24.31","65.99","19"
"Essex, Virginia","51057","40.31","23.86","66.20","19"
"Roane, West Virginia","54087","39.51","23.37","63.69","20"
"Adams, Mississippi","28001","39.47","28.30","54.09","46"
"Petersburg, Virginia","51730","38.93","28.22","52.79","46"
"Yalobusha, Mississippi","28161","38.83","21.85","64.76","17"
"Randolph, Missouri","29175","38.43","26.20","55.06","33"
"Martinsville, Virginia","51690","37.64","22.52","60.44","21"
"Wilkes, Georgia","13317","37.59","20.13","66.29","16"
"Brunswick, Virginia","51025","37.05","22.34","59.16","22"
"Marshall, Mississippi","28093","37.03","26.46","50.70","44"
"Leflore, Mississippi","28083","36.99","25.53","52.04","35"
"Polk, Arkansas","5113","36.82","22.27","57.46","24"
"Clay, Kentucky","21051","36.42","23.06","55.40","24"
"McPherson, Kansas","20113","36.31","25.58","50.64","43"
"Grenada, Mississippi","28043","35.96","23.51","53.26","27"
"Wilcox, Alabama","1131","35.91","20.44","60.68","16"
"Morris, Texas","48343","35.62","19.48","60.83","16"
"Hale, Alabama","1065","35.57","19.88","59.04","17"
"Kleberg, Texas","48273","35.34","23.41","51.35","29"
"Chowan, North Carolina","37041","35.14","19.44","59.31","19"
"Sunflower, Mississippi","28133","34.97","22.77","51.74","27"
"Madison, Mississippi","28089","34.93","28.37","42.58","104"
"Lewis, West Virginia","54041","34.73","20.49","55.98","19"
"Custer, Nebraska","31041","34.50","18.02","61.58","16"
"Hopewell, Virginia","51670","34.04","22.03","50.67","26"
"Halifax, Virginia","51083","33.91","23.90","47.08","44"
"Escambia, Alabama","1053","33.86","24.14","46.51","43"
"Garrard, Kentucky","21079","33.84","20.06","54.23","20"
"East Feliciana, Louisiana","22037","33.81","20.21","53.92","20"
"Coahoma, Mississippi","28027","33.76","22.03","49.86","27"
"Logan, Kentucky","21141","33.58","22.66","48.44","32"
"Lamar, Alabama","1075","33.49","20.59","53.61","21"
"Luna, New Mexico","35029","33.44","21.25","50.40","28"
"Whitley, Kentucky","21235","33.42","23.58","46.23","40"
"Washburn, Wisconsin","55129","33.34","17.84","57.39","18"
