Mortality, US by County, All Races, Leukemia: Total (Both Sexes), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Kingman, Kansas","20095","26.37","14.62","45.53","16"
"Hughes, Oklahoma","40063","18.85","10.62","31.34","16"
"Beckham, Oklahoma","40009","16.05","9.59","25.23","19"
"Macon, Tennessee","47111","15.12","9.04","23.80","19"
"Livingston, Missouri","29117","14.34","8.24","23.93","17"
"Johnson, Kentucky","21115","13.56","7.94","21.81","18"
"Madison, Mississippi","28089","13.47","10.24","17.35","61"
"Crawford, Illinois","17033","13.34","7.65","21.99","17"
"Mineral, West Virginia","54057","13.18","8.31","20.12","25"
"Fillmore, Minnesota","27045","12.47","7.03","20.71","19"
"Douglas, Illinois","17041","12.37","6.98","20.59","16"
"Grady, Georgia","13131","12.36","7.20","19.90","18"
"Benton, Minnesota","27009","12.29","7.95","18.17","26"
"Union, South Carolina","45087","12.23","7.76","18.67","24"
"Christian, Illinois","17021","11.96","7.87","17.67","29"
"Abbeville, South Carolina","45001","11.62","6.98","18.56","20"
"Polk, Missouri","29167","11.59","7.31","17.64","24"
"Bee, Texas","48025","11.53","6.68","18.46","17"
"Gallia, Ohio","39053","11.49","7.21","17.60","23"
"Salem, Virginia","51775","11.45","6.91","18.17","20"
"Morgan, Colorado","8087","11.40","6.75","18.13","19"
"Adams, Ohio","39001","11.36","6.74","18.09","19"
"Benton, Missouri","29015","11.31","6.79","18.93","21"
"Kewaunee, Wisconsin","55061","11.28","6.36","18.98","16"
"Jasper, South Carolina","45053","11.27","6.35","18.50","17"
"Green Lake, Wisconsin","55047","11.24","6.13","19.41","16"
"Garvin, Oklahoma","40049","11.20","6.61","17.89","19"
"Seminole, Oklahoma","40133","11.18","6.39","18.30","17"
"Stephens, Oklahoma","40137","11.16","7.59","15.98","34"
"Logan, West Virginia","54045","11.13","6.91","17.11","22"
"Carroll, Arkansas","5015","11.12","6.66","17.67","21"
"Taylor, Kentucky","21217","11.08","6.10","18.53","16"
"Petersburg, Virginia","51730","11.06","6.93","16.96","23"
"Mecosta, Michigan","26107","11.06","7.10","16.51","27"
"Wexford, Michigan","26165","11.04","7.00","16.76","25"
"Saunders, Nebraska","31155","10.92","6.18","18.30","16"
"White, Indiana","18181","10.90","6.32","17.81","18"
"Geneva, Alabama","1061","10.87","6.42","17.48","19"
"Van Wert, Ohio","39161","10.77","6.61","16.86","22"
"Phelps, Missouri","29161","10.75","7.04","15.81","28"
"Morton, North Dakota","38059","10.75","6.59","16.75","21"
"Fayette, Iowa","19065","10.70","6.17","17.94","18"
"Williams, Ohio","39171","10.69","6.80","16.12","25"
"Bradford, Florida","12007","10.68","6.50","16.89","20"
"Webster, Missouri","29225","10.55","6.65","15.97","23"
"Marshall, Kentucky","21157","10.54","6.53","16.35","23"
"Mecklenburg, Virginia","51117","10.54","6.62","16.29","27"
"Montgomery, Kansas","20125","10.44","6.56","15.97","24"
"Miller, Missouri","29131","10.28","5.79","17.09","16"
"Pike, Alabama","1109","10.25","5.99","16.48","18"
"Dodge, Nebraska","31053","10.18","6.51","15.33","26"
"Mingo, West Virginia","54059","10.16","5.69","17.00","16"
"Dunklin, Missouri","29069","10.14","6.10","16.04","20"
"Cass, Indiana","18017","10.13","6.58","15.11","26"
"Langlade, Wisconsin","55067","10.12","5.65","17.51","16"
"Clarke, Alabama","1025","10.10","5.82","16.65","17"
"McIntosh, Oklahoma","40091","10.09","5.80","17.12","17"
"Dickson, Tennessee","47043","10.08","6.75","14.54","30"
"Fulton, Ohio","39051","10.04","6.49","14.95","26"
"Chippewa, Michigan","26033","9.99","6.39","15.08","24"
"Ripley, Indiana","18137","9.91","5.72","16.15","17"
"Delaware, New York","36025","9.88","6.57","14.48","34"
"Juniata, Pennsylvania","42067","9.87","5.70","16.27","17"
