Mortality, US by County, All Races, Lung and Bronchus (Both Sexes), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Union, Florida","12125","147.94","122.81","176.93","133"
"Galax, Virginia","51640","120.85","91.32","158.08","58"
"Carroll, Kentucky","21041","108.14","83.88","137.56","70"
"Breathitt, Kentucky","21025","101.26","80.80","125.79","90"
"East Carroll, Louisiana","22035","99.53","71.14","135.88","41"
"Whitley, Kentucky","21235","99.28","86.37","113.68","219"
"Owsley, Kentucky","21189","98.68","67.90","140.93","34"
"Knox, Kentucky","21121","97.57","84.37","112.40","202"
"Leslie, Kentucky","21131","97.03","75.36","123.66","71"
"Menifee, Kentucky","21165","95.43","69.23","129.77","46"
"Monroe, Arkansas","5095","92.22","69.08","122.17","55"
"Powell, Kentucky","21197","90.67","70.23","115.58","70"
"Glascock, Georgia","13125","88.88","52.13","144.39","18"
"Harlan, Kentucky","21095","88.82","75.45","104.09","166"
"Perry, Kentucky","21193","88.76","75.22","104.23","161"
"Carlisle, Kentucky","21039","88.20","60.95","125.66","34"
"Gallatin, Kentucky","21077","87.82","62.71","119.95","44"
"Wolfe, Kentucky","21237","86.50","62.90","117.25","46"
"Dunklin, Missouri","29069","86.40","74.04","100.42","179"
"Bath, Kentucky","21011","86.18","66.85","109.81","69"
"Pulaski, Illinois","17153","85.45","59.84","120.19","38"
"Calhoun, Arkansas","5013","85.23","59.29","121.08","36"
"Donley, Texas","48129","85.05","52.20","134.40","23"
"Nicholas, Kentucky","21181","84.69","60.74","115.99","42"
"Lawrence, Kentucky","21127","84.35","67.25","104.83","88"
"Scott, Tennessee","47151","84.18","69.61","101.14","121"
"Montgomery, Kentucky","21173","83.18","69.63","98.70","138"
"Martin, Kentucky","21159","82.47","62.47","107.23","60"
"Trimble, Kentucky","21223","82.20","59.53","111.29","46"
"Clay, Arkansas","5021","82.13","66.54","100.89","99"
"Hardin, Illinois","17069","82.02","54.80","122.42","30"
"Butler, Missouri","29023","81.92","71.87","93.13","247"
"Benton, Tennessee","47005","81.87","67.08","99.66","112"
