Mortality, US by County, All Races, Non-Hodgkin Lymphoma (Both Sexes), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Union, Florida","12125","18.75","10.68","30.93","17"
"DeWitt, Texas","48123","14.74","9.19","22.85","22"
"Cooper, Missouri","29053","12.64","7.18","21.20","16"
"Adams, Ohio","39001","12.33","7.62","19.09","22"
"Scott, Virginia","51169","11.69","7.40","18.34","23"
"Carter, Kentucky","21043","11.52","7.07","17.99","21"
"Morgan, Missouri","29141","11.12","6.77","18.05","20"
"Montague, Texas","48337","11.00","6.18","18.65","16"
"Ottawa, Oklahoma","40115","10.77","6.88","16.34","24"
"Silver Bow, Montana","30093","10.66","6.93","15.95","26"
"Lawrence, Ohio","39087","10.59","7.61","14.46","42"
"Carroll, Ohio","39019","10.50","6.54","16.41","22"
"Hopkins, Kentucky","21107","10.29","6.95","14.82","31"
"Decatur, Indiana","18031","9.99","5.64","16.53","16"
"Wabash, Indiana","18169","9.94","6.30","15.26","25"
"Cheboygan, Michigan","26031","9.67","6.12","15.35","23"
"Glenn, California","6021","9.65","5.49","15.89","16"
"Harvey, Kansas","20079","9.61","5.70","15.25","21"
"Snyder, Pennsylvania","42109","9.47","6.12","14.18","26"
"Henry, Tennessee","47079","9.42","5.97","14.53","24"
"Huntington, Indiana","18069","9.33","5.74","14.49","21"
"Lafourche, Louisiana","22057","9.33","6.95","12.30","52"
"Holmes, Ohio","39075","9.28","5.79","14.17","22"
"Madison, Mississippi","28089","9.24","6.64","12.50","43"
"Kings, California","6031","9.19","6.86","12.00","54"
"Coffee, Georgia","13069","9.18","5.47","14.42","19"
"Warren, Iowa","19181","9.16","5.91","13.61","25"
"Dodge, Nebraska","31053","9.07","5.81","13.73","25"
"Lee, North Carolina","37105","9.06","6.15","12.92","32"
"Smyth, Virginia","51173","9.01","5.34","14.51","20"
"McCurtain, Oklahoma","40089","8.97","5.37","14.25","19"
"Campbell, Virginia","51031","8.93","6.05","12.82","33"
"Jefferson, Indiana","18077","8.93","5.23","14.42","18"
"Sherburne, Minnesota","27141","8.91","6.00","12.65","31"
"Adams, Indiana","18001","8.91","5.29","14.17","19"
"Rhea, Tennessee","47143","8.89","5.31","14.18","19"
"Lenoir, North Carolina","37107","8.83","6.03","12.60","34"
"Greene, New York","36039","8.79","5.88","12.86","30"
"Mason, Michigan","26105","8.69","5.06","14.28","19"
"Clark, Wisconsin","55019","8.66","5.32","13.55","21"
"Burnet, Texas","48053","8.64","5.58","12.92","28"
"Pasquotank, North Carolina","37139","8.63","5.20","13.56","20"
"Tuscola, Michigan","26157","8.63","5.91","12.36","33"
"Iberia, Louisiana","22045","8.55","5.77","12.19","31"
"Carlton, Minnesota","27017","8.55","5.20","13.46","20"
"Lawrence, Tennessee","47099","8.53","5.45","12.86","24"
"Crawford, Pennsylvania","42039","8.52","6.32","11.32","53"
"Loudon, Tennessee","47105","8.52","5.89","12.16","37"
"Terrebonne, Louisiana","22109","8.51","6.25","11.31","49"
"Carroll, Tennessee","47017","8.45","4.97","13.83","18"
"Hunt, Texas","48231","8.45","6.16","11.34","46"
"Curry, Oregon","41015","8.42","5.09","14.41","21"
