Mortality, US by County, All Races, Prostate (Male), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Petersburg, Virginia","51730","57.07","40.89","77.56","43"
"Okfuskee, Oklahoma","40107","54.83","31.64","88.14","17"
"Bolivar, Mississippi","28011","53.99","35.76","77.53","32"
"Washington, Georgia","13303","53.87","33.97","80.68","24"
"Macon, Alabama","1087","52.98","33.58","79.89","24"
"Coahoma, Mississippi","28027","52.31","34.38","76.26","29"
"Pemiscot, Missouri","29155","51.87","32.13","79.37","22"
"Lee, South Carolina","45061","51.21","31.55","78.46","22"
"Hopewell, Virginia","51670","51.06","32.69","75.77","25"
"Marshall, Mississippi","28093","50.50","35.69","69.20","43"
"Sunflower, Mississippi","28133","46.50","28.77","70.29","23"
"Phillips, Arkansas","5107","45.40","28.43","69.11","23"
"Clay, Mississippi","28025","44.50","27.91","67.61","23"
"Fairfield, South Carolina","45039","44.17","28.73","65.36","28"
"Russell, Alabama","1113","43.07","31.12","57.78","46"
"Williamsburg, South Carolina","45089","42.81","28.97","60.93","33"
"Rio Grande, Colorado","8105","42.64","24.58","70.55","17"
"Woodford, Kentucky","21239","42.10","26.42","63.37","24"
"Oglethorpe, Georgia","13221","41.01","23.24","67.40","17"
"Nolan, Texas","48353","40.45","23.34","65.62","17"
"Warren, Virginia","51187","40.35","27.29","57.13","32"
"Jackson, Louisiana","22049","40.24","24.12","63.54","19"
"Panola, Mississippi","28107","39.97","26.82","57.14","31"
"Crittenden, Arkansas","5035","39.20","26.86","54.86","35"
"Lowndes, Mississippi","28087","38.95","28.56","51.74","49"
"Washington, Alabama","1129","38.49","22.51","61.99","18"
"Hart, Kentucky","21099","38.24","22.33","61.20","19"
"Attala, Mississippi","28007","38.15","23.07","59.86","20"
"Northampton, Virginia","51131","37.75","22.27","62.67","18"
"Ashland, Wisconsin","55003","37.74","21.68","61.54","17"
"Pike, Mississippi","28113","37.52","26.23","52.08","37"
"Sumter, Georgia","13261","37.52","24.35","55.24","27"
"Iowa, Wisconsin","55049","37.36","23.28","56.87","22"
"Gulf, Florida","12045","37.30","21.95","59.87","18"
"Leflore, Mississippi","28083","37.04","22.58","56.83","21"
"Brunswick, Virginia","51025","36.96","21.30","60.04","17"
"Brooks, Georgia","13027","36.91","20.58","61.40","16"
"Salem, Virginia","51775","36.83","23.94","54.52","26"
"Meriwether, Georgia","13199","36.48","21.47","57.94","19"
"Halifax, North Carolina","37083","36.45","27.29","47.87","56"
"Marlboro, South Carolina","45069","36.37","22.16","55.85","23"
"Dallas, Alabama","1047","35.69","24.28","50.58","34"
"Burke, Georgia","13033","35.67","20.13","57.99","17"
"Adams, Mississippi","28001","35.44","23.81","50.89","31"
"Colleton, South Carolina","45029","35.04","24.71","48.52","40"
"Peach, Georgia","13225","34.93","20.84","54.57","20"
"Benton, Tennessee","47005","34.40","19.98","56.22","17"
"Harlan, Kentucky","21095","34.32","21.28","52.32","22"
"Bristol, Virginia","51520","34.12","19.39","56.24","16"
"Robertson, Texas","48395","34.04","20.03","54.88","18"
"Clay, Kentucky","21051","34.01","18.80","56.12","16"
"Green Lake, Wisconsin","55047","33.99","21.23","52.64","22"
"Claiborne, Louisiana","22027","33.93","19.26","55.78","16"
"Scott, Mississippi","28123","33.88","20.66","52.07","21"
"Morgan, Tennessee","47129","33.73","19.40","54.19","18"
"Lee, Alabama","1081","33.67","26.79","41.65","90"
"Newberry, South Carolina","45071","33.56","23.06","47.31","35"
"Scott, Tennessee","47151","33.55","20.38","52.33","21"
"Jackson, Wisconsin","55053","33.37","20.23","52.06","20"
"McDonald, Missouri","29119","33.23","18.68","54.05","17"
"Fountain, Indiana","18045","33.19","19.22","54.14","17"
"Stephens, Georgia","13257","33.16","20.75","50.50","24"
"Pike, Missouri","29163","33.08","19.11","53.34","17"
"Sagadahoc, Maine","23023","32.98","23.03","46.22","37"
"Hardin, Iowa","19083","32.81","20.37","51.41","22"
"Klamath, Oregon","41035","32.75","25.26","41.91","67"
"Floyd, Virginia","51063","32.64","18.63","54.14","17"
"Redwood, Minnesota","27127","32.55","19.57","52.40","19"
"Portsmouth, Virginia","51740","32.53","25.08","41.44","67"
"Bonner, Idaho","16017","32.43","23.34","44.24","45"
"Madison, Florida","12079","32.26","18.06","53.20","16"
"Madison, Mississippi","28089","32.20","24.17","41.85","60"
"Hardeman, Tennessee","47069","32.05","19.31","49.84","20"
"Pasquotank, North Carolina","37139","31.99","21.59","45.64","31"
"Blaine, Idaho","16013","31.89","18.44","51.31","18"
"Waseca, Minnesota","27161","31.87","18.39","51.91","17"
"Milam, Texas","48331","31.86","20.58","47.69","25"
"Clarke, Alabama","1025","31.81","19.45","49.37","21"
"St. Francis, Arkansas","5123","31.75","19.02","49.47","20"
"Lynchburg, Virginia","51680","31.72","24.03","41.15","58"
"Copiah, Mississippi","28029","31.69","19.64","48.39","22"
"Jackson, Indiana","18071","31.67","21.57","44.74","33"
"Preston, West Virginia","54077","31.51","20.95","45.64","29"
"Granville, North Carolina","37077","31.37","22.24","42.86","42"
"Sierra, New Mexico","35051","31.13","18.51","54.43","21"
"Hampton, South Carolina","45049","31.04","17.49","51.00","17"
"Jackson, Florida","12063","31.00","22.59","41.64","46"
"Sumter, South Carolina","45085","30.96","24.18","39.02","74"
"Richland, South Carolina","45079","30.79","26.62","35.38","212"
"Baltimore, Maryland","24510","30.75","27.60","34.14","367"
"Harrison, Kentucky","21097","30.64","16.93","51.29","16"
"Holmes, Ohio","39075","30.57","20.38","43.91","29"
"Pacific, Washington","53049","30.47","19.84","46.34","28"
"Maverick, Texas","48323","30.45","20.78","42.79","32"
"Morgan, Georgia","13211","30.43","17.02","50.77","16"
"Marion, South Carolina","45067","30.34","18.80","46.36","24"
"Jackson, Iowa","19097","30.30","18.43","47.88","20"
"St. Croix, Wisconsin","55109","30.13","22.20","39.79","50"
"Hood River, Oregon","41027","30.10","17.25","48.66","17"
"Jefferson, Oregon","41031","30.04","17.68","47.73","19"
"Sanders, Montana","30089","30.01","16.63","53.61","16"
"Juneau, Wisconsin","55057","29.96","19.32","44.79","26"
"Gibson, Indiana","18051","29.94","19.78","43.62","28"
"Washington, Mississippi","28151","29.86","19.61","43.36","29"
"Boone, Iowa","19015","29.85","18.65","45.57","22"
"Washington, Maine","23029","29.83","20.46","42.67","34"
"Effingham, Georgia","13103","29.77","18.60","44.38","26"
"Caldwell, Texas","48055","29.75","19.52","43.29","28"
"Cassia, Idaho","16031","29.73","16.80","48.42","16"
"Union, South Carolina","45087","29.69","18.31","45.76","22"
"Yuba, California","6115","29.60","21.09","40.16","41"
"Lincoln, Louisiana","22061","29.59","19.51","42.93","28"
"Monroe, Mississippi","28095","29.56","19.55","43.04","29"
"Abbeville, South Carolina","45001","29.52","18.54","45.27","23"
"Franklin, Indiana","18047","29.44","16.87","47.74","17"
"McKinley, New Mexico","35031","29.41","20.47","40.66","36"
"Comanche, Oklahoma","40031","29.40","22.81","37.18","69"
"Blue Earth, Minnesota","27013","29.28","21.11","39.54","43"
"Hoke, North Carolina","37093","29.24","17.57","44.92","23"
"Shelby, Tennessee","47157","29.22","26.62","31.99","503"
"McPherson, Kansas","20113","29.20","19.54","42.58","30"
