Mortality, US by State, All Races, Melanoma of the Skin (Both Sexes), 2014 - 2018
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Wyoming","56","3.24","2.65","3.93","111"
"West Virginia","54","2.97","2.66","3.31","361"
"Utah","49","2.91","2.62","3.23","372"
"Idaho","16","2.90","2.56","3.27","277"
"Kentucky","21","2.88","2.67","3.10","752"
"Delaware","10","2.78","2.37","3.25","170"
"Oklahoma","40","2.77","2.55","3.00","614"
"New Hampshire","33","2.76","2.41","3.15","235"
"Tennessee","47","2.74","2.57","2.91","1071"
"South Dakota","46","2.70","2.25","3.22","134"
"Kansas","20","2.66","2.41","2.92","456"
"Ohio","39","2.65","2.53","2.78","1890"
"Montana","30","2.65","2.26","3.10","176"
"Colorado","8","2.64","2.45","2.83","763"
"Iowa","19","2.61","2.38","2.85","503"
"Washington","53","2.58","2.43","2.75","1064"
"Missouri","29","2.58","2.41","2.75","958"
"Nevada","32","2.57","2.32","2.83","416"
"Maine","23","2.56","2.23","2.93","237"
"Nebraska","31","2.51","2.22","2.83","282"
"Indiana","18","2.50","2.34","2.67","958"
"Oregon","41","2.50","2.30","2.71","620"
"Arizona","4","2.48","2.33","2.64","1035"
"Pennsylvania","42","2.45","2.34","2.56","2059"
"Wisconsin","55","2.42","2.25","2.59","861"
"Alabama","1","2.38","2.20","2.57","689"
"Florida","12","2.38","2.30","2.46","3456"
"Vermont","50","2.37","1.93","2.90","103"
"Rhode Island","44","2.34","1.99","2.75","160"
"Massachusetts","25","2.32","2.17","2.47","986"
"North Carolina","37","2.31","2.19","2.44","1360"
"Virginia","51","2.31","2.17","2.45","1092"
"New Mexico","35","2.25","1.99","2.53","284"
"Michigan","26","2.20","2.08","2.32","1344"
"Alaska","2","2.19","1.67","2.82","67"
"Mississippi","28","2.19","1.97","2.44","363"
"Georgia","13","2.19","2.06","2.32","1147"
"South Carolina","45","2.17","2.00","2.35","648"
"Minnesota","27","2.17","2.01","2.34","708"
"Arkansas","5","2.12","1.91","2.35","378"
"North Dakota","38","2.09","1.66","2.60","88"
"Illinois","17","2.07","1.97","2.18","1532"
"New Jersey","34","2.07","1.95","2.20","1136"
"Connecticut","9","2.07","1.88","2.27","476"
"California","6","2.06","2.00","2.12","4375"
"Texas","48","1.92","1.85","2.00","2561"
"Maryland","24","1.87","1.72","2.02","638"
"New York","36","1.73","1.65","1.80","2085"
"Louisiana","22","1.70","1.54","1.87","439"
"Hawaii","15","1.41","1.17","1.69","130"
"District of Columbia","11","1.03","0.70","1.46","32"
