Screening and Risk Factors, US by County (UV Only), UV Exposure Data, Ultraviolet Exposure
Area,County FIPS,Watt-Hours Per Square Meter
"Luna, New Mexico","35029","5723"
"El Paso, Texas","48141","5713"
"Dona Ana, New Mexico","35013","5711"
"Hidalgo, New Mexico","35023","5702"
"Pinal, Arizona","4021","5689"
"Pima, Arizona","4019","5680"
"Cochise, Arizona","4003","5675"
"Sierra, New Mexico","35051","5658"
"Maricopa, Arizona","4013","5655"
"Grant, New Mexico","35017","5651"
"Santa Cruz, Arizona","4023","5649"
"Hudspeth, Texas","48229","5639"
"San Bernardino, California","6071","5633"
"La Paz, Arizona","4012","5633"
"Graham, Arizona","4009","5630"
"Yuma, Arizona","4027","5625"
"Otero, New Mexico","35035","5613"
"Greenlee, Arizona","4011","5597"
"Socorro, New Mexico","35053","5594"
"Valencia, New Mexico","35061","5578"
"Clark, Nevada","32003","5566"
"Culberson, Texas","48109","5564"
"Bernalillo, New Mexico","35001","5539"
"Catron, New Mexico","35003","5530"
"Presidio, Texas","48377","5528"
"Lincoln, New Mexico","35027","5517"
"Eddy, New Mexico","35015","5513"
"Imperial, California","6025","5513"
"Reeves, Texas","48389","5512"
"Gila, Arizona","4007","5510"
"Jeff Davis, Texas","48243","5509"
"Torrance, New Mexico","35057","5495"
"Loving, Texas","48301","5484"
"Riverside, California","6065","5480"
"Cibola, New Mexico","35006","5479"
"Sandoval, New Mexico","35043","5471"
"Chaves, New Mexico","35005","5462"
"Inyo, California","6027","5456"
"Ward, Texas","48475","5451"
"Santa Fe, New Mexico","35049","5451"
"Brewster, Texas","48043","5439"
"Mohave, Arizona","4015","5425"
"Los Alamos, New Mexico","35028","5424"
"Winkler, Texas","48495","5423"
"McKinley, New Mexico","35031","5406"
"Pecos, Texas","48371","5400"
"Yavapai, Arizona","4025","5398"
"Guadalupe, New Mexico","35019","5392"
"De Baca, New Mexico","35011","5387"
"Crane, Texas","48103","5384"
"Lea, New Mexico","35025","5375"
"Rio Arriba, New Mexico","35039","5361"
"Ector, Texas","48135","5359"
"San Miguel, New Mexico","35047","5339"
"Terrell, Texas","48443","5339"
"Andrews, Texas","48003","5336"
"Apache, Arizona","4001","5329"
"San Juan, New Mexico","35045","5329"
"Upton, Texas","48461","5318"
"Midland, Texas","48329","5301"
"Mora, New Mexico","35033","5297"
"Gaines, Texas","48165","5296"
"Taos, New Mexico","35055","5296"
"Roosevelt, New Mexico","35041","5274"
"Yoakum, Texas","48501","5272"
"Navajo, Arizona","4017","5268"
"Martin, Texas","48317","5262"
"Lincoln, Nevada","32017","5261"
"Reagan, Texas","48383","5249"
"Crockett, Texas","48105","5249"
"Archuleta, Colorado","8007","5246"
"Val Verde, Texas","48465","5238"
"Esmeralda, Nevada","32009","5238"
"Conejos, Colorado","8021","5236"
"Glasscock, Texas","48173","5233"
"Cochran, Texas","48079","5230"
"Nye, Nevada","32023","5225"
"Kern, California","6029","5224"
"Dawson, Texas","48115","5220"
"Terry, Texas","48445","5217"
"Quay, New Mexico","35037","5215"
"Curry, New Mexico","35009","5210"
"Colfax, New Mexico","35007","5208"
"Howard, Texas","48227","5204"
"La Plata, Colorado","8067","5200"
"Harding, New Mexico","35021","5200"
"Tulare, California","6107","5200"
"Bailey, Texas","48017","5190"
"Kings, California","6031","5186"
"Irion, Texas","48235","5184"
"Sterling, Texas","48431","5179"
"Alamosa, Colorado","8003","5179"
"Montezuma, Colorado","8083","5178"
"Hockley, Texas","48219","5175"
"Borden, Texas","48033","5174"
"San Diego, California","6073","5173"
"Costilla, Colorado","8023","5171"
"Washington, Utah","49053","5167"
"Coconino, Arizona","4005","5164"
"Lynn, Texas","48305","5161"
"Mitchell, Texas","48335","5158"
"Rio Grande, Colorado","8105","5156"
"Kinney, Texas","48271","5152"
"Sutton, Texas","48435","5150"
"Parmer, Texas","48369","5149"
"Schleicher, Texas","48413","5142"
"Lamb, Texas","48279","5138"
"Tom Green, Texas","48451","5135"
"Coke, Texas","48081","5133"
"Scurry, Texas","48415","5130"
"Garza, Texas","48169","5128"
"Maverick, Texas","48323","5128"
"Edwards, Texas","48137","5126"
"Lubbock, Texas","48303","5121"
"Fresno, California","6019","5116"
"Union, New Mexico","35059","5110"
"Deaf Smith, Texas","48117","5109"
"Nolan, Texas","48353","5107"
"Oldham, Texas","48359","5104"
