fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,median_household_income,over_65_percent,uv_exposure,low_income_low_access_share,non_english_speaking,population_in_poverty_percent,population_over_25_no_high_school_diploma_percent,population_uninsured_percent,population_minority_percent,walkability_index,hospital_beds_per_100000,median_aqi,pesticide_mass,population
1001,490.1,163.48,129.9,21.59,49.5,15.19,13.7,6.209142593433426,67.8,48.43,15.0,4.9,133.2,18.07,58786.0,15.259080860547458,4563.0,13.021568232211248,1.3,22.66575603443628,7.679864843005806,7.80927047574543,26.02311328384766,5.483179347823405,192.3111486547206,,29132.9,55639.0
1003,452.4,165.47,128.1,22.2,40.4,13.93,14.0,5.69,70.0,47.25,17.0,4.24,88.4,17.98,55962.0,20.484770189977507,4492.0,7.937892628864565,1.8,16.681097077727234,6.79053914764372,9.391678004846788,17.10301481064094,6.812529932533961,197.90278025919767,43.0,366234.55,218289.0
1005,425.70351486572775,182.94,,18.87114883537308,44.1,15.42,10.7,6.209142593433426,63.1,54.49,17.0,4.83590236768647,146.2,22.79,,19.08814832574123,4642.0,10.430855519539644,2.8,35.82274434588029,17.96931191560777,9.438184288340128,54.71909214417007,5.156174850734466,295.6924798209862,,51081.4,25026.0
1007,467.3,187.6,140.7,22.05,47.0,14.3,9.77201172942796,6.209142593433426,78.3,54.26,16.3,4.83590236768647,112.7,18.012673569970637,,16.429784571377493,4499.0,0.4451232816932141,1.4,25.610083132207023,13.658711003843743,8.393671225529632,25.583266291230892,5.241295630350335,156.4315723607759,,15059.5,22374.0
1009,432.0,176.72,130.0,20.36,36.7,14.17,13.9,6.74,70.3,53.94,17.4,5.8,96.9,17.6,48695.0,17.975932819669293,4416.0,2.512124489724713,3.3,23.58929962773786,11.839667561250108,9.948922171240586,13.3148645138949,4.674447046558158,69.25807289412172,,23207.3,57755.0
1011,487.0,215.07,170.3,18.87114883537308,37.55752820243735,24.19,9.77201172942796,6.209142593433426,76.9,59.79,,4.83590236768647,124.5,18.012673569970637,,16.10144500147449,4629.0,32.334616089426426,2.5,40.57800058979652,16.710901405681707,10.075690553425735,78.74766538877421,4.500982096949769,599.626462203873,,7070.3,10173.0
1013,425.70351486572775,168.18,141.6,28.25,46.9,16.02,15.8,6.209142593433426,50.450424548284325,32.01363667988594,,4.83590236768647,116.3,18.012673569970637,,20.744195478049274,4579.0,6.912684393946627,0.8,31.090945959647165,9.560985501368751,10.00202778059414,48.67180371083848,5.482813150125044,476.5284396228328,,46432.2,19726.0
1015,464.3,182.51,111.4,20.26,50.3,17.6,11.7,6.38,77.4,55.45,15.4,4.89,119.6,22.18,,17.70844267170498,4466.0,15.397395675201563,1.4,26.52373954725167,10.310171092683952,9.849200517826528,28.23116755886778,5.730536875768475,529.197718764214,,18816.85,114324.0
1017,521.1,193.01,129.4,22.87,55.1,17.64,16.1,6.209142593433426,72.3,49.31,20.6,4.83590236768647,138.9,21.67,,19.53510635115326,4584.0,8.101709776413854,1.3,27.75301403057409,12.385197594758727,9.109402578753702,44.91578663954288,5.250827765647667,344.03326652107575,,10477.05,33427.0
1019,425.70351486572775,186.84,,18.18,39.8,11.68,10.5,6.209142593433426,71.2,54.24,17.9,4.83590236768647,116.51751380788671,18.012673569970637,,22.92682926829268,4419.0,5.005964061718419,1.6,25.588630689456497,12.629153063184177,9.44113693105435,8.665258306126368,4.323618148765598,230.45899750336085,,67789.95,26035.0
1021,425.70351486572775,166.83,,19.44,41.7,16.56,11.6,6.63,63.6,45.74,14.9,4.83590236768647,115.3,18.012673569970637,,16.576437810043718,4529.0,4.369543798547304,3.5,27.32008970031939,12.424400299001064,11.654246041633632,20.07837452148504,4.714284088242795,67.95478741477338,,27268.4,44147.0
1023,443.2,147.0330242918144,125.8,18.87114883537308,55.6,17.54,9.77201172942796,6.209142593433426,50.450424548284325,32.01363667988594,,4.83590236768647,154.5,18.012673569970637,,23.1125049000392,4476.0,13.045674291074391,0.3,29.392395139161117,12.567620540964327,9.980399843198745,43.5515484123873,3.943760357011625,196.0015680125441,,13423.65,12755.0
1025,474.3,169.86,153.6,15.92,65.6,22.24,10.6,10.1,58.0,39.58,14.5,4.83590236768647,134.6,31.81,,19.88184027486801,4488.0,18.35249487090156,0.3,34.57219475404341,12.167937651889718,9.532389172881924,47.74574708790748,5.208594743011768,477.6669739378195,,10410.65,23866.0
1027,468.5,177.71,118.5,18.87114883537308,58.2,14.029380175658735,9.77201172942796,6.209142593433426,85.3,55.47,,4.83590236768647,138.5,18.012673569970637,,20.368837034249157,4518.0,2.9715762273901807,0.1,27.73805043281897,13.21791494166353,8.340233345878811,19.58599924727136,4.29082573380752,398.9461799021453,42.0,8581.55,13285.0
1029,457.4,147.0330242918144,,18.87114883537308,59.0,22.63,19.5,6.209142593433426,75.7,50.11,18.0,4.83590236768647,101.2,18.012673569970637,,20.55912252541466,4486.0,2.023777718407694,1.0,26.86597110754414,12.55350454788657,11.97833065810594,7.403691813804174,4.601274155440889,,,4942.05,14952.0
1031,425.70351486572775,170.98,120.9,20.91,37.55752820243735,11.31,11.7,6.27,65.7,54.42,17.5,5.69,125.0,19.15,53155.0,16.960833109996553,4628.0,8.9933530872107,2.6,24.5223783452659,9.87403805658716,10.20521459473946,30.38018300853785,6.013677663454804,250.7752976760213,,95298.95,52238.0
1033,437.8,179.11,110.9,24.51,49.3,18.66,11.1,8.42,67.9,53.92,,4.83590236768647,89.7,13.27,47558.0,19.83368815619484,4408.0,8.830013963401191,1.1,23.25272485761596,10.171588696617356,6.774387248212238,21.982640973852284,6.484799828728782,696.9084920938188,47.0,137419.1,54957.0
