fips,cervical_cancer_incidence_rate_per_100000,cervical_cancer_mortality_rate_per_100000,hodgkins_lymphoma_cancer_incidence_rate_per_100000,hodgkins_lymphoma_cancer_mortality_rate_per_100000,melanoma_cancer_incidence_rate_per_100000,melanoma_cancer_mortality_rate_per_100000,colorectal_screening_percent,smoking_percent,hpv_vaccine_percent
1,9.4,3.46,2.42,0.31,21.6,2.38,76.07,43.94,34.9
2,7.1,1.65,2.13,,14.4,2.19,68.36,43.22,32.3
4,6.5,2.1,2.0,0.28,24.5,2.48,75.32,40.35,39.9
5,9.5,3.43,2.62,0.3,21.7,2.12,73.39,47.06,26.8
6,7.2,2.24,2.18,0.31,22.9,2.06,75.6,33.45,38.8
8,6.2,1.53,2.43,0.27,22.3,2.64,76.11,40.43,40.0
9,6.1,1.35,3.25,0.25,20.4,2.07,80.21,39.47,31.8
10,7.8,2.53,2.79,0.28,29.5,2.78,79.32,42.27,39.3
11,8.8,2.7,2.4,,10.2,1.03,78.63,34.72,53.3
12,8.9,2.6,3.14,0.27,24.8,2.38,77.86,41.89,30.4
13,7.8,2.29,2.41,0.28,26.7,2.19,74.6,37.64,33.2
15,6.8,1.6,1.73,,21.8,1.41,79.4,39.4,44.4
16,6.5,1.78,2.31,0.24,28.1,2.9,74.48,38.19,27.3
17,7.7,2.3,2.81,0.28,20.4,2.07,72.62,38.29,37.0
18,8.2,2.53,2.57,0.28,21.7,2.5,74.48,45.03,36.0
19,7.5,1.9,2.76,0.24,27.3,2.61,77.13,41.03,37.5
20,7.6,2.36,2.46,0.27,26.6,2.66,74.71,41.85,28.1
21,9.6,2.64,2.64,0.34,27.3,2.88,75.28,50.4,30.4
22,9.1,3.06,2.8,0.36,17.6,1.7,75.32,43.17,35.2
23,5.9,1.57,2.8,0.3,26.2,2.56,81.43,49.73,33.7
24,6.6,1.93,2.66,0.24,24.0,1.87,78.9,36.02,42.2
25,5.2,1.08,2.86,0.22,22.2,2.32,80.93,38.5,45.4
26,6.7,1.97,2.49,0.29,20.1,2.2,80.22,45.38,39.0
27,5.5,1.29,2.93,0.3,31.7,2.17,79.34,41.05,39.4
28,9.4,3.27,2.42,0.29,17.8,2.19,69.66,42.85,19.1
29,8.0,2.4,2.61,0.3,19.5,2.58,75.46,44.08,26.1
30,6.8,1.56,2.54,0.28,27.5,2.65,72.01,44.48,31.9
31,7.8,2.22,2.82,0.29,26.4,2.51,74.88,39.73,44.9
32,9.0,2.59,,0.25,16.9,2.57,67.62,41.46,35.9
33,4.7,1.33,3.18,0.29,32.1,2.76,81.62,45.18,38.6
34,7.7,2.07,3.22,0.27,22.2,2.07,72.6,37.06,30.0
35,8.2,2.26,2.12,0.36,16.0,2.25,69.91,40.71,38.6
36,7.8,2.11,3.11,0.29,18.3,1.73,75.79,36.31,41.7
37,7.1,2.02,2.52,0.29,26.0,2.31,77.08,43.03,33.5
38,5.5,1.21,2.81,0.42,23.6,2.09,73.19,42.73,50.9
39,7.9,2.26,2.77,0.3,23.8,2.65,74.42,45.77,31.2
40,9.2,3.21,2.13,0.36,22.2,2.77,70.26,44.52,26.9
41,7.0,2.06,2.39,0.28,27.5,2.5,78.71,43.12,36.6
42,7.3,2.05,3.11,0.26,24.3,2.45,75.73,42.86,37.7
44,7.1,1.51,3.0,,23.7,2.34,80.64,42.16,52.9
45,7.9,2.49,2.3,0.28,23.6,2.17,77.34,43.59,28.0
46,7.3,1.69,2.44,,25.4,2.7,75.16,44.17,34.7
47,8.4,2.73,2.55,0.3,20.3,2.74,75.55,45.49,26.3
48,9.2,2.88,2.33,0.32,13.1,1.92,67.37,36.08,29.8
49,5.4,1.35,2.4,0.2,40.4,2.91,74.72,24.95,32.1
50,4.3,1.05,2.64,,37.6,2.37,79.16,44.05,38.5
51,6.0,1.86,2.21,0.24,20.2,2.31,75.17,37.78,39.9
53,6.7,1.58,2.38,0.27,26.1,2.58,79.73,38.11,32.7
54,9.2,2.7,2.43,0.36,21.4,2.97,74.03,49.54,30.3
55,6.4,1.61,3.0,0.34,24.0,2.42,80.01,42.72,37.7
56,6.4,1.91,2.44,,22.9,3.24,66.96,45.14,24.5
